CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,CSKA Moscow,CSK,Real Madrid,MAD,0,0,,,,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
CSK,44.0,10:00,1,3,"HUNTER, OTHELLO",P005160   ,,TPOFF,0.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,10,0,0.0,0.0,,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
MAD,14.0,10:00,1,4,"AYON, GUSTAVO",P005927   ,,TPOFF,0.0,0.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,10,0,0.0,0.0,0.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
CSK,11.0,09:45,1,5,"ANTONOV, SEMEN",P004941   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,9,45,15.0,15.0,15.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
MAD,7.0,09:45,1,6,"DONCIC, LUKA",P005929   ,Def Rebound (1),D,0.0,0.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,9,45,15.0,15.0,0.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
CSK,22.0,09:44,1,7,"HIGGINS, CORY",P006450   ,Foul (1),CM,0.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,9,44,16.0,16.0,1.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
MAD,7.0,09:44,1,8,"DONCIC, LUKA",P005929   ,Foul Drawn (1),RV,0.0,0.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,9,44,16.0,16.0,0.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
MAD,9.0,09:34,1,9,"REYES, FELIPE",PAAX      ,Offensive Foul (1),OF,0.0,0.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,9,34,26.0,26.0,10.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
MAD,9.0,09:34,1,10,"REYES, FELIPE",PAAX      ,Turnover (1),TO,0.0,0.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,9,34,26.0,26.0,0.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
CSK,11.0,09:34,1,11,"ANTONOV, SEMEN",P004941   ,Foul Drawn (1),RV,0.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,9,34,26.0,26.0,0.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
CSK,22.0,09:21,1,12,"HIGGINS, CORY",P006450   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,9,21,39.0,39.0,13.0,3.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
CSK,11.0,09:04,1,13,"ANTONOV, SEMEN",P004941   ,Foul (1),CM,3.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,9,4,56.0,56.0,17.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
MAD,9.0,09:04,1,14,"REYES, FELIPE",PAAX      ,Foul Drawn (1),RV,3.0,0.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,9,4,56.0,56.0,0.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
MAD,7.0,08:57,2,16,"DONCIC, LUKA",P005929   ,Missed Three Pointer (0/1 -  0 pt),3FGA,3.0,0.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,8,57,3.0,63.0,7.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
CSK,44.0,08:57,2,17,"HUNTER, OTHELLO",P005160   ,Def Rebound (1),D,3.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,8,57,3.0,63.0,0.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
MAD,11.0,08:49,2,18,"CAMPAZZO, FACUNDO",P005928   ,Foul (1),CM,3.0,0.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,8,49,11.0,71.0,8.0,0.0,0.0,"HUNTER, OTHELLO","ANTONOV, SEMEN","HIGGINS, CORY","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","AYON, GUSTAVO","DONCIC, LUKA","REYES, FELIPE","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY"
