,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Fenerbahce Dogus Istanbul,ULK,KIROLBET Baskonia Vitoria Gasteiz,BAS,0,0,0.0,0.0,"VESELY, JAN","THOMPSON, JASON","NUNNALLY, JAMES","WANAMAKER, BRAD","KALINIC, NIKOLA","POIRIER, VINCENT","TIMMA, JANIS","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE","HUERTAS, MARCELINHO"
1,ULK,24.0,10:00,1,3,"VESELY, JAN",P000925   ,,TPOFF,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,KIROLBET Baskonia Vitoria Gasteiz,BAS,10,0,0.0,0.0,"VESELY, JAN","THOMPSON, JASON","NUNNALLY, JAMES","WANAMAKER, BRAD","KALINIC, NIKOLA","POIRIER, VINCENT","TIMMA, JANIS","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE","HUERTAS, MARCELINHO"
2,BAS,17.0,10:00,1,4,"POIRIER, VINCENT",P004887   ,,TPOFF,0.0,0.0,KIROLBET Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,ULK,KIROLBET Baskonia Vitoria Gasteiz,BAS,10,0,0.0,0.0,"VESELY, JAN","THOMPSON, JASON","NUNNALLY, JAMES","WANAMAKER, BRAD","KALINIC, NIKOLA","POIRIER, VINCENT","TIMMA, JANIS","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE","HUERTAS, MARCELINHO"
3,BAS,6.0,09:45,1,5,"TIMMA, JANIS",P005718   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,KIROLBET Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,ULK,KIROLBET Baskonia Vitoria Gasteiz,BAS,9,45,0.0,2.0,"VESELY, JAN","THOMPSON, JASON","NUNNALLY, JAMES","WANAMAKER, BRAD","KALINIC, NIKOLA","POIRIER, VINCENT","TIMMA, JANIS","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE","HUERTAS, MARCELINHO"
4,BAS,17.0,09:43,1,6,"POIRIER, VINCENT",P004887   ,Assist (1),AS,0.0,2.0,KIROLBET Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,ULK,KIROLBET Baskonia Vitoria Gasteiz,BAS,9,43,0.0,0.0,"VESELY, JAN","THOMPSON, JASON","NUNNALLY, JAMES","WANAMAKER, BRAD","KALINIC, NIKOLA","POIRIER, VINCENT","TIMMA, JANIS","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE","HUERTAS, MARCELINHO"
5,ULK,1.0,09:28,1,7,"THOMPSON, JASON",P007998   ,Turnover (1),TO,0.0,2.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,KIROLBET Baskonia Vitoria Gasteiz,BAS,9,28,0.0,0.0,"VESELY, JAN","THOMPSON, JASON","NUNNALLY, JAMES","WANAMAKER, BRAD","KALINIC, NIKOLA","POIRIER, VINCENT","TIMMA, JANIS","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE","HUERTAS, MARCELINHO"
6,BAS,23.0,09:17,1,8,"SHENGELIA, TORNIKE",P001133   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,4.0,KIROLBET Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,ULK,KIROLBET Baskonia Vitoria Gasteiz,BAS,9,17,0.0,2.0,"VESELY, JAN","THOMPSON, JASON","NUNNALLY, JAMES","WANAMAKER, BRAD","KALINIC, NIKOLA","POIRIER, VINCENT","TIMMA, JANIS","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE","HUERTAS, MARCELINHO"
7,BAS,10.0,09:16,1,9,"BEAUBOIS, RODRIGUE",P006590   ,Assist (1),AS,0.0,4.0,KIROLBET Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,ULK,KIROLBET Baskonia Vitoria Gasteiz,BAS,9,16,0.0,0.0,"VESELY, JAN","THOMPSON, JASON","NUNNALLY, JAMES","WANAMAKER, BRAD","KALINIC, NIKOLA","POIRIER, VINCENT","TIMMA, JANIS","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE","HUERTAS, MARCELINHO"
8,ULK,21.0,08:57,2,11,"NUNNALLY, JAMES",P007400   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,4.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,KIROLBET Baskonia Vitoria Gasteiz,BAS,8,57,0.0,0.0,"VESELY, JAN","THOMPSON, JASON","NUNNALLY, JAMES","WANAMAKER, BRAD","KALINIC, NIKOLA","POIRIER, VINCENT","TIMMA, JANIS","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE","HUERTAS, MARCELINHO"
9,BAS,17.0,08:53,2,12,"POIRIER, VINCENT",P004887   ,Def Rebound (1),D,0.0,4.0,KIROLBET Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,ULK,KIROLBET Baskonia Vitoria Gasteiz,BAS,8,53,0.0,0.0,"VESELY, JAN","THOMPSON, JASON","NUNNALLY, JAMES","WANAMAKER, BRAD","KALINIC, NIKOLA","POIRIER, VINCENT","TIMMA, JANIS","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE","HUERTAS, MARCELINHO"
