CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,0,0,,,,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,1.0,09:59,1,3,"MCLEAN, JAMEL",P004418   ,,TPOFF,0.0,0.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,9,59,1.0,1.0,,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,0.0,09:59,1,4,"DAVIES, BRANDON",P007870   ,,TPOFF,0.0,0.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,9,59,1.0,1.0,0.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,1.0,09:38,1,5,"MCLEAN, JAMEL",P004418   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,9,38,22.0,22.0,21.0,0.0,2.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,7.0,09:25,1,6,"SPANOULIS, VASSILIS",PJUO      ,Foul (1),CM,0.0,2.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,9,25,35.0,35.0,13.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,22.0,09:25,1,7,"MICIC, VASILIJE",P002580   ,Foul Drawn (1),RV,0.0,2.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,9,25,35.0,35.0,0.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,22.0,09:18,1,8,"MICIC, VASILIJE",P002580   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,9,18,42.0,42.0,7.0,2.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,13.0,09:00,1,9,"JANKUNAS, PAULIUS",PBWI      ,Assist (1),AS,2.0,2.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,9,0,0.0,42.0,0.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,13.0,08:59,2,11,"JANKUNAS, PAULIUS",PBWI      ,Foul (1),CM,2.0,2.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,59,1.0,61.0,19.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,7.0,08:59,2,12,"SPANOULIS, VASSILIS",PJUO      ,Foul Drawn (1),RV,2.0,2.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,59,1.0,61.0,0.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,7.0,08:59,2,13,"SPANOULIS, VASSILIS",PJUO      ,Free Throw In (1/1 -  1 pt),FTM,2.0,3.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,59,1.0,61.0,0.0,0.0,1.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,7.0,08:59,2,14,"SPANOULIS, VASSILIS",PJUO      ,Free Throw In (2/2 -  2 pt),FTM,2.0,4.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,59,1.0,61.0,0.0,0.0,1.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,0.0,08:41,2,15,"DAVIES, BRANDON",P007870   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,4.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,41,19.0,79.0,18.0,2.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,13.0,08:40,2,16,"JANKUNAS, PAULIUS",PBWI      ,Assist (2),AS,4.0,4.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,40,20.0,80.0,1.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,7.0,08:20,2,17,"SPANOULIS, VASSILIS",PJUO      ,Missed Two Pointer (0/1 -  2 pt),2FGA,4.0,4.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,20,40.0,100.0,20.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,7.0,08:20,2,18,"SPANOULIS, VASSILIS",PJUO      ,Shot Rejected (1),AG,4.0,4.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,20,40.0,100.0,0.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,0.0,08:17,2,19,"DAVIES, BRANDON",P007870   ,Block (1),FV,4.0,4.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,17,43.0,103.0,3.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,92.0,08:15,2,20,"ULANOVAS, EDGARAS",P002329   ,Def Rebound (1),D,4.0,4.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,15,45.0,105.0,2.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,22.0,08:08,2,21,"MICIC, VASILIJE",P002580   ,Missed Three Pointer (0/1 -  2 pt),3FGA,4.0,4.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,8,52.0,112.0,7.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,92.0,08:06,2,22,"ULANOVAS, EDGARAS",P002329   ,Off Rebound (1),O,4.0,4.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,6,54.0,114.0,2.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,92.0,08:06,2,23,"ULANOVAS, EDGARAS",P002329   ,Turnover (1),TO,4.0,4.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,8,6,54.0,114.0,0.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,6.0,07:49,3,25,"PAPAPETROU, IOANNIS",P005161   ,Missed Three Pointer (0/1 -  0 pt),3FGA,4.0,4.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,7,49,11.0,131.0,17.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,22.0,07:47,3,26,"ROBERTS, BRIAN",P002091   ,Off Rebound (1),O,4.0,4.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,7,47,13.0,133.0,2.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,7.0,07:33,3,27,"SPANOULIS, VASSILIS",PJUO      ,Missed Two Pointer (0/2 -  2 pt),2FGA,4.0,4.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,7,33,27.0,147.0,14.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,13.0,07:31,3,28,"JANKUNAS, PAULIUS",PBWI      ,Def Rebound (1),D,4.0,4.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,7,31,29.0,149.0,2.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
ZAL,3.0,07:24,3,29,"PANGOS, KEVIN",P006433   ,Missed Three Pointer (0/1 -  0 pt),3FGA,4.0,4.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,7,24,36.0,156.0,7.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,6.0,07:22,3,30,"PAPAPETROU, IOANNIS",P005161   ,Def Rebound (1),D,4.0,4.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,7,22,38.0,158.0,2.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
OLY,7.0,07:10,3,31,"SPANOULIS, VASSILIS",PJUO      ,Missed Three Pointer (0/1 -  2 pt),3FGA,4.0,4.0,Olympiacos Piraeus,Zalgiris Kaunas,ZAL,Olympiacos Piraeus,OLY,7,10,50.0,170.0,12.0,0.0,0.0,"DAVIES, BRANDON","MICIC, VASILIJE","JANKUNAS, PAULIUS","ULANOVAS, EDGARAS","PANGOS, KEVIN","MCLEAN, JAMEL","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS"
