,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,8,,          ,Begin Period,BP,0.0,0.0,,Brose Bamberg,BAM,Maccabi FOX Tel Aviv,TEL,0,0,0.0,0.0,"RADOSEVIC, LEON","HICKMAN, RICKY","MITROVIC, LUKA","HACKETT, DANIEL","TAYLOR, BRYCE","PARAKHOUSKI, ARTSIOM","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","KANE, DEANDRE"
1,BAM,43.0,09:59,1,9,"RADOSEVIC, LEON",PLEM      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Brose Bamberg,Brose Bamberg,BAM,Maccabi FOX Tel Aviv,TEL,9,59,2.0,0.0,"RADOSEVIC, LEON","HICKMAN, RICKY","MITROVIC, LUKA","HACKETT, DANIEL","TAYLOR, BRYCE","PARAKHOUSKI, ARTSIOM","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","KANE, DEANDRE"
2,BAM,2.0,09:59,1,10,"HICKMAN, RICKY",P004159   ,Assist (1),AS,2.0,0.0,Brose Bamberg,Brose Bamberg,BAM,Maccabi FOX Tel Aviv,TEL,9,59,0.0,0.0,"RADOSEVIC, LEON","HICKMAN, RICKY","MITROVIC, LUKA","HACKETT, DANIEL","TAYLOR, BRYCE","PARAKHOUSKI, ARTSIOM","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","KANE, DEANDRE"
3,TEL,45.0,09:59,1,11,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Maccabi FOX Tel Aviv,Brose Bamberg,BAM,Maccabi FOX Tel Aviv,TEL,9,59,0.0,2.0,"RADOSEVIC, LEON","HICKMAN, RICKY","MITROVIC, LUKA","HACKETT, DANIEL","TAYLOR, BRYCE","PARAKHOUSKI, ARTSIOM","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","KANE, DEANDRE"
4,TEL,43.0,09:59,1,12,"BOLDEN, JONAH",P007988   ,Assist (1),AS,2.0,2.0,Maccabi FOX Tel Aviv,Brose Bamberg,BAM,Maccabi FOX Tel Aviv,TEL,9,59,0.0,0.0,"RADOSEVIC, LEON","HICKMAN, RICKY","MITROVIC, LUKA","HACKETT, DANIEL","TAYLOR, BRYCE","PARAKHOUSKI, ARTSIOM","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","KANE, DEANDRE"
5,BAM,43.0,09:09,1,13,"RADOSEVIC, LEON",PLEM      ,Two Pointer (2/2 -  4 pt),2FGM,4.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Maccabi FOX Tel Aviv,TEL,9,9,2.0,0.0,"RADOSEVIC, LEON","HICKMAN, RICKY","MITROVIC, LUKA","HACKETT, DANIEL","TAYLOR, BRYCE","PARAKHOUSKI, ARTSIOM","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","KANE, DEANDRE"
6,BAM,2.0,09:07,1,14,"HICKMAN, RICKY",P004159   ,Assist (2),AS,4.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Maccabi FOX Tel Aviv,TEL,9,7,0.0,0.0,"RADOSEVIC, LEON","HICKMAN, RICKY","MITROVIC, LUKA","HACKETT, DANIEL","TAYLOR, BRYCE","PARAKHOUSKI, ARTSIOM","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","KANE, DEANDRE"
7,TEL,45.0,08:46,2,16,"PARAKHOUSKI, ARTSIOM",P003034   ,Missed Two Pointer (1/2 -  2 pt),2FGA,4.0,2.0,Maccabi FOX Tel Aviv,Brose Bamberg,BAM,Maccabi FOX Tel Aviv,TEL,8,46,0.0,0.0,"RADOSEVIC, LEON","HICKMAN, RICKY","MITROVIC, LUKA","HACKETT, DANIEL","TAYLOR, BRYCE","PARAKHOUSKI, ARTSIOM","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","KANE, DEANDRE"
8,BAM,43.0,08:43,2,17,"RADOSEVIC, LEON",PLEM      ,Def Rebound (1),D,4.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Maccabi FOX Tel Aviv,TEL,8,43,0.0,0.0,"RADOSEVIC, LEON","HICKMAN, RICKY","MITROVIC, LUKA","HACKETT, DANIEL","TAYLOR, BRYCE","PARAKHOUSKI, ARTSIOM","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","KANE, DEANDRE"
9,BAM,9.0,08:26,2,18,"MITROVIC, LUKA",P002553   ,Shot Rejected (1),AG,4.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Maccabi FOX Tel Aviv,TEL,8,26,0.0,0.0,"RADOSEVIC, LEON","HICKMAN, RICKY","MITROVIC, LUKA","HACKETT, DANIEL","TAYLOR, BRYCE","PARAKHOUSKI, ARTSIOM","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","KANE, DEANDRE"
