,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,0,0,0.0,0.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
1,CSK,42.0,09:42,1,3,"HINES, KYLE",P002812   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,CSKA Moscow,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,9,42,2.0,0.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
2,CSK,1.0,09:40,1,4,"DE COLO, NANDO",P002100   ,Assist (1),AS,2.0,0.0,CSKA Moscow,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,9,40,0.0,0.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
3,MIL,5.0,09:17,1,5,"MICOV, VLADIMIR",P000529   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,AX Armani Exchange Olimpia Milan,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,9,17,0.0,3.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
4,CSK,42.0,08:59,2,302,"HINES, KYLE",P002812   ,Shot Rejected (1),AG,2.0,3.0,CSKA Moscow,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,8,59,0.0,0.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
5,CSK,42.0,08:57,2,301,"HINES, KYLE",P002812   ,Missed Two Pointer (1/2 -  2 pt),2FGA,2.0,3.0,CSKA Moscow,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,8,57,0.0,0.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
6,MIL,15.0,08:57,2,303,"TARCZEWSKI, KALEB",P008004   ,Block (1),FV,2.0,3.0,AX Armani Exchange Olimpia Milan,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,8,57,0.0,0.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
7,MIL,5.0,08:54,2,8,"MICOV, VLADIMIR",P000529   ,Def Rebound (1),D,2.0,3.0,AX Armani Exchange Olimpia Milan,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,8,54,0.0,0.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
8,CSK,1.0,08:50,2,9,"DE COLO, NANDO",P002100   ,Foul (1),CM,2.0,3.0,CSKA Moscow,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,8,50,0.0,0.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
9,MIL,5.0,08:50,2,10,"MICOV, VLADIMIR",P000529   ,Foul Drawn (1),RV,2.0,3.0,AX Armani Exchange Olimpia Milan,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,8,50,0.0,0.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
10,MIL,25.0,08:36,2,11,"THEODORE, JORDAN",P007946   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,6.0,AX Armani Exchange Olimpia Milan,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,8,36,0.0,3.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
11,MIL,0.0,08:33,2,12,"GOUDELOCK, ANDREW",P004903   ,Assist (1),AS,2.0,6.0,AX Armani Exchange Olimpia Milan,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,8,33,0.0,0.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
12,CSK,1.0,08:22,2,13,"DE COLO, NANDO",P002100   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,6.0,CSKA Moscow,CSKA Moscow,CSK,AX Armani Exchange Olimpia Milan,MIL,8,22,2.0,0.0,"HINES, KYLE","DE COLO, NANDO","KURBANOV, NIKITA","VORONTSEVICH, ANDREY","WESTERMANN, LEO","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN","GOUDELOCK, ANDREW","M'BAYE, AMATH"
