,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Khimki Moscow Region,KHI,Valencia Basket,PAM,0,0,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
1,KHI,1.0,09:59,1,3,"SHVED, ALEXEY",PKVZ      ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,9,59,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
2,PAM,32.0,09:59,1,4,"GREEN, ERICK",P005159   ,Def Rebound (1),D,0.0,0.0,Valencia Basket,Khimki Moscow Region,KHI,Valencia Basket,PAM,9,59,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
3,PAM,21.0,09:27,1,5,"PLEISS, TIBOR",PLHK      ,Turnover (1),TO,0.0,0.0,Valencia Basket,Khimki Moscow Region,KHI,Valencia Basket,PAM,9,27,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
4,KHI,22.0,09:26,1,6,"JENKINS, CHARLES",P005014   ,Steal (1),ST,0.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,9,26,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
5,KHI,13.0,09:07,1,7,"GILL, ANTHONY",P008001   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,9,7,2.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
6,PAM,32.0,08:38,2,9,"GREEN, ERICK",P005159   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Valencia Basket,Khimki Moscow Region,KHI,Valencia Basket,PAM,8,38,0.0,2.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
7,KHI,22.0,08:25,2,10,"JENKINS, CHARLES",P005014   ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,8,25,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
8,PAM,21.0,08:19,2,11,"PLEISS, TIBOR",PLHK      ,Def Rebound (1),D,2.0,2.0,Valencia Basket,Khimki Moscow Region,KHI,Valencia Basket,PAM,8,19,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
9,KHI,13.0,08:11,2,12,"GILL, ANTHONY",P008001   ,Steal (1),ST,2.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,8,11,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
10,KHI,13.0,08:01,2,13,"GILL, ANTHONY",P008001   ,Foul Drawn (1),RV,2.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,8,1,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
11,PAM,16.0,08:01,2,14,"VIVES, GUILLEM",P002361   ,Foul (1),CM,2.0,2.0,Valencia Basket,Khimki Moscow Region,KHI,Valencia Basket,PAM,8,1,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
12,KHI,13.0,08:01,2,15,"GILL, ANTHONY",P008001   ,Missed Free Throw (0/1 -  2 pt),FTA,2.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,8,1,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
13,KHI,13.0,08:01,2,16,"GILL, ANTHONY",P008001   ,Free Throw In (1/2 -  3 pt),FTM,3.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,8,1,1.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
14,PAM,16.0,07:49,3,18,"VIVES, GUILLEM",P002361   ,Turnover (1),TO,3.0,2.0,Valencia Basket,Khimki Moscow Region,KHI,Valencia Basket,PAM,7,49,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
15,KHI,23.0,07:47,3,19,"THOMAS, MALCOLM",P004251   ,Steal (1),ST,3.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,7,47,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
16,KHI,1.0,07:20,3,20,"SHVED, ALEXEY",PKVZ      ,Missed Two Pointer (0/1 -  0 pt),2FGA,3.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,7,20,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
17,KHI,1.0,07:20,3,21,"SHVED, ALEXEY",PKVZ      ,Shot Rejected (1),AG,3.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,7,20,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
18,PAM,30.0,07:17,3,22,"SASTRE, JOAN",P002936   ,Block (1),FV,3.0,2.0,Valencia Basket,Khimki Moscow Region,KHI,Valencia Basket,PAM,7,17,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
19,PAM,42.0,07:15,3,23,"DOORNEKAMP, AARON",P002763   ,Def Rebound (1),D,3.0,2.0,Valencia Basket,Khimki Moscow Region,KHI,Valencia Basket,PAM,7,15,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
20,PAM,32.0,07:07,3,24,"GREEN, ERICK",P005159   ,Assist (1),AS,3.0,2.0,Valencia Basket,Khimki Moscow Region,KHI,Valencia Basket,PAM,7,7,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
21,PAM,21.0,07:05,3,25,"PLEISS, TIBOR",PLHK      ,Two Pointer (1/1 -  2 pt),2FGM,3.0,4.0,Valencia Basket,Khimki Moscow Region,KHI,Valencia Basket,PAM,7,5,0.0,2.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
22,KHI,23.0,06:56,4,27,"THOMAS, MALCOLM",P004251   ,Foul Drawn (1),RV,3.0,4.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,6,56,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
23,PAM,21.0,06:56,4,28,"PLEISS, TIBOR",PLHK      ,Foul (1),CM,3.0,4.0,Valencia Basket,Khimki Moscow Region,KHI,Valencia Basket,PAM,6,56,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
24,KHI,1.0,06:47,4,29,"SHVED, ALEXEY",PKVZ      ,Assist (1),AS,3.0,4.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Valencia Basket,PAM,6,47,0.0,0.0,"SHVED, ALEXEY","JENKINS, CHARLES","GILL, ANTHONY","THOMAS, MALCOLM","ANDERSON, JAMES","GREEN, ERICK","PLEISS, TIBOR","VIVES, GUILLEM","SASTRE, JOAN","DOORNEKAMP, AARON"
