CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Zalgiris Kaunas,ZAL,Crvena Zvezda mts Belgrade,RED,0,0,,,,0.0,0.0,"JANKUNAS, PAULIUS","PANGOS, KEVIN","DAVIES, BRANDON","ULANOVAS, EDGARAS","TOUPANE, AXEL","ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","BJELICA, MILKO","DOBRIC, OGNJEN"
RED,22.0,09:50,1,3,"ROCHESTIE, TAYLOR",P002972   ,Foul (1),CM,0.0,0.0,Crvena Zvezda mts Belgrade,Zalgiris Kaunas,ZAL,Crvena Zvezda mts Belgrade,RED,9,50,10.0,10.0,,0.0,0.0,"JANKUNAS, PAULIUS","PANGOS, KEVIN","DAVIES, BRANDON","ULANOVAS, EDGARAS","TOUPANE, AXEL","ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","BJELICA, MILKO","DOBRIC, OGNJEN"
ZAL,13.0,09:50,1,320,"JANKUNAS, PAULIUS",PBWI      ,Foul Drawn (1),RV,0.0,0.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Crvena Zvezda mts Belgrade,RED,9,50,10.0,10.0,0.0,0.0,0.0,"JANKUNAS, PAULIUS","PANGOS, KEVIN","DAVIES, BRANDON","ULANOVAS, EDGARAS","TOUPANE, AXEL","ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","BJELICA, MILKO","DOBRIC, OGNJEN"
ZAL,3.0,09:38,1,4,"PANGOS, KEVIN",P006433   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Crvena Zvezda mts Belgrade,RED,9,38,22.0,22.0,12.0,0.0,0.0,"JANKUNAS, PAULIUS","PANGOS, KEVIN","DAVIES, BRANDON","ULANOVAS, EDGARAS","TOUPANE, AXEL","ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","BJELICA, MILKO","DOBRIC, OGNJEN"
ZAL,0.0,09:34,1,5,"DAVIES, BRANDON",P007870   ,Off Rebound (1),O,0.0,0.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Crvena Zvezda mts Belgrade,RED,9,34,26.0,26.0,4.0,0.0,0.0,"JANKUNAS, PAULIUS","PANGOS, KEVIN","DAVIES, BRANDON","ULANOVAS, EDGARAS","TOUPANE, AXEL","ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","BJELICA, MILKO","DOBRIC, OGNJEN"
ZAL,92.0,09:27,1,6,"ULANOVAS, EDGARAS",P002329   ,Turnover (1),TO,0.0,0.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Crvena Zvezda mts Belgrade,RED,9,27,33.0,33.0,7.0,0.0,0.0,"JANKUNAS, PAULIUS","PANGOS, KEVIN","DAVIES, BRANDON","ULANOVAS, EDGARAS","TOUPANE, AXEL","ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","BJELICA, MILKO","DOBRIC, OGNJEN"
RED,26.0,09:19,1,7,"LESSORT, MATHIAS",P003842   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Crvena Zvezda mts Belgrade,Zalgiris Kaunas,ZAL,Crvena Zvezda mts Belgrade,RED,9,19,41.0,41.0,8.0,0.0,2.0,"JANKUNAS, PAULIUS","PANGOS, KEVIN","DAVIES, BRANDON","ULANOVAS, EDGARAS","TOUPANE, AXEL","ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","BJELICA, MILKO","DOBRIC, OGNJEN"
RED,10.0,09:19,1,8,"LAZIC, BRANKO",PLUO      ,Assist (1),AS,0.0,2.0,Crvena Zvezda mts Belgrade,Zalgiris Kaunas,ZAL,Crvena Zvezda mts Belgrade,RED,9,19,41.0,41.0,0.0,0.0,0.0,"JANKUNAS, PAULIUS","PANGOS, KEVIN","DAVIES, BRANDON","ULANOVAS, EDGARAS","TOUPANE, AXEL","ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","BJELICA, MILKO","DOBRIC, OGNJEN"
ZAL,0.0,09:19,1,9,"DAVIES, BRANDON",P007870   ,Foul (1),CM,0.0,2.0,Zalgiris Kaunas,Zalgiris Kaunas,ZAL,Crvena Zvezda mts Belgrade,RED,9,19,41.0,41.0,0.0,0.0,0.0,"JANKUNAS, PAULIUS","PANGOS, KEVIN","DAVIES, BRANDON","ULANOVAS, EDGARAS","TOUPANE, AXEL","ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","BJELICA, MILKO","DOBRIC, OGNJEN"
RED,26.0,09:19,1,10,"LESSORT, MATHIAS",P003842   ,Foul Drawn (1),RV,0.0,2.0,Crvena Zvezda mts Belgrade,Zalgiris Kaunas,ZAL,Crvena Zvezda mts Belgrade,RED,9,19,41.0,41.0,0.0,0.0,0.0,"JANKUNAS, PAULIUS","PANGOS, KEVIN","DAVIES, BRANDON","ULANOVAS, EDGARAS","TOUPANE, AXEL","ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","BJELICA, MILKO","DOBRIC, OGNJEN"
