,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,49,,          ,Begin Period,BP,0.0,0.0,,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,0,0,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
1,TEL,55.0,09:40,1,50,"JACKSON, PIERRE",P005112   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,9,40,2.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
2,PAM,32.0,09:20,1,51,"GREEN, ERICK",P005159   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,0.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,9,20,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
3,PAM,42.0,09:18,1,52,"DOORNEKAMP, AARON",P002763   ,Off Rebound (1),O,2.0,0.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,9,18,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
4,PAM,16.0,09:06,1,53,"VIVES, GUILLEM",P002361   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,9,6,0.0,3.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
5,PAM,32.0,09:04,1,54,"GREEN, ERICK",P005159   ,Assist (1),AS,2.0,3.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,9,4,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
6,TEL,5.0,08:47,2,56,"ROLL, MICHAEL",P004974   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,3.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,8,47,2.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
7,PAM,21.0,08:28,2,57,"PLEISS, TIBOR",PLHK      ,Foul Drawn (1),RV,4.0,3.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,8,28,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
8,TEL,45.0,08:28,2,58,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul (1),CM,4.0,3.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,8,28,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
9,PAM,21.0,08:16,2,59,"PLEISS, TIBOR",PLHK      ,Two Pointer (1/1 -  2 pt),2FGM,4.0,5.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,8,16,0.0,2.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
10,PAM,32.0,08:16,2,60,"GREEN, ERICK",P005159   ,Assist (2),AS,4.0,5.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,8,16,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
11,TEL,55.0,07:51,3,62,"JACKSON, PIERRE",P005112   ,Two Pointer (2/2 -  4 pt),2FGM,6.0,5.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,7,51,2.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
12,PAM,0.0,07:29,3,63,"THOMAS, WILL",P005856   ,Three Pointer (1/1 -  3 pt),3FGM,6.0,8.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,7,29,0.0,3.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
13,PAM,32.0,07:26,3,64,"GREEN, ERICK",P005159   ,Assist (3),AS,6.0,8.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,7,26,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
14,TEL,45.0,07:12,3,65,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,8.0,8.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,7,12,2.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
15,TEL,55.0,07:09,3,66,"JACKSON, PIERRE",P005112   ,Assist (1),AS,8.0,8.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,7,9,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
16,PAM,42.0,06:54,4,68,"DOORNEKAMP, AARON",P002763   ,Missed Two Pointer (0/1 -  0 pt),2FGA,8.0,8.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,6,54,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
17,PAM,0.0,06:52,4,69,"THOMAS, WILL",P005856   ,Off Rebound (1),O,8.0,8.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,6,52,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
18,PAM,32.0,06:42,4,70,"GREEN, ERICK",P005159   ,Three Pointer (1/1 -  3 pt),3FGM,8.0,11.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,6,42,0.0,3.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
19,PAM,16.0,06:41,4,71,"VIVES, GUILLEM",P002361   ,Assist (1),AS,8.0,11.0,Valencia Basket,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,6,41,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
20,TEL,,06:41,4,72,,          ,Time Out (1),TOUT,8.0,11.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Valencia Basket,PAM,6,41,0.0,0.0,"JACKSON, PIERRE","ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","BOLDEN, JONAH","GREEN, ERICK","DOORNEKAMP, AARON","VIVES, GUILLEM","PLEISS, TIBOR","THOMAS, WILL"
