CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,27,,          ,Begin Period,BP,0.0,0.0,,Real Madrid,MAD,FC Barcelona Lassa,BAR,0,0,,,0.0,0.0,0.0,"CAMPAZZO, FACUNDO","TAVARES, WALTER","FERNANDEZ, RUDY","TAYLOR, JEFFERY","THOMPKINS, TREY","HEURTEL, THOMAS","MOERMAN, ADRIEN","HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI"
MAD,11.0,09:45,1,28,"CAMPAZZO, FACUNDO",P005928   ,Foul Drawn (1),RV,0.0,0.0,Real Madrid,Real Madrid,MAD,FC Barcelona Lassa,BAR,9,45,15.0,15.0,0.0,0.0,0.0,"CAMPAZZO, FACUNDO","TAVARES, WALTER","FERNANDEZ, RUDY","TAYLOR, JEFFERY","THOMPKINS, TREY","HEURTEL, THOMAS","MOERMAN, ADRIEN","HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI"
BAR,13.0,09:45,1,29,"HEURTEL, THOMAS",PKLT      ,Foul (1),CM,0.0,0.0,FC Barcelona Lassa,Real Madrid,MAD,FC Barcelona Lassa,BAR,9,45,15.0,15.0,0.0,0.0,0.0,"CAMPAZZO, FACUNDO","TAVARES, WALTER","FERNANDEZ, RUDY","TAYLOR, JEFFERY","THOMPKINS, TREY","HEURTEL, THOMAS","MOERMAN, ADRIEN","HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI"
MAD,11.0,09:39,1,30,"CAMPAZZO, FACUNDO",P005928   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Real Madrid,Real Madrid,MAD,FC Barcelona Lassa,BAR,9,39,21.0,21.0,6.0,0.0,0.0,"CAMPAZZO, FACUNDO","TAVARES, WALTER","FERNANDEZ, RUDY","TAYLOR, JEFFERY","THOMPKINS, TREY","HEURTEL, THOMAS","MOERMAN, ADRIEN","HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI"
MAD,22.0,09:36,1,31,"TAVARES, WALTER",P005791   ,Off Rebound (1),O,0.0,0.0,Real Madrid,Real Madrid,MAD,FC Barcelona Lassa,BAR,9,36,24.0,24.0,3.0,0.0,0.0,"CAMPAZZO, FACUNDO","TAVARES, WALTER","FERNANDEZ, RUDY","TAYLOR, JEFFERY","THOMPKINS, TREY","HEURTEL, THOMAS","MOERMAN, ADRIEN","HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI"
MAD,22.0,09:36,1,32,"TAVARES, WALTER",P005791   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Real Madrid,Real Madrid,MAD,FC Barcelona Lassa,BAR,9,36,24.0,24.0,0.0,0.0,0.0,"CAMPAZZO, FACUNDO","TAVARES, WALTER","FERNANDEZ, RUDY","TAYLOR, JEFFERY","THOMPKINS, TREY","HEURTEL, THOMAS","MOERMAN, ADRIEN","HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI"
BAR,45.0,09:34,1,33,"MOERMAN, ADRIEN",P001833   ,Def Rebound (1),D,0.0,0.0,FC Barcelona Lassa,Real Madrid,MAD,FC Barcelona Lassa,BAR,9,34,26.0,26.0,2.0,0.0,0.0,"CAMPAZZO, FACUNDO","TAVARES, WALTER","FERNANDEZ, RUDY","TAYLOR, JEFFERY","THOMPKINS, TREY","HEURTEL, THOMAS","MOERMAN, ADRIEN","HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI"
BAR,13.0,09:16,1,34,"HEURTEL, THOMAS",PKLT      ,Turnover (1),TO,0.0,0.0,FC Barcelona Lassa,Real Madrid,MAD,FC Barcelona Lassa,BAR,9,16,44.0,44.0,18.0,0.0,0.0,"CAMPAZZO, FACUNDO","TAVARES, WALTER","FERNANDEZ, RUDY","TAYLOR, JEFFERY","THOMPKINS, TREY","HEURTEL, THOMAS","MOERMAN, ADRIEN","HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI"
MAD,5.0,09:15,1,35,"FERNANDEZ, RUDY",PBMT      ,Steal (1),ST,0.0,0.0,Real Madrid,Real Madrid,MAD,FC Barcelona Lassa,BAR,9,15,45.0,45.0,1.0,0.0,0.0,"CAMPAZZO, FACUNDO","TAVARES, WALTER","FERNANDEZ, RUDY","TAYLOR, JEFFERY","THOMPKINS, TREY","HEURTEL, THOMAS","MOERMAN, ADRIEN","HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI"
MAD,5.0,09:09,1,36,"FERNANDEZ, RUDY",PBMT      ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Real Madrid,Real Madrid,MAD,FC Barcelona Lassa,BAR,9,9,51.0,51.0,6.0,0.0,0.0,"CAMPAZZO, FACUNDO","TAVARES, WALTER","FERNANDEZ, RUDY","TAYLOR, JEFFERY","THOMPKINS, TREY","HEURTEL, THOMAS","MOERMAN, ADRIEN","HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI"
