CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,12,,          ,Begin Period,BP,0.0,0.0,,Fenerbahce Dogus Istanbul,ULK,Zalgiris Kaunas,ZAL,0,0,,,,0.0,0.0,"WANAMAKER, BRAD","THOMPSON, JASON","NUNNALLY, JAMES","DATOME, LUIGI","VESELY, JAN","TOUPANE, AXEL","DAVIES, BRANDON","JANKUNAS, PAULIUS","PANGOS, KEVIN","ARLAUSKAS, MARTYNAS"
ZAL,6.0,09:52,1,13,"TOUPANE, AXEL",P002582   ,Foul (1),CM,0.0,0.0,Zalgiris Kaunas,Fenerbahce Dogus Istanbul,ULK,Zalgiris Kaunas,ZAL,9,52,8.0,8.0,,0.0,0.0,"WANAMAKER, BRAD","THOMPSON, JASON","NUNNALLY, JAMES","DATOME, LUIGI","VESELY, JAN","TOUPANE, AXEL","DAVIES, BRANDON","JANKUNAS, PAULIUS","PANGOS, KEVIN","ARLAUSKAS, MARTYNAS"
ULK,11.0,09:52,1,14,"WANAMAKER, BRAD",P005838   ,Foul Drawn (1),RV,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Zalgiris Kaunas,ZAL,9,52,8.0,8.0,0.0,0.0,0.0,"WANAMAKER, BRAD","THOMPSON, JASON","NUNNALLY, JAMES","DATOME, LUIGI","VESELY, JAN","TOUPANE, AXEL","DAVIES, BRANDON","JANKUNAS, PAULIUS","PANGOS, KEVIN","ARLAUSKAS, MARTYNAS"
ULK,11.0,09:46,1,15,"WANAMAKER, BRAD",P005838   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Zalgiris Kaunas,ZAL,9,46,14.0,14.0,6.0,0.0,0.0,"WANAMAKER, BRAD","THOMPSON, JASON","NUNNALLY, JAMES","DATOME, LUIGI","VESELY, JAN","TOUPANE, AXEL","DAVIES, BRANDON","JANKUNAS, PAULIUS","PANGOS, KEVIN","ARLAUSKAS, MARTYNAS"
ULK,1.0,09:46,1,16,"THOMPSON, JASON",P007998   ,Off Rebound (1),O,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Zalgiris Kaunas,ZAL,9,46,14.0,14.0,0.0,0.0,0.0,"WANAMAKER, BRAD","THOMPSON, JASON","NUNNALLY, JAMES","DATOME, LUIGI","VESELY, JAN","TOUPANE, AXEL","DAVIES, BRANDON","JANKUNAS, PAULIUS","PANGOS, KEVIN","ARLAUSKAS, MARTYNAS"
ULK,1.0,09:46,1,17,"THOMPSON, JASON",P007998   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Zalgiris Kaunas,ZAL,9,46,14.0,14.0,0.0,0.0,0.0,"WANAMAKER, BRAD","THOMPSON, JASON","NUNNALLY, JAMES","DATOME, LUIGI","VESELY, JAN","TOUPANE, AXEL","DAVIES, BRANDON","JANKUNAS, PAULIUS","PANGOS, KEVIN","ARLAUSKAS, MARTYNAS"
ULK,,09:46,1,18,,          ,Off Rebound (1),O,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Zalgiris Kaunas,ZAL,9,46,14.0,14.0,0.0,0.0,0.0,"WANAMAKER, BRAD","THOMPSON, JASON","NUNNALLY, JAMES","DATOME, LUIGI","VESELY, JAN","TOUPANE, AXEL","DAVIES, BRANDON","JANKUNAS, PAULIUS","PANGOS, KEVIN","ARLAUSKAS, MARTYNAS"
ULK,11.0,09:25,1,19,"WANAMAKER, BRAD",P005838   ,Missed Two Pointer (0/2 -  0 pt),2FGA,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Zalgiris Kaunas,ZAL,9,25,35.0,35.0,21.0,0.0,0.0,"WANAMAKER, BRAD","THOMPSON, JASON","NUNNALLY, JAMES","DATOME, LUIGI","VESELY, JAN","TOUPANE, AXEL","DAVIES, BRANDON","JANKUNAS, PAULIUS","PANGOS, KEVIN","ARLAUSKAS, MARTYNAS"
ZAL,6.0,09:24,1,20,"TOUPANE, AXEL",P002582   ,Def Rebound (1),D,0.0,0.0,Zalgiris Kaunas,Fenerbahce Dogus Istanbul,ULK,Zalgiris Kaunas,ZAL,9,24,36.0,36.0,1.0,0.0,0.0,"WANAMAKER, BRAD","THOMPSON, JASON","NUNNALLY, JAMES","DATOME, LUIGI","VESELY, JAN","TOUPANE, AXEL","DAVIES, BRANDON","JANKUNAS, PAULIUS","PANGOS, KEVIN","ARLAUSKAS, MARTYNAS"
ZAL,0.0,08:57,2,22,"DAVIES, BRANDON",P007870   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Zalgiris Kaunas,Fenerbahce Dogus Istanbul,ULK,Zalgiris Kaunas,ZAL,8,57,3.0,63.0,27.0,0.0,2.0,"WANAMAKER, BRAD","THOMPSON, JASON","NUNNALLY, JAMES","DATOME, LUIGI","VESELY, JAN","TOUPANE, AXEL","DAVIES, BRANDON","JANKUNAS, PAULIUS","PANGOS, KEVIN","ARLAUSKAS, MARTYNAS"
