CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,15,,          ,Begin Period,BP,0.0,0.0,,Real Madrid,MAD,Valencia Basket,PAM,0,0,,,,0.0,0.0,"CAUSEUR, FABIEN","YUSTA, SANTI","CAMPAZZO, FACUNDO","TAVARES, WALTER","THOMPKINS, TREY","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","GREEN, ERICK","VIVES, GUILLEM","DOORNEKAMP, AARON"
MAD,1.0,09:47,1,16,"CAUSEUR, FABIEN",P001392   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Real Madrid,Real Madrid,MAD,Valencia Basket,PAM,9,47,13.0,13.0,,2.0,0.0,"CAUSEUR, FABIEN","YUSTA, SANTI","CAMPAZZO, FACUNDO","TAVARES, WALTER","THOMPKINS, TREY","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","GREEN, ERICK","VIVES, GUILLEM","DOORNEKAMP, AARON"
MAD,16.0,09:44,1,17,"YUSTA, SANTI",P005368   ,Assist (1),AS,2.0,0.0,Real Madrid,Real Madrid,MAD,Valencia Basket,PAM,9,44,16.0,16.0,3.0,0.0,0.0,"CAUSEUR, FABIEN","YUSTA, SANTI","CAMPAZZO, FACUNDO","TAVARES, WALTER","THOMPKINS, TREY","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","GREEN, ERICK","VIVES, GUILLEM","DOORNEKAMP, AARON"
PAM,14.0,09:27,1,18,"DUBLJEVIC, BOJAN",P002742   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,Valencia Basket,Real Madrid,MAD,Valencia Basket,PAM,9,27,33.0,33.0,17.0,0.0,3.0,"CAUSEUR, FABIEN","YUSTA, SANTI","CAMPAZZO, FACUNDO","TAVARES, WALTER","THOMPKINS, TREY","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","GREEN, ERICK","VIVES, GUILLEM","DOORNEKAMP, AARON"
PAM,19.0,09:25,1,19,"SAN EMETERIO, FERNANDO",P000518   ,Assist (1),AS,2.0,3.0,Valencia Basket,Real Madrid,MAD,Valencia Basket,PAM,9,25,35.0,35.0,2.0,0.0,0.0,"CAUSEUR, FABIEN","YUSTA, SANTI","CAMPAZZO, FACUNDO","TAVARES, WALTER","THOMPKINS, TREY","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","GREEN, ERICK","VIVES, GUILLEM","DOORNEKAMP, AARON"
MAD,1.0,09:12,1,20,"CAUSEUR, FABIEN",P001392   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,3.0,Real Madrid,Real Madrid,MAD,Valencia Basket,PAM,9,12,48.0,48.0,13.0,2.0,0.0,"CAUSEUR, FABIEN","YUSTA, SANTI","CAMPAZZO, FACUNDO","TAVARES, WALTER","THOMPKINS, TREY","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","GREEN, ERICK","VIVES, GUILLEM","DOORNEKAMP, AARON"
MAD,11.0,09:12,1,21,"CAMPAZZO, FACUNDO",P005928   ,Assist (1),AS,4.0,3.0,Real Madrid,Real Madrid,MAD,Valencia Basket,PAM,9,12,48.0,48.0,0.0,0.0,0.0,"CAUSEUR, FABIEN","YUSTA, SANTI","CAMPAZZO, FACUNDO","TAVARES, WALTER","THOMPKINS, TREY","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","GREEN, ERICK","VIVES, GUILLEM","DOORNEKAMP, AARON"
PAM,14.0,08:41,2,23,"DUBLJEVIC, BOJAN",P002742   ,Two Pointer (1/1 -  5 pt),2FGM,4.0,5.0,Valencia Basket,Real Madrid,MAD,Valencia Basket,PAM,8,41,19.0,79.0,31.0,0.0,2.0,"CAUSEUR, FABIEN","YUSTA, SANTI","CAMPAZZO, FACUNDO","TAVARES, WALTER","THOMPKINS, TREY","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","GREEN, ERICK","VIVES, GUILLEM","DOORNEKAMP, AARON"
PAM,32.0,08:39,2,24,"GREEN, ERICK",P005159   ,Assist (1),AS,4.0,5.0,Valencia Basket,Real Madrid,MAD,Valencia Basket,PAM,8,39,21.0,81.0,2.0,0.0,0.0,"CAUSEUR, FABIEN","YUSTA, SANTI","CAMPAZZO, FACUNDO","TAVARES, WALTER","THOMPKINS, TREY","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","GREEN, ERICK","VIVES, GUILLEM","DOORNEKAMP, AARON"
MAD,11.0,08:22,2,25,"CAMPAZZO, FACUNDO",P005928   ,Turnover (1),TO,4.0,5.0,Real Madrid,Real Madrid,MAD,Valencia Basket,PAM,8,22,38.0,98.0,17.0,0.0,0.0,"CAUSEUR, FABIEN","YUSTA, SANTI","CAMPAZZO, FACUNDO","TAVARES, WALTER","THOMPKINS, TREY","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","GREEN, ERICK","VIVES, GUILLEM","DOORNEKAMP, AARON"
