CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,6,,          ,Begin Period,BP,0.0,0.0,,Olympiacos Piraeus,OLY,CSKA Moscow,CSK,0,0,,,0.0,0.0,0.0,"WILTJER, KYLE","BOGRIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","HINES, KYLE","RODRIGUEZ, SERGIO","HIGGINS, CORY","KURBANOV, NIKITA","ANTONOV, SEMEN"
CSK,42.0,09:46,1,7,"HINES, KYLE",P002812   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,CSKA Moscow,Olympiacos Piraeus,OLY,CSKA Moscow,CSK,9,46,14.0,14.0,0.0,0.0,0.0,"WILTJER, KYLE","BOGRIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","HINES, KYLE","RODRIGUEZ, SERGIO","HIGGINS, CORY","KURBANOV, NIKITA","ANTONOV, SEMEN"
OLY,33.0,09:44,1,8,"WILTJER, KYLE",P008052   ,Def Rebound (1),D,0.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,CSKA Moscow,CSK,9,44,16.0,16.0,2.0,0.0,0.0,"WILTJER, KYLE","BOGRIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","HINES, KYLE","RODRIGUEZ, SERGIO","HIGGINS, CORY","KURBANOV, NIKITA","ANTONOV, SEMEN"
OLY,31.0,09:34,1,9,"BOGRIS, GEORGIOS",P001933   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,CSKA Moscow,CSK,9,34,26.0,26.0,10.0,0.0,0.0,"WILTJER, KYLE","BOGRIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","HINES, KYLE","RODRIGUEZ, SERGIO","HIGGINS, CORY","KURBANOV, NIKITA","ANTONOV, SEMEN"
CSK,13.0,09:33,1,10,"RODRIGUEZ, SERGIO",PCVM      ,Def Rebound (1),D,0.0,0.0,CSKA Moscow,Olympiacos Piraeus,OLY,CSKA Moscow,CSK,9,33,27.0,27.0,1.0,0.0,0.0,"WILTJER, KYLE","BOGRIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","HINES, KYLE","RODRIGUEZ, SERGIO","HIGGINS, CORY","KURBANOV, NIKITA","ANTONOV, SEMEN"
CSK,22.0,09:18,1,11,"HIGGINS, CORY",P006450   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,CSKA Moscow,Olympiacos Piraeus,OLY,CSKA Moscow,CSK,9,18,42.0,42.0,15.0,0.0,2.0,"WILTJER, KYLE","BOGRIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","HINES, KYLE","RODRIGUEZ, SERGIO","HIGGINS, CORY","KURBANOV, NIKITA","ANTONOV, SEMEN"
OLY,22.0,08:50,2,13,"ROBERTS, BRIAN",P002091   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,CSKA Moscow,CSK,8,50,10.0,70.0,28.0,0.0,0.0,"WILTJER, KYLE","BOGRIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","HINES, KYLE","RODRIGUEZ, SERGIO","HIGGINS, CORY","KURBANOV, NIKITA","ANTONOV, SEMEN"
OLY,33.0,08:45,2,14,"WILTJER, KYLE",P008052   ,Off Rebound (1),O,0.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,CSKA Moscow,CSK,8,45,15.0,75.0,5.0,0.0,0.0,"WILTJER, KYLE","BOGRIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","HINES, KYLE","RODRIGUEZ, SERGIO","HIGGINS, CORY","KURBANOV, NIKITA","ANTONOV, SEMEN"
OLY,7.0,08:37,2,15,"SPANOULIS, VASSILIS",PJUO      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,CSKA Moscow,CSK,8,37,23.0,83.0,8.0,2.0,0.0,"WILTJER, KYLE","BOGRIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","HINES, KYLE","RODRIGUEZ, SERGIO","HIGGINS, CORY","KURBANOV, NIKITA","ANTONOV, SEMEN"
CSK,41.0,08:37,2,16,"KURBANOV, NIKITA",PJLX      ,Foul (1),CM,2.0,2.0,CSKA Moscow,Olympiacos Piraeus,OLY,CSKA Moscow,CSK,8,37,23.0,83.0,0.0,0.0,0.0,"WILTJER, KYLE","BOGRIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","HINES, KYLE","RODRIGUEZ, SERGIO","HIGGINS, CORY","KURBANOV, NIKITA","ANTONOV, SEMEN"
