,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Fenerbahce Dogus Istanbul,ULK,Crvena Zvezda mts Belgrade,RED,0,0,0.0,0.0,"SLOUKAS, KOSTAS","KALINIC, NIKOLA","MELLI, NICOLO","THOMPSON, JASON","NUNNALLY, JAMES","ROCHESTIE, TAYLOR","FELDEINE, JAMES","LESSORT, MATHIAS","DANGUBIC, NEMANJA","BJELICA, MILKO"
1,RED,22.0,09:45,1,3,"ROCHESTIE, TAYLOR",P002972   ,Turnover (1),TO,0.0,0.0,Crvena Zvezda mts Belgrade,Fenerbahce Dogus Istanbul,ULK,Crvena Zvezda mts Belgrade,RED,9,45,0.0,0.0,"SLOUKAS, KOSTAS","KALINIC, NIKOLA","MELLI, NICOLO","THOMPSON, JASON","NUNNALLY, JAMES","ROCHESTIE, TAYLOR","FELDEINE, JAMES","LESSORT, MATHIAS","DANGUBIC, NEMANJA","BJELICA, MILKO"
2,ULK,16.0,09:44,1,4,"SLOUKAS, KOSTAS",P001926   ,Steal (1),ST,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Crvena Zvezda mts Belgrade,RED,9,44,0.0,0.0,"SLOUKAS, KOSTAS","KALINIC, NIKOLA","MELLI, NICOLO","THOMPSON, JASON","NUNNALLY, JAMES","ROCHESTIE, TAYLOR","FELDEINE, JAMES","LESSORT, MATHIAS","DANGUBIC, NEMANJA","BJELICA, MILKO"
3,RED,14.0,09:39,1,5,"FELDEINE, JAMES",P005918   ,Foul (1),CM,0.0,0.0,Crvena Zvezda mts Belgrade,Fenerbahce Dogus Istanbul,ULK,Crvena Zvezda mts Belgrade,RED,9,39,0.0,0.0,"SLOUKAS, KOSTAS","KALINIC, NIKOLA","MELLI, NICOLO","THOMPSON, JASON","NUNNALLY, JAMES","ROCHESTIE, TAYLOR","FELDEINE, JAMES","LESSORT, MATHIAS","DANGUBIC, NEMANJA","BJELICA, MILKO"
4,ULK,33.0,09:39,1,6,"KALINIC, NIKOLA",P004866   ,Foul Drawn (1),RV,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Crvena Zvezda mts Belgrade,RED,9,39,0.0,0.0,"SLOUKAS, KOSTAS","KALINIC, NIKOLA","MELLI, NICOLO","THOMPSON, JASON","NUNNALLY, JAMES","ROCHESTIE, TAYLOR","FELDEINE, JAMES","LESSORT, MATHIAS","DANGUBIC, NEMANJA","BJELICA, MILKO"
5,ULK,4.0,09:33,1,7,"MELLI, NICOLO",P002849   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Crvena Zvezda mts Belgrade,RED,9,33,0.0,0.0,"SLOUKAS, KOSTAS","KALINIC, NIKOLA","MELLI, NICOLO","THOMPSON, JASON","NUNNALLY, JAMES","ROCHESTIE, TAYLOR","FELDEINE, JAMES","LESSORT, MATHIAS","DANGUBIC, NEMANJA","BJELICA, MILKO"
6,RED,26.0,09:31,1,8,"LESSORT, MATHIAS",P003842   ,Def Rebound (1),D,0.0,0.0,Crvena Zvezda mts Belgrade,Fenerbahce Dogus Istanbul,ULK,Crvena Zvezda mts Belgrade,RED,9,31,0.0,0.0,"SLOUKAS, KOSTAS","KALINIC, NIKOLA","MELLI, NICOLO","THOMPSON, JASON","NUNNALLY, JAMES","ROCHESTIE, TAYLOR","FELDEINE, JAMES","LESSORT, MATHIAS","DANGUBIC, NEMANJA","BJELICA, MILKO"
7,RED,26.0,09:12,1,9,"LESSORT, MATHIAS",P003842   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Crvena Zvezda mts Belgrade,Fenerbahce Dogus Istanbul,ULK,Crvena Zvezda mts Belgrade,RED,9,12,0.0,0.0,"SLOUKAS, KOSTAS","KALINIC, NIKOLA","MELLI, NICOLO","THOMPSON, JASON","NUNNALLY, JAMES","ROCHESTIE, TAYLOR","FELDEINE, JAMES","LESSORT, MATHIAS","DANGUBIC, NEMANJA","BJELICA, MILKO"
8,ULK,1.0,09:10,1,10,"THOMPSON, JASON",P007998   ,Def Rebound (1),D,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Crvena Zvezda mts Belgrade,RED,9,10,0.0,0.0,"SLOUKAS, KOSTAS","KALINIC, NIKOLA","MELLI, NICOLO","THOMPSON, JASON","NUNNALLY, JAMES","ROCHESTIE, TAYLOR","FELDEINE, JAMES","LESSORT, MATHIAS","DANGUBIC, NEMANJA","BJELICA, MILKO"
9,ULK,33.0,09:03,1,11,"KALINIC, NIKOLA",P004866   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Crvena Zvezda mts Belgrade,RED,9,3,0.0,0.0,"SLOUKAS, KOSTAS","KALINIC, NIKOLA","MELLI, NICOLO","THOMPSON, JASON","NUNNALLY, JAMES","ROCHESTIE, TAYLOR","FELDEINE, JAMES","LESSORT, MATHIAS","DANGUBIC, NEMANJA","BJELICA, MILKO"
