CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,25,,          ,Begin Period,BP,0.0,0.0,,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,0,0,,,0.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAR,1.0,09:42,1,26,"SERAPHIN, KEVIN",P001948   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,FC Barcelona Lassa,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,9,42,18.0,18.0,0.0,0.0,2.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAR,18.0,09:38,1,27,"ORIOLA, PIERRE",P005917   ,Assist (1),AS,0.0,2.0,FC Barcelona Lassa,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,9,38,22.0,22.0,4.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAS,11.0,09:27,1,28,"JANNING, MATT",P004165   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,2.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,9,27,33.0,33.0,11.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAR,18.0,09:24,1,29,"ORIOLA, PIERRE",P005917   ,Def Rebound (1),D,0.0,2.0,FC Barcelona Lassa,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,9,24,36.0,36.0,3.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAR,18.0,09:19,1,30,"ORIOLA, PIERRE",P005917   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,2.0,FC Barcelona Lassa,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,9,19,41.0,41.0,5.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAS,17.0,09:16,1,31,"POIRIER, VINCENT",P004887   ,Def Rebound (1),D,0.0,2.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,9,16,44.0,44.0,3.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAS,23.0,09:11,1,32,"SHENGELIA, TORNIKE",P001133   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,2.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,9,11,49.0,49.0,5.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAR,18.0,09:09,1,33,"ORIOLA, PIERRE",P005917   ,Def Rebound (2),D,0.0,2.0,FC Barcelona Lassa,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,9,9,51.0,51.0,2.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAR,13.0,09:04,1,34,"HEURTEL, THOMAS",PKLT      ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,2.0,FC Barcelona Lassa,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,9,4,56.0,56.0,5.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAS,11.0,09:02,1,35,"JANNING, MATT",P004165   ,Def Rebound (1),D,0.0,2.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,9,2,58.0,58.0,2.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAS,23.0,08:46,2,37,"SHENGELIA, TORNIKE",P001133   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,8,46,14.0,74.0,16.0,3.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAS,11.0,08:43,2,38,"JANNING, MATT",P004165   ,Assist (1),AS,3.0,2.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,8,43,17.0,77.0,3.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAR,1.0,08:26,2,39,"SERAPHIN, KEVIN",P001948   ,Two Pointer (2/2 -  4 pt),2FGM,3.0,4.0,FC Barcelona Lassa,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,8,26,34.0,94.0,17.0,0.0,2.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAS,6.0,08:16,2,40,"TIMMA, JANIS",P005718   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,4.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,8,16,44.0,104.0,10.0,2.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
BAS,9.0,08:14,2,41,"HUERTAS, MARCELINHO",PJUJ      ,Assist (1),AS,5.0,4.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,FC Barcelona Lassa,BAR,8,14,46.0,106.0,2.0,0.0,0.0,"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","HUERTAS, MARCELINHO","SERAPHIN, KEVIN","ORIOLA, PIERRE","HEURTEL, THOMAS","SANDERS, RAKIM","KOPONEN, PETTERI"
