CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,CSKA Moscow,CSK,Khimki Moscow Region,KHI,0,0,,,,0.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
CSK,13.0,09:36,1,3,"RODRIGUEZ, SERGIO",PCVM      ,Turnover (1),TO,0.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Khimki Moscow Region,KHI,9,36,24.0,24.0,,0.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
KHI,21.0,09:35,1,4,"ANDERSON, JAMES",P005938   ,Steal (1),ST,0.0,0.0,Khimki Moscow Region,CSKA Moscow,CSK,Khimki Moscow Region,KHI,9,35,25.0,25.0,1.0,0.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
KHI,21.0,09:16,1,5,"ANDERSON, JAMES",P005938   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Khimki Moscow Region,CSKA Moscow,CSK,Khimki Moscow Region,KHI,9,16,44.0,44.0,19.0,0.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
KHI,22.0,09:14,1,6,"JENKINS, CHARLES",P005014   ,Off Rebound (1),O,0.0,0.0,Khimki Moscow Region,CSKA Moscow,CSK,Khimki Moscow Region,KHI,9,14,46.0,46.0,2.0,0.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
KHI,22.0,09:14,1,7,"JENKINS, CHARLES",P005014   ,Foul Drawn (1),RV,0.0,0.0,Khimki Moscow Region,CSKA Moscow,CSK,Khimki Moscow Region,KHI,9,14,46.0,46.0,0.0,0.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
CSK,11.0,09:14,1,8,"ANTONOV, SEMEN",P004941   ,Foul (1),CM,0.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Khimki Moscow Region,KHI,9,14,46.0,46.0,0.0,0.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
KHI,13.0,09:12,1,9,"GILL, ANTHONY",P008001   ,Turnover (1),TO,0.0,0.0,Khimki Moscow Region,CSKA Moscow,CSK,Khimki Moscow Region,KHI,9,12,48.0,48.0,2.0,0.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
CSK,11.0,08:45,2,11,"ANTONOV, SEMEN",P004941   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Khimki Moscow Region,KHI,8,45,15.0,75.0,27.0,2.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
CSK,41.0,08:42,2,12,"KURBANOV, NIKITA",PJLX      ,Assist (1),AS,2.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Khimki Moscow Region,KHI,8,42,18.0,78.0,3.0,0.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
KHI,1.0,08:29,2,13,"SHVED, ALEXEY",PKVZ      ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,0.0,Khimki Moscow Region,CSKA Moscow,CSK,Khimki Moscow Region,KHI,8,29,31.0,91.0,13.0,0.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
CSK,42.0,08:26,2,14,"HINES, KYLE",P002812   ,Def Rebound (1),D,2.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Khimki Moscow Region,KHI,8,26,34.0,94.0,3.0,0.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
CSK,41.0,08:15,2,15,"KURBANOV, NIKITA",PJLX      ,Two Pointer (1/1 -  2 pt),2FGM,4.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Khimki Moscow Region,KHI,8,15,45.0,105.0,11.0,2.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
KHI,22.0,07:55,3,17,"JENKINS, CHARLES",P005014   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,2.0,Khimki Moscow Region,CSKA Moscow,CSK,Khimki Moscow Region,KHI,7,55,5.0,125.0,20.0,0.0,2.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
CSK,41.0,07:37,3,18,"KURBANOV, NIKITA",PJLX      ,Three Pointer (1/1 -  5 pt),3FGM,7.0,2.0,CSKA Moscow,CSKA Moscow,CSK,Khimki Moscow Region,KHI,7,37,23.0,143.0,18.0,3.0,0.0,"RODRIGUEZ, SERGIO","ANTONOV, SEMEN","KURBANOV, NIKITA","HINES, KYLE","HIGGINS, CORY","ANDERSON, JAMES","JENKINS, CHARLES","GILL, ANTHONY","SHVED, ALEXEY","THOMAS, MALCOLM"
