CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,20,,          ,Begin Period,BP,0.0,0.0,,Unicaja Malaga,MAL,AX Armani Exchange Olimpia Milan,MIL,0,0,,,,0.0,0.0,"AUGUSTINE, JAMES","MCCALLUM, RAY","BROOKS, JEFF","NEDOVIC, NEMANJA","MILOSAVLJEVIC, DRAGAN","GOUDELOCK, ANDREW","KALNIETIS, MANTAS","TARCZEWSKI, KALEB","THEODORE, JORDAN","JEFFERSON, CORY"
MAL,40.0,09:40,1,21,"AUGUSTINE, JAMES",P001438   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,AX Armani Exchange Olimpia Milan,MIL,9,40,20.0,20.0,,2.0,0.0,"AUGUSTINE, JAMES","MCCALLUM, RAY","BROOKS, JEFF","NEDOVIC, NEMANJA","MILOSAVLJEVIC, DRAGAN","GOUDELOCK, ANDREW","KALNIETIS, MANTAS","TARCZEWSKI, KALEB","THEODORE, JORDAN","JEFFERSON, CORY"
MAL,3.0,09:37,1,22,"MCCALLUM, RAY",P008002   ,Assist (1),AS,2.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,AX Armani Exchange Olimpia Milan,MIL,9,37,23.0,23.0,3.0,0.0,0.0,"AUGUSTINE, JAMES","MCCALLUM, RAY","BROOKS, JEFF","NEDOVIC, NEMANJA","MILOSAVLJEVIC, DRAGAN","GOUDELOCK, ANDREW","KALNIETIS, MANTAS","TARCZEWSKI, KALEB","THEODORE, JORDAN","JEFFERSON, CORY"
MIL,0.0,09:25,1,23,"GOUDELOCK, ANDREW",P004903   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,AX Armani Exchange Olimpia Milan,Unicaja Malaga,MAL,AX Armani Exchange Olimpia Milan,MIL,9,25,35.0,35.0,12.0,0.0,2.0,"AUGUSTINE, JAMES","MCCALLUM, RAY","BROOKS, JEFF","NEDOVIC, NEMANJA","MILOSAVLJEVIC, DRAGAN","GOUDELOCK, ANDREW","KALNIETIS, MANTAS","TARCZEWSKI, KALEB","THEODORE, JORDAN","JEFFERSON, CORY"
MAL,40.0,09:10,1,24,"AUGUSTINE, JAMES",P001438   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,2.0,Unicaja Malaga,Unicaja Malaga,MAL,AX Armani Exchange Olimpia Milan,MIL,9,10,50.0,50.0,15.0,2.0,0.0,"AUGUSTINE, JAMES","MCCALLUM, RAY","BROOKS, JEFF","NEDOVIC, NEMANJA","MILOSAVLJEVIC, DRAGAN","GOUDELOCK, ANDREW","KALNIETIS, MANTAS","TARCZEWSKI, KALEB","THEODORE, JORDAN","JEFFERSON, CORY"
MAL,23.0,09:08,1,25,"BROOKS, JEFF",P004117   ,Assist (1),AS,4.0,2.0,Unicaja Malaga,Unicaja Malaga,MAL,AX Armani Exchange Olimpia Milan,MIL,9,8,52.0,52.0,2.0,0.0,0.0,"AUGUSTINE, JAMES","MCCALLUM, RAY","BROOKS, JEFF","NEDOVIC, NEMANJA","MILOSAVLJEVIC, DRAGAN","GOUDELOCK, ANDREW","KALNIETIS, MANTAS","TARCZEWSKI, KALEB","THEODORE, JORDAN","JEFFERSON, CORY"
MIL,9.0,08:49,2,27,"KALNIETIS, MANTAS",PJBX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,4.0,2.0,AX Armani Exchange Olimpia Milan,Unicaja Malaga,MAL,AX Armani Exchange Olimpia Milan,MIL,8,49,11.0,71.0,19.0,0.0,0.0,"AUGUSTINE, JAMES","MCCALLUM, RAY","BROOKS, JEFF","NEDOVIC, NEMANJA","MILOSAVLJEVIC, DRAGAN","GOUDELOCK, ANDREW","KALNIETIS, MANTAS","TARCZEWSKI, KALEB","THEODORE, JORDAN","JEFFERSON, CORY"
MIL,9.0,08:49,2,28,"KALNIETIS, MANTAS",PJBX      ,Shot Rejected (1),AG,4.0,2.0,AX Armani Exchange Olimpia Milan,Unicaja Malaga,MAL,AX Armani Exchange Olimpia Milan,MIL,8,49,11.0,71.0,0.0,0.0,0.0,"AUGUSTINE, JAMES","MCCALLUM, RAY","BROOKS, JEFF","NEDOVIC, NEMANJA","MILOSAVLJEVIC, DRAGAN","GOUDELOCK, ANDREW","KALNIETIS, MANTAS","TARCZEWSKI, KALEB","THEODORE, JORDAN","JEFFERSON, CORY"
MAL,23.0,08:44,2,29,"BROOKS, JEFF",P004117   ,Block (1),FV,4.0,2.0,Unicaja Malaga,Unicaja Malaga,MAL,AX Armani Exchange Olimpia Milan,MIL,8,44,16.0,76.0,5.0,0.0,0.0,"AUGUSTINE, JAMES","MCCALLUM, RAY","BROOKS, JEFF","NEDOVIC, NEMANJA","MILOSAVLJEVIC, DRAGAN","GOUDELOCK, ANDREW","KALNIETIS, MANTAS","TARCZEWSKI, KALEB","THEODORE, JORDAN","JEFFERSON, CORY"
MAL,40.0,08:44,2,52,"AUGUSTINE, JAMES",P001438   ,Def Rebound (1),D,4.0,2.0,Unicaja Malaga,Unicaja Malaga,MAL,AX Armani Exchange Olimpia Milan,MIL,8,44,16.0,76.0,0.0,0.0,0.0,"AUGUSTINE, JAMES","MCCALLUM, RAY","BROOKS, JEFF","NEDOVIC, NEMANJA","MILOSAVLJEVIC, DRAGAN","GOUDELOCK, ANDREW","KALNIETIS, MANTAS","TARCZEWSKI, KALEB","THEODORE, JORDAN","JEFFERSON, CORY"
