CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,19,,          ,Begin Period,BP,0.0,0.0,,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL,0,0,,,,0.0,0.0,"CAMPAZZO, FACUNDO","THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","YUSTA, SANTI","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","ZOOSMAN, YOVEL"
MAD,11.0,09:41,1,20,"CAMPAZZO, FACUNDO",P005928   ,Foul Drawn (1),RV,0.0,0.0,Real Madrid,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL,9,41,19.0,19.0,,0.0,0.0,"CAMPAZZO, FACUNDO","THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","YUSTA, SANTI","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","ZOOSMAN, YOVEL"
TEL,45.0,09:41,1,21,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul (1),CM,0.0,0.0,Maccabi FOX Tel Aviv,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL,9,41,19.0,19.0,0.0,0.0,0.0,"CAMPAZZO, FACUNDO","THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","YUSTA, SANTI","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","ZOOSMAN, YOVEL"
MAD,33.0,09:35,1,22,"THOMPKINS, TREY",P005836   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Real Madrid,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL,9,35,25.0,25.0,6.0,0.0,0.0,"CAMPAZZO, FACUNDO","THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","YUSTA, SANTI","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","ZOOSMAN, YOVEL"
MAD,11.0,09:32,1,23,"CAMPAZZO, FACUNDO",P005928   ,Off Rebound (1),O,0.0,0.0,Real Madrid,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL,9,32,28.0,28.0,3.0,0.0,0.0,"CAMPAZZO, FACUNDO","THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","YUSTA, SANTI","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","ZOOSMAN, YOVEL"
TEL,45.0,09:28,1,25,"PARAKHOUSKI, ARTSIOM",P003034   ,Steal (1),ST,0.0,0.0,Maccabi FOX Tel Aviv,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL,9,28,32.0,32.0,4.0,0.0,0.0,"CAMPAZZO, FACUNDO","THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","YUSTA, SANTI","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","ZOOSMAN, YOVEL"
MAD,11.0,09:26,1,24,"CAMPAZZO, FACUNDO",P005928   ,Turnover (1),TO,0.0,0.0,Real Madrid,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL,9,26,34.0,34.0,2.0,0.0,0.0,"CAMPAZZO, FACUNDO","THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","YUSTA, SANTI","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","ZOOSMAN, YOVEL"
TEL,45.0,09:17,1,26,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul Drawn (1),RV,0.0,0.0,Maccabi FOX Tel Aviv,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL,9,17,43.0,43.0,9.0,0.0,0.0,"CAMPAZZO, FACUNDO","THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","YUSTA, SANTI","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","ZOOSMAN, YOVEL"
MAD,33.0,09:17,1,27,"THOMPKINS, TREY",P005836   ,Foul (1),CM,0.0,0.0,Real Madrid,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL,9,17,43.0,43.0,0.0,0.0,0.0,"CAMPAZZO, FACUNDO","THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","YUSTA, SANTI","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","ZOOSMAN, YOVEL"
TEL,55.0,09:10,1,28,"JACKSON, PIERRE",P005112   ,Three Pointer (1/1 -  3 pt),3FGM,0.0,3.0,Maccabi FOX Tel Aviv,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL,9,10,50.0,50.0,7.0,0.0,3.0,"CAMPAZZO, FACUNDO","THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","YUSTA, SANTI","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","ZOOSMAN, YOVEL"
