,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,14,,          ,Begin Period,BP,0.0,0.0,,Unicaja Malaga,MAL,Valencia Basket,PAM,0,0,0.0,0.0,"WACZYNSKI, ADAM","DIAZ, ALBERTO","BROOKS, JEFF","SHERMADINI, GIORGI","SALIN, SASU","DOORNEKAMP, AARON","DUBLJEVIC, BOJAN","VAN ROSSOM, SAM","THOMAS, WILL","GREEN, ERICK"
1,MAL,21.0,09:36,1,15,"WACZYNSKI, ADAM",PLDX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,Valencia Basket,PAM,9,36,0.0,0.0,"WACZYNSKI, ADAM","DIAZ, ALBERTO","BROOKS, JEFF","SHERMADINI, GIORGI","SALIN, SASU","DOORNEKAMP, AARON","DUBLJEVIC, BOJAN","VAN ROSSOM, SAM","THOMAS, WILL","GREEN, ERICK"
2,PAM,42.0,09:36,1,16,"DOORNEKAMP, AARON",P002763   ,Def Rebound (1),D,0.0,0.0,Valencia Basket,Unicaja Malaga,MAL,Valencia Basket,PAM,9,36,0.0,0.0,"WACZYNSKI, ADAM","DIAZ, ALBERTO","BROOKS, JEFF","SHERMADINI, GIORGI","SALIN, SASU","DOORNEKAMP, AARON","DUBLJEVIC, BOJAN","VAN ROSSOM, SAM","THOMAS, WILL","GREEN, ERICK"
3,PAM,14.0,09:12,1,17,"DUBLJEVIC, BOJAN",P002742   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Valencia Basket,Unicaja Malaga,MAL,Valencia Basket,PAM,9,12,0.0,2.0,"WACZYNSKI, ADAM","DIAZ, ALBERTO","BROOKS, JEFF","SHERMADINI, GIORGI","SALIN, SASU","DOORNEKAMP, AARON","DUBLJEVIC, BOJAN","VAN ROSSOM, SAM","THOMAS, WILL","GREEN, ERICK"
4,MAL,9.0,09:00,1,18,"DIAZ, ALBERTO",P004213   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Unicaja Malaga,Unicaja Malaga,MAL,Valencia Basket,PAM,9,0,3.0,0.0,"WACZYNSKI, ADAM","DIAZ, ALBERTO","BROOKS, JEFF","SHERMADINI, GIORGI","SALIN, SASU","DOORNEKAMP, AARON","DUBLJEVIC, BOJAN","VAN ROSSOM, SAM","THOMAS, WILL","GREEN, ERICK"
5,PAM,9.0,08:38,2,20,"VAN ROSSOM, SAM",PLRQ      ,Missed Three Pointer (0/1 -  0 pt),3FGA,3.0,2.0,Valencia Basket,Unicaja Malaga,MAL,Valencia Basket,PAM,8,38,0.0,0.0,"WACZYNSKI, ADAM","DIAZ, ALBERTO","BROOKS, JEFF","SHERMADINI, GIORGI","SALIN, SASU","DOORNEKAMP, AARON","DUBLJEVIC, BOJAN","VAN ROSSOM, SAM","THOMAS, WILL","GREEN, ERICK"
6,PAM,14.0,08:38,2,21,"DUBLJEVIC, BOJAN",P002742   ,Off Rebound (1),O,3.0,2.0,Valencia Basket,Unicaja Malaga,MAL,Valencia Basket,PAM,8,38,0.0,0.0,"WACZYNSKI, ADAM","DIAZ, ALBERTO","BROOKS, JEFF","SHERMADINI, GIORGI","SALIN, SASU","DOORNEKAMP, AARON","DUBLJEVIC, BOJAN","VAN ROSSOM, SAM","THOMAS, WILL","GREEN, ERICK"
7,MAL,9.0,08:29,2,22,"DIAZ, ALBERTO",P004213   ,Foul (1),CM,3.0,2.0,Unicaja Malaga,Unicaja Malaga,MAL,Valencia Basket,PAM,8,29,0.0,0.0,"WACZYNSKI, ADAM","DIAZ, ALBERTO","BROOKS, JEFF","SHERMADINI, GIORGI","SALIN, SASU","DOORNEKAMP, AARON","DUBLJEVIC, BOJAN","VAN ROSSOM, SAM","THOMAS, WILL","GREEN, ERICK"
8,PAM,14.0,08:29,2,23,"DUBLJEVIC, BOJAN",P002742   ,Foul Drawn (1),RV,3.0,2.0,Valencia Basket,Unicaja Malaga,MAL,Valencia Basket,PAM,8,29,0.0,0.0,"WACZYNSKI, ADAM","DIAZ, ALBERTO","BROOKS, JEFF","SHERMADINI, GIORGI","SALIN, SASU","DOORNEKAMP, AARON","DUBLJEVIC, BOJAN","VAN ROSSOM, SAM","THOMAS, WILL","GREEN, ERICK"
9,PAM,42.0,08:15,2,24,"DOORNEKAMP, AARON",P002763   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,5.0,Valencia Basket,Unicaja Malaga,MAL,Valencia Basket,PAM,8,15,0.0,3.0,"WACZYNSKI, ADAM","DIAZ, ALBERTO","BROOKS, JEFF","SHERMADINI, GIORGI","SALIN, SASU","DOORNEKAMP, AARON","DUBLJEVIC, BOJAN","VAN ROSSOM, SAM","THOMAS, WILL","GREEN, ERICK"
