CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,30,,          ,Begin Period,BP,0.0,0.0,,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,0,0,,,0.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
PAN,43.0,09:35,1,31,"ANTETOKOUNMPO, THANASIS",P007865   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,9,35,25.0,25.0,0.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
PAN,43.0,09:35,1,32,"ANTETOKOUNMPO, THANASIS",P007865   ,Shot Rejected (1),AG,0.0,0.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,9,35,25.0,25.0,0.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
IST,42.0,09:33,1,33,"DUNSTON, BRYANT",P003048   ,Block (1),FV,0.0,0.0,Anadolu Efes Istanbul,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,9,33,27.0,27.0,2.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
IST,5.0,09:31,1,34,"BROWN, DERRICK",P004425   ,Def Rebound (1),D,0.0,0.0,Anadolu Efes Istanbul,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,9,31,29.0,29.0,2.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
IST,44.0,09:11,1,35,"SIMON, KRUNOSLAV",PCPR      ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Anadolu Efes Istanbul,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,9,11,49.0,49.0,20.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
PAN,14.0,09:09,1,36,"GIST, JAMES",P002980   ,Def Rebound (1),D,0.0,0.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,9,9,51.0,51.0,2.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
PAN,43.0,09:05,1,37,"ANTETOKOUNMPO, THANASIS",P007865   ,Missed Two Pointer (0/2 -  0 pt),2FGA,0.0,0.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,9,5,55.0,55.0,4.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
IST,5.0,09:03,1,38,"BROWN, DERRICK",P004425   ,Def Rebound (2),D,0.0,0.0,Anadolu Efes Istanbul,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,9,3,57.0,57.0,2.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
IST,14.0,08:44,2,40,"ADAMS, JOSH",P007872   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Anadolu Efes Istanbul,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,8,44,16.0,76.0,19.0,0.0,2.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
PAN,24.0,08:26,2,41,"LOJESKI, MATT",P003608   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,2.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,8,26,34.0,94.0,18.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
PAN,,08:24,2,42,,          ,Off Rebound (1),O,0.0,2.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,8,24,36.0,96.0,2.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
PAN,33.0,08:18,2,43,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,2.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Anadolu Efes Istanbul,IST,8,18,42.0,102.0,6.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","GIST, JAMES","LOJESKI, MATT","CALATHES, NICK","SINGLETON, CHRIS","DUNSTON, BRYANT","BROWN, DERRICK","SIMON, KRUNOSLAV","ADAMS, JOSH","DRAGIC, ZORAN"
