CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,5,,          ,Begin Period,BP,0.0,0.0,,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,0,0,,,0.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
RED,22.0,09:39,1,6,"ROCHESTIE, TAYLOR",P002972   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,9,39,21.0,21.0,0.0,3.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
ZAL,0.0,09:18,1,7,"DAVIES, BRANDON",P007870   ,Missed Two Pointer (0/1 -  0 pt),2FGA,3.0,0.0,Zalgiris Kaunas,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,9,18,42.0,42.0,21.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
RED,26.0,09:17,1,8,"LESSORT, MATHIAS",P003842   ,Def Rebound (1),D,3.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,9,17,43.0,43.0,1.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
RED,10.0,08:55,2,10,"LAZIC, BRANKO",PLUO      ,Missed Two Pointer (0/1 -  0 pt),2FGA,3.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,55,5.0,65.0,22.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
ZAL,13.0,08:54,2,11,"JANKUNAS, PAULIUS",PBWI      ,Def Rebound (1),D,3.0,0.0,Zalgiris Kaunas,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,54,6.0,66.0,1.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
ZAL,0.0,08:41,2,12,"DAVIES, BRANDON",P007870   ,Missed Two Pointer (0/2 -  0 pt),2FGA,3.0,0.0,Zalgiris Kaunas,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,41,19.0,79.0,13.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
RED,6.0,08:40,2,13,"DANGUBIC, NEMANJA",P005942   ,Def Rebound (1),D,3.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,40,20.0,80.0,1.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
RED,10.0,08:32,2,14,"LAZIC, BRANKO",PLUO      ,Missed Three Pointer (0/1 -  0 pt),3FGA,3.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,32,28.0,88.0,8.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
RED,22.0,08:31,2,15,"ROCHESTIE, TAYLOR",P002972   ,Off Rebound (1),O,3.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,31,29.0,89.0,1.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
ZAL,6.0,08:22,2,16,"TOUPANE, AXEL",P002582   ,Foul (1),CM,3.0,0.0,Zalgiris Kaunas,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,22,38.0,98.0,9.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
RED,22.0,08:22,2,17,"ROCHESTIE, TAYLOR",P002972   ,Foul Drawn (1),RV,3.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,22,38.0,98.0,0.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
RED,22.0,08:22,2,18,"ROCHESTIE, TAYLOR",P002972   ,Free Throw In (1/1 -  4 pt),FTM,4.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,22,38.0,98.0,0.0,1.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
RED,22.0,08:22,2,19,"ROCHESTIE, TAYLOR",P002972   ,Free Throw In (2/2 -  5 pt),FTM,5.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,22,38.0,98.0,0.0,1.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
ZAL,0.0,08:04,2,20,"DAVIES, BRANDON",P007870   ,Missed Two Pointer (0/3 -  0 pt),2FGA,5.0,0.0,Zalgiris Kaunas,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,4,56.0,116.0,18.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
RED,6.0,08:03,2,21,"DANGUBIC, NEMANJA",P005942   ,Def Rebound (2),D,5.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,8,3,57.0,117.0,1.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
ZAL,13.0,07:53,3,23,"JANKUNAS, PAULIUS",PBWI      ,Block (1),FV,5.0,0.0,Zalgiris Kaunas,Crvena Zvezda mts Belgrade,RED,Zalgiris Kaunas,ZAL,7,53,7.0,127.0,10.0,0.0,0.0,"ROCHESTIE, TAYLOR","LESSORT, MATHIAS","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","DAVIES, BRANDON","JANKUNAS, PAULIUS","TOUPANE, AXEL","ULANOVAS, EDGARAS","PANGOS, KEVIN"
