CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,10,,          ,Begin Period,BP,0.0,0.0,,Fenerbahce Dogus Istanbul,ULK,Baskonia Vitoria Gasteiz,BAS,0,0,,,,0.0,0.0,"MUHAMMED, ALI","THOMPSON, JASON","MELLI, NICOLO","GUDURIC, MARKO","MAHMUTOGLU, MELIH","GARINO, PATRICIO","SHENGELIA, TORNIKE","JANNING, MATT","HUERTAS, MARCELINHO","POIRIER, VINCENT"
ULK,35.0,09:42,1,11,"MUHAMMED, ALI",P001324   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Baskonia Vitoria Gasteiz,BAS,9,42,18.0,18.0,,3.0,0.0,"MUHAMMED, ALI","THOMPSON, JASON","MELLI, NICOLO","GUDURIC, MARKO","MAHMUTOGLU, MELIH","GARINO, PATRICIO","SHENGELIA, TORNIKE","JANNING, MATT","HUERTAS, MARCELINHO","POIRIER, VINCENT"
ULK,1.0,09:40,1,12,"THOMPSON, JASON",P007998   ,Assist (1),AS,3.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Baskonia Vitoria Gasteiz,BAS,9,40,20.0,20.0,2.0,0.0,0.0,"MUHAMMED, ALI","THOMPSON, JASON","MELLI, NICOLO","GUDURIC, MARKO","MAHMUTOGLU, MELIH","GARINO, PATRICIO","SHENGELIA, TORNIKE","JANNING, MATT","HUERTAS, MARCELINHO","POIRIER, VINCENT"
BAS,,09:15,1,13,,          ,Turnover (1),TO,3.0,0.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,ULK,Baskonia Vitoria Gasteiz,BAS,9,15,45.0,45.0,25.0,0.0,0.0,"MUHAMMED, ALI","THOMPSON, JASON","MELLI, NICOLO","GUDURIC, MARKO","MAHMUTOGLU, MELIH","GARINO, PATRICIO","SHENGELIA, TORNIKE","JANNING, MATT","HUERTAS, MARCELINHO","POIRIER, VINCENT"
ULK,35.0,09:03,1,14,"MUHAMMED, ALI",P001324   ,Missed Three Pointer (1/2 -  3 pt),3FGA,3.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Baskonia Vitoria Gasteiz,BAS,9,3,57.0,57.0,12.0,0.0,0.0,"MUHAMMED, ALI","THOMPSON, JASON","MELLI, NICOLO","GUDURIC, MARKO","MAHMUTOGLU, MELIH","GARINO, PATRICIO","SHENGELIA, TORNIKE","JANNING, MATT","HUERTAS, MARCELINHO","POIRIER, VINCENT"
BAS,29.0,09:01,1,15,"GARINO, PATRICIO",P007994   ,Def Rebound (1),D,3.0,0.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,ULK,Baskonia Vitoria Gasteiz,BAS,9,1,59.0,59.0,2.0,0.0,0.0,"MUHAMMED, ALI","THOMPSON, JASON","MELLI, NICOLO","GUDURIC, MARKO","MAHMUTOGLU, MELIH","GARINO, PATRICIO","SHENGELIA, TORNIKE","JANNING, MATT","HUERTAS, MARCELINHO","POIRIER, VINCENT"
BAS,23.0,08:47,2,17,"SHENGELIA, TORNIKE",P001133   ,Two Pointer (1/1 -  2 pt),2FGM,3.0,2.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,ULK,Baskonia Vitoria Gasteiz,BAS,8,47,13.0,73.0,14.0,0.0,2.0,"MUHAMMED, ALI","THOMPSON, JASON","MELLI, NICOLO","GUDURIC, MARKO","MAHMUTOGLU, MELIH","GARINO, PATRICIO","SHENGELIA, TORNIKE","JANNING, MATT","HUERTAS, MARCELINHO","POIRIER, VINCENT"
ULK,1.0,08:26,2,18,"THOMPSON, JASON",P007998   ,Missed Two Pointer (0/1 -  0 pt),2FGA,3.0,2.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Baskonia Vitoria Gasteiz,BAS,8,26,34.0,94.0,21.0,0.0,0.0,"MUHAMMED, ALI","THOMPSON, JASON","MELLI, NICOLO","GUDURIC, MARKO","MAHMUTOGLU, MELIH","GARINO, PATRICIO","SHENGELIA, TORNIKE","JANNING, MATT","HUERTAS, MARCELINHO","POIRIER, VINCENT"
ULK,1.0,08:24,2,19,"THOMPSON, JASON",P007998   ,Off Rebound (1),O,3.0,2.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Baskonia Vitoria Gasteiz,BAS,8,24,36.0,96.0,2.0,0.0,0.0,"MUHAMMED, ALI","THOMPSON, JASON","MELLI, NICOLO","GUDURIC, MARKO","MAHMUTOGLU, MELIH","GARINO, PATRICIO","SHENGELIA, TORNIKE","JANNING, MATT","HUERTAS, MARCELINHO","POIRIER, VINCENT"
ULK,1.0,08:16,2,20,"THOMPSON, JASON",P007998   ,Two Pointer (1/2 -  2 pt),2FGM,5.0,2.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Baskonia Vitoria Gasteiz,BAS,8,16,44.0,104.0,8.0,2.0,0.0,"MUHAMMED, ALI","THOMPSON, JASON","MELLI, NICOLO","GUDURIC, MARKO","MAHMUTOGLU, MELIH","GARINO, PATRICIO","SHENGELIA, TORNIKE","JANNING, MATT","HUERTAS, MARCELINHO","POIRIER, VINCENT"
