CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,AX Armani Exchange Olimpia Milan,MIL,CSKA Moscow,CSK,0,0,,,0.0,0.0,0.0,"KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","CINCIARINI, ANDREA","BERTANS, DAIRIS","ANTONOV, SEMEN","CLYBURN, WILL","DE COLO, NANDO","KURBANOV, NIKITA","HUNTER, OTHELLO"
MIL,19.0,09:58,1,3,"KUZMINSKAS, MINDAUGAS",P002008   ,Foul Drawn (1),RV,0.0,0.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,CSKA Moscow,CSK,9,58,2.0,2.0,0.0,0.0,0.0,"KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","CINCIARINI, ANDREA","BERTANS, DAIRIS","ANTONOV, SEMEN","CLYBURN, WILL","DE COLO, NANDO","KURBANOV, NIKITA","HUNTER, OTHELLO"
CSK,11.0,09:58,1,4,"ANTONOV, SEMEN",P004941   ,Foul (1),CM,0.0,0.0,CSKA Moscow,AX Armani Exchange Olimpia Milan,MIL,CSKA Moscow,CSK,9,58,2.0,2.0,0.0,0.0,0.0,"KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","CINCIARINI, ANDREA","BERTANS, DAIRIS","ANTONOV, SEMEN","CLYBURN, WILL","DE COLO, NANDO","KURBANOV, NIKITA","HUNTER, OTHELLO"
MIL,5.0,09:40,1,5,"MICOV, VLADIMIR",P000529   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,CSKA Moscow,CSK,9,40,20.0,20.0,18.0,0.0,0.0,"KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","CINCIARINI, ANDREA","BERTANS, DAIRIS","ANTONOV, SEMEN","CLYBURN, WILL","DE COLO, NANDO","KURBANOV, NIKITA","HUNTER, OTHELLO"
CSK,21.0,09:37,1,6,"CLYBURN, WILL",P004888   ,Def Rebound (1),D,0.0,0.0,CSKA Moscow,AX Armani Exchange Olimpia Milan,MIL,CSKA Moscow,CSK,9,37,23.0,23.0,3.0,0.0,0.0,"KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","CINCIARINI, ANDREA","BERTANS, DAIRIS","ANTONOV, SEMEN","CLYBURN, WILL","DE COLO, NANDO","KURBANOV, NIKITA","HUNTER, OTHELLO"
CSK,1.0,09:30,1,7,"DE COLO, NANDO",P002100   ,Foul Drawn (1),RV,0.0,0.0,CSKA Moscow,AX Armani Exchange Olimpia Milan,MIL,CSKA Moscow,CSK,9,30,30.0,30.0,7.0,0.0,0.0,"KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","CINCIARINI, ANDREA","BERTANS, DAIRIS","ANTONOV, SEMEN","CLYBURN, WILL","DE COLO, NANDO","KURBANOV, NIKITA","HUNTER, OTHELLO"
MIL,15.0,09:30,1,8,"TARCZEWSKI, KALEB",P008004   ,Foul (1),CM,0.0,0.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,CSKA Moscow,CSK,9,30,30.0,30.0,0.0,0.0,0.0,"KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","CINCIARINI, ANDREA","BERTANS, DAIRIS","ANTONOV, SEMEN","CLYBURN, WILL","DE COLO, NANDO","KURBANOV, NIKITA","HUNTER, OTHELLO"
CSK,1.0,09:30,1,9,"DE COLO, NANDO",P002100   ,Free Throw In (1/1 -  1 pt),FTM,0.0,1.0,CSKA Moscow,AX Armani Exchange Olimpia Milan,MIL,CSKA Moscow,CSK,9,30,30.0,30.0,0.0,0.0,1.0,"KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","CINCIARINI, ANDREA","BERTANS, DAIRIS","ANTONOV, SEMEN","CLYBURN, WILL","DE COLO, NANDO","KURBANOV, NIKITA","HUNTER, OTHELLO"
CSK,1.0,09:30,1,10,"DE COLO, NANDO",P002100   ,Free Throw In (2/2 -  2 pt),FTM,0.0,2.0,CSKA Moscow,AX Armani Exchange Olimpia Milan,MIL,CSKA Moscow,CSK,9,30,30.0,30.0,0.0,0.0,1.0,"KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","CINCIARINI, ANDREA","BERTANS, DAIRIS","ANTONOV, SEMEN","CLYBURN, WILL","DE COLO, NANDO","KURBANOV, NIKITA","HUNTER, OTHELLO"
MIL,15.0,09:23,1,11,"TARCZEWSKI, KALEB",P008004   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,2.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,CSKA Moscow,CSK,9,23,37.0,37.0,7.0,0.0,0.0,"KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","CINCIARINI, ANDREA","BERTANS, DAIRIS","ANTONOV, SEMEN","CLYBURN, WILL","DE COLO, NANDO","KURBANOV, NIKITA","HUNTER, OTHELLO"
