CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Crvena Zvezda mts Belgrade,RED,Khimki Moscow Region,KHI,0,0,,,,0.0,0.0,"DANGUBIC, NEMANJA","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO","LESSORT, MATHIAS","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM"
KHI,1.0,09:59,1,3,"SHVED, ALEXEY",PKVZ      ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Khimki Moscow Region,Crvena Zvezda mts Belgrade,RED,Khimki Moscow Region,KHI,9,59,1.0,1.0,,0.0,2.0,"DANGUBIC, NEMANJA","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO","LESSORT, MATHIAS","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM"
RED,6.0,09:26,1,4,"DANGUBIC, NEMANJA",P005942   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Khimki Moscow Region,KHI,9,26,34.0,34.0,33.0,3.0,0.0,"DANGUBIC, NEMANJA","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO","LESSORT, MATHIAS","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM"
RED,22.0,09:25,1,5,"ROCHESTIE, TAYLOR",P002972   ,Assist (1),AS,3.0,2.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Khimki Moscow Region,KHI,9,25,35.0,35.0,1.0,0.0,0.0,"DANGUBIC, NEMANJA","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO","LESSORT, MATHIAS","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM"
KHI,13.0,09:07,1,6,"GILL, ANTHONY",P008001   ,Missed Two Pointer (0/1 -  0 pt),2FGA,3.0,2.0,Khimki Moscow Region,Crvena Zvezda mts Belgrade,RED,Khimki Moscow Region,KHI,9,7,53.0,53.0,18.0,0.0,0.0,"DANGUBIC, NEMANJA","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO","LESSORT, MATHIAS","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM"
RED,51.0,09:06,1,7,"BJELICA, MILKO",PCHX      ,Def Rebound (1),D,3.0,2.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Khimki Moscow Region,KHI,9,6,54.0,54.0,1.0,0.0,0.0,"DANGUBIC, NEMANJA","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO","LESSORT, MATHIAS","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM"
RED,51.0,08:54,2,9,"BJELICA, MILKO",PCHX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,3.0,2.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Khimki Moscow Region,KHI,8,54,6.0,66.0,12.0,0.0,0.0,"DANGUBIC, NEMANJA","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO","LESSORT, MATHIAS","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM"
KHI,21.0,08:53,2,10,"ANDERSON, JAMES",P005938   ,Def Rebound (1),D,3.0,2.0,Khimki Moscow Region,Crvena Zvezda mts Belgrade,RED,Khimki Moscow Region,KHI,8,53,7.0,67.0,1.0,0.0,0.0,"DANGUBIC, NEMANJA","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO","LESSORT, MATHIAS","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM"
KHI,21.0,08:46,2,11,"ANDERSON, JAMES",P005938   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,5.0,Khimki Moscow Region,Crvena Zvezda mts Belgrade,RED,Khimki Moscow Region,KHI,8,46,14.0,74.0,7.0,0.0,3.0,"DANGUBIC, NEMANJA","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO","LESSORT, MATHIAS","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM"
KHI,1.0,08:46,2,12,"SHVED, ALEXEY",PKVZ      ,Assist (1),AS,3.0,5.0,Khimki Moscow Region,Crvena Zvezda mts Belgrade,RED,Khimki Moscow Region,KHI,8,46,14.0,74.0,0.0,0.0,0.0,"DANGUBIC, NEMANJA","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO","LESSORT, MATHIAS","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM"
