CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN,0,0,,,0.0,0.0,0.0,"GUDURIC, MARKO","SLOUKAS, KOSTAS","MELLI, NICOLO","DATOME, LUIGI","THOMPSON, JASON","DENMON, MARCUS","ANTETOKOUNMPO, THANASIS","CALATHES, NICK","GIST, JAMES","SINGLETON, CHRIS"
PAN,12.0,09:42,1,3,"DENMON, MARCUS",P004195   ,Three Pointer (1/1 -  3 pt),3FGM,0.0,3.0,Panathinaikos Superfoods Athens,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN,9,42,18.0,18.0,0.0,0.0,3.0,"GUDURIC, MARKO","SLOUKAS, KOSTAS","MELLI, NICOLO","DATOME, LUIGI","THOMPSON, JASON","DENMON, MARCUS","ANTETOKOUNMPO, THANASIS","CALATHES, NICK","GIST, JAMES","SINGLETON, CHRIS"
PAN,43.0,09:40,1,4,"ANTETOKOUNMPO, THANASIS",P007865   ,Assist (1),AS,0.0,3.0,Panathinaikos Superfoods Athens,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN,9,40,20.0,20.0,2.0,0.0,0.0,"GUDURIC, MARKO","SLOUKAS, KOSTAS","MELLI, NICOLO","DATOME, LUIGI","THOMPSON, JASON","DENMON, MARCUS","ANTETOKOUNMPO, THANASIS","CALATHES, NICK","GIST, JAMES","SINGLETON, CHRIS"
ULK,23.0,09:31,1,5,"GUDURIC, MARKO",P004004   ,Turnover (1),TO,0.0,3.0,FB Dogus,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN,9,31,29.0,29.0,9.0,0.0,0.0,"GUDURIC, MARKO","SLOUKAS, KOSTAS","MELLI, NICOLO","DATOME, LUIGI","THOMPSON, JASON","DENMON, MARCUS","ANTETOKOUNMPO, THANASIS","CALATHES, NICK","GIST, JAMES","SINGLETON, CHRIS"
PAN,43.0,09:31,1,6,"ANTETOKOUNMPO, THANASIS",P007865   ,Steal (1),ST,0.0,3.0,Panathinaikos Superfoods Athens,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN,9,31,29.0,29.0,0.0,0.0,0.0,"GUDURIC, MARKO","SLOUKAS, KOSTAS","MELLI, NICOLO","DATOME, LUIGI","THOMPSON, JASON","DENMON, MARCUS","ANTETOKOUNMPO, THANASIS","CALATHES, NICK","GIST, JAMES","SINGLETON, CHRIS"
PAN,33.0,09:31,1,7,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,3.0,Panathinaikos Superfoods Athens,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN,9,31,29.0,29.0,0.0,0.0,0.0,"GUDURIC, MARKO","SLOUKAS, KOSTAS","MELLI, NICOLO","DATOME, LUIGI","THOMPSON, JASON","DENMON, MARCUS","ANTETOKOUNMPO, THANASIS","CALATHES, NICK","GIST, JAMES","SINGLETON, CHRIS"
ULK,,09:31,1,8,,          ,Def Rebound (1),D,0.0,3.0,FB Dogus,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN,9,31,29.0,29.0,0.0,0.0,0.0,"GUDURIC, MARKO","SLOUKAS, KOSTAS","MELLI, NICOLO","DATOME, LUIGI","THOMPSON, JASON","DENMON, MARCUS","ANTETOKOUNMPO, THANASIS","CALATHES, NICK","GIST, JAMES","SINGLETON, CHRIS"
ULK,16.0,08:54,2,10,"SLOUKAS, KOSTAS",P001926   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,FB Dogus,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN,8,54,6.0,66.0,37.0,2.0,0.0,"GUDURIC, MARKO","SLOUKAS, KOSTAS","MELLI, NICOLO","DATOME, LUIGI","THOMPSON, JASON","DENMON, MARCUS","ANTETOKOUNMPO, THANASIS","CALATHES, NICK","GIST, JAMES","SINGLETON, CHRIS"
ULK,4.0,08:51,2,11,"MELLI, NICOLO",P002849   ,Assist (1),AS,2.0,3.0,FB Dogus,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN,8,51,9.0,69.0,3.0,0.0,0.0,"GUDURIC, MARKO","SLOUKAS, KOSTAS","MELLI, NICOLO","DATOME, LUIGI","THOMPSON, JASON","DENMON, MARCUS","ANTETOKOUNMPO, THANASIS","CALATHES, NICK","GIST, JAMES","SINGLETON, CHRIS"
PAN,14.0,08:29,2,12,"GIST, JAMES",P002980   ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,3.0,Panathinaikos Superfoods Athens,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN,8,29,31.0,91.0,22.0,0.0,0.0,"GUDURIC, MARKO","SLOUKAS, KOSTAS","MELLI, NICOLO","DATOME, LUIGI","THOMPSON, JASON","DENMON, MARCUS","ANTETOKOUNMPO, THANASIS","CALATHES, NICK","GIST, JAMES","SINGLETON, CHRIS"
