,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,39,,          ,Begin Period,BP,0.0,0.0,,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,0,0,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
1,BAR,9.0,09:48,1,40,"HANGA, ADAM",P005099   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,9,48,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
2,BAR,44.0,09:45,1,41,"TOMIC, ANTE",P002507   ,Off Rebound (1),O,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,9,45,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
3,BAR,11.0,09:38,1,42,"NAVARRO, JUAN CARLOS",PADI      ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,9,38,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
4,BAM,,09:36,1,43,,          ,Def Rebound (1),D,0.0,0.0,Brose Bamberg,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,9,36,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
5,BAM,6.0,09:36,1,44,"ZISIS, NIKOS",PABN      ,Turnover (1),TO,0.0,0.0,Brose Bamberg,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,9,36,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
6,BAR,5.0,09:27,1,45,"RIBAS, PAU",PJUG      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,9,27,2.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
7,BAR,45.0,09:06,1,46,"MOERMAN, ADRIEN",P001833   ,Foul (1),CM,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,9,6,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
8,BAM,21.0,09:06,1,47,"RUBIT, AUGUSTINE",P006477   ,Foul Drawn (1),RV,2.0,0.0,Brose Bamberg,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,9,6,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
9,BAM,6.0,08:58,2,49,"ZISIS, NIKOS",PABN      ,Turnover (2),TO,2.0,0.0,Brose Bamberg,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,8,58,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
10,BAR,9.0,08:56,2,50,"HANGA, ADAM",P005099   ,Steal (1),ST,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,8,56,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
11,BAR,5.0,08:50,2,51,"RIBAS, PAU",PJUG      ,Missed Three Pointer (0/1 -  2 pt),3FGA,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,8,50,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
12,BAM,42.0,08:47,2,52,"MUSLI, DEJAN",PLUR      ,Def Rebound (1),D,2.0,0.0,Brose Bamberg,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,8,47,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
13,BAM,33.0,08:42,2,53,"HECKMANN, PATRICK",P006420   ,Turnover (1),TO,2.0,0.0,Brose Bamberg,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,8,42,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
14,BAR,45.0,08:40,2,54,"MOERMAN, ADRIEN",P001833   ,Steal (1),ST,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,8,40,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
15,BAR,11.0,08:38,2,55,"NAVARRO, JUAN CARLOS",PADI      ,Turnover (1),TO,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,8,38,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
16,BAM,21.0,08:37,2,56,"RUBIT, AUGUSTINE",P006477   ,Steal (1),ST,2.0,0.0,Brose Bamberg,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,8,37,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
17,BAM,33.0,08:17,2,57,"HECKMANN, PATRICK",P006420   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,0.0,Brose Bamberg,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,8,17,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
18,BAM,33.0,08:17,2,58,"HECKMANN, PATRICK",P006420   ,Shot Rejected (1),AG,2.0,0.0,Brose Bamberg,FC Barcelona Lassa,BAR,Brose Bamberg,BAM,8,17,0.0,0.0,"HANGA, ADAM","TOMIC, ANTE","NAVARRO, JUAN CARLOS","RIBAS, PAU","MOERMAN, ADRIEN","ZISIS, NIKOS","RUBIT, AUGUSTINE","MUSLI, DEJAN","HECKMANN, PATRICK","LO, MAODO"
