CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,25,,          ,Begin Period,BP,0.0,0.0,,Panathinaikos Superfoods Athens,PAN,CSKA Moscow,CSK,0,0,,,,0.0,0.0,"ANTETOKOUNMPO, THANASIS","CALATHES, NICK","SINGLETON, CHRIS","GABRIEL, KENNY","RIVERS, KC","HIGGINS, CORY","CLYBURN, WILL","KURBANOV, NIKITA","DE COLO, NANDO","HINES, KYLE"
PAN,43.0,09:50,1,26,"ANTETOKOUNMPO, THANASIS",P007865   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,CSKA Moscow,CSK,9,50,10.0,10.0,,2.0,0.0,"ANTETOKOUNMPO, THANASIS","CALATHES, NICK","SINGLETON, CHRIS","GABRIEL, KENNY","RIVERS, KC","HIGGINS, CORY","CLYBURN, WILL","KURBANOV, NIKITA","DE COLO, NANDO","HINES, KYLE"
CSK,22.0,09:29,1,27,"HIGGINS, CORY",P006450   ,Turnover (1),TO,2.0,0.0,CSKA Moscow,Panathinaikos Superfoods Athens,PAN,CSKA Moscow,CSK,9,29,31.0,31.0,21.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","CALATHES, NICK","SINGLETON, CHRIS","GABRIEL, KENNY","RIVERS, KC","HIGGINS, CORY","CLYBURN, WILL","KURBANOV, NIKITA","DE COLO, NANDO","HINES, KYLE"
PAN,33.0,09:15,1,28,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,0.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,CSKA Moscow,CSK,9,15,45.0,45.0,14.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","CALATHES, NICK","SINGLETON, CHRIS","GABRIEL, KENNY","RIVERS, KC","HIGGINS, CORY","CLYBURN, WILL","KURBANOV, NIKITA","DE COLO, NANDO","HINES, KYLE"
CSK,22.0,09:13,1,29,"HIGGINS, CORY",P006450   ,Def Rebound (1),D,2.0,0.0,CSKA Moscow,Panathinaikos Superfoods Athens,PAN,CSKA Moscow,CSK,9,13,47.0,47.0,2.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","CALATHES, NICK","SINGLETON, CHRIS","GABRIEL, KENNY","RIVERS, KC","HIGGINS, CORY","CLYBURN, WILL","KURBANOV, NIKITA","DE COLO, NANDO","HINES, KYLE"
CSK,21.0,08:56,2,31,"CLYBURN, WILL",P004888   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,0.0,CSKA Moscow,Panathinaikos Superfoods Athens,PAN,CSKA Moscow,CSK,8,56,4.0,64.0,17.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","CALATHES, NICK","SINGLETON, CHRIS","GABRIEL, KENNY","RIVERS, KC","HIGGINS, CORY","CLYBURN, WILL","KURBANOV, NIKITA","DE COLO, NANDO","HINES, KYLE"
PAN,43.0,08:53,2,32,"ANTETOKOUNMPO, THANASIS",P007865   ,Def Rebound (1),D,2.0,0.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,CSKA Moscow,CSK,8,53,7.0,67.0,3.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","CALATHES, NICK","SINGLETON, CHRIS","GABRIEL, KENNY","RIVERS, KC","HIGGINS, CORY","CLYBURN, WILL","KURBANOV, NIKITA","DE COLO, NANDO","HINES, KYLE"
PAN,0.0,08:46,2,33,"SINGLETON, CHRIS",P006614   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,0.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,CSKA Moscow,CSK,8,46,14.0,74.0,7.0,3.0,0.0,"ANTETOKOUNMPO, THANASIS","CALATHES, NICK","SINGLETON, CHRIS","GABRIEL, KENNY","RIVERS, KC","HIGGINS, CORY","CLYBURN, WILL","KURBANOV, NIKITA","DE COLO, NANDO","HINES, KYLE"
PAN,33.0,08:45,2,34,"CALATHES, NICK",P001932   ,Assist (1),AS,5.0,0.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,CSKA Moscow,CSK,8,45,15.0,75.0,1.0,0.0,0.0,"ANTETOKOUNMPO, THANASIS","CALATHES, NICK","SINGLETON, CHRIS","GABRIEL, KENNY","RIVERS, KC","HIGGINS, CORY","CLYBURN, WILL","KURBANOV, NIKITA","DE COLO, NANDO","HINES, KYLE"
CSK,41.0,08:25,2,35,"KURBANOV, NIKITA",PJLX      ,Two Pointer (1/1 -  2 pt),2FGM,5.0,2.0,CSKA Moscow,Panathinaikos Superfoods Athens,PAN,CSKA Moscow,CSK,8,25,35.0,95.0,20.0,0.0,2.0,"ANTETOKOUNMPO, THANASIS","CALATHES, NICK","SINGLETON, CHRIS","GABRIEL, KENNY","RIVERS, KC","HIGGINS, CORY","CLYBURN, WILL","KURBANOV, NIKITA","DE COLO, NANDO","HINES, KYLE"
