CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,0,0,,,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,3.0,09:31,1,3,"MCCOLLUM, ERRICK",P005216   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,31,29.0,29.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,14.0,09:28,1,4,"DUBLJEVIC, BOJAN",P002742   ,Def Rebound (1),D,0.0,0.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,28,32.0,32.0,3.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,2.0,09:09,1,5,"DOELLMAN, JUSTIN",P001832   ,Foul (1),CM,0.0,0.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,9,51.0,51.0,19.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,14.0,09:09,1,252,"DUBLJEVIC, BOJAN",P002742   ,Foul Drawn (1),RV,0.0,0.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,9,51.0,51.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,14.0,09:09,1,6,"DUBLJEVIC, BOJAN",P002742   ,Free Throw In (1/1 -  1 pt),FTM,1.0,0.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,9,51.0,51.0,0.0,1.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,14.0,09:09,1,7,"DUBLJEVIC, BOJAN",P002742   ,Free Throw In (2/2 -  2 pt),FTM,2.0,0.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,9,51.0,51.0,0.0,1.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,24.0,09:01,1,8,"MURIC, EDO",P003515   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,1,59.0,59.0,8.0,0.0,2.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,32.0,09:01,1,9,"GREEN, ERICK",P005159   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,2.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,1,59.0,59.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,2.0,09:01,1,10,"DOELLMAN, JUSTIN",P001832   ,Def Rebound (1),D,2.0,2.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,1,59.0,59.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,44.0,09:01,1,11,"SIMON, KRUNOSLAV",PCPR      ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,2.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,1,59.0,59.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,14.0,09:01,1,12,"DUBLJEVIC, BOJAN",P002742   ,Def Rebound (2),D,2.0,2.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,1,59.0,59.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,30.0,09:01,1,13,"SASTRE, JOAN",P002936   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,2.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,1,59.0,59.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,2.0,09:01,1,14,"DOELLMAN, JUSTIN",P001832   ,Def Rebound (2),D,2.0,2.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,1,59.0,59.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,44.0,09:01,1,15,"SIMON, KRUNOSLAV",PCPR      ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,2.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,1,59.0,59.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,0.0,09:01,1,16,"THOMAS, WILL",P005856   ,Def Rebound (1),D,2.0,2.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,1,59.0,59.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,0.0,09:01,1,17,"THOMAS, WILL",P005856   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,2.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,1,59.0,59.0,0.0,2.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,30.0,09:01,1,18,"SASTRE, JOAN",P002936   ,Assist (1),AS,4.0,2.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,1,59.0,59.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,2.0,09:19,1,19,"DOELLMAN, JUSTIN",P001832   ,Missed Two Pointer (0/1 -  0 pt),2FGA,4.0,2.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,19,41.0,59.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,44.0,09:16,1,20,"SIMON, KRUNOSLAV",PCPR      ,Off Rebound (1),O,4.0,2.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,16,44.0,44.0,-15.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,24.0,09:14,1,21,"MURIC, EDO",P003515   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,4.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,14,46.0,46.0,2.0,0.0,2.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,44.0,09:12,1,22,"SIMON, KRUNOSLAV",PCPR      ,Assist (1),AS,4.0,4.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,12,48.0,48.0,2.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,44.0,09:03,1,23,"SIMON, KRUNOSLAV",PCPR      ,Foul (1),CM,4.0,4.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,3,57.0,57.0,9.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,16.0,09:03,1,24,"VIVES, GUILLEM",P002361   ,Foul Drawn (1),RV,4.0,4.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,3,57.0,57.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,14.0,09:53,1,25,"DUBLJEVIC, BOJAN",P002742   ,Missed Two Pointer (0/1 -  2 pt),2FGA,4.0,4.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,53,7.0,57.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,14.0,09:16,1,26,"DUBLJEVIC, BOJAN",P002742   ,Off Rebound (1),O,4.0,4.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,16,44.0,44.0,-13.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,14.0,09:16,1,27,"DUBLJEVIC, BOJAN",P002742   ,Two Pointer (1/2 -  4 pt),2FGM,6.0,4.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,9,16,44.0,44.0,0.0,2.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
PAM,14.0,06:36,4,31,"DUBLJEVIC, BOJAN",P002742   ,Foul (1),CM,6.0,4.0,Valencia Basket,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,6,36,24.0,204.0,160.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
IST,42.0,06:36,4,172,"DUNSTON, BRYANT",P003048   ,Foul Drawn (1),RV,6.0,4.0,Anadolu Efes Istanbul,Valencia Basket,PAM,Anadolu Efes Istanbul,IST,6,36,24.0,204.0,0.0,0.0,0.0,"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM","MCCOLLUM, ERRICK","DOELLMAN, JUSTIN","MURIC, EDO","SIMON, KRUNOSLAV","DUNSTON, BRYANT"
