,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Maccabi FOX Tel Aviv,TEL,Baskonia Vitoria Gasteiz,BAS,0,0,0.0,0.0,"KANE, DEANDRE","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","GRANGER, JAYSON","SHENGELIA, TORNIKE","HUERTAS, MARCELINHO","VOIGTMANN, JOHANNES","TIMMA, JANIS"
1,TEL,7.0,09:52,1,3,"KANE, DEANDRE",P005781   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Baskonia Vitoria Gasteiz,BAS,9,52,0.0,0.0,"KANE, DEANDRE","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","GRANGER, JAYSON","SHENGELIA, TORNIKE","HUERTAS, MARCELINHO","VOIGTMANN, JOHANNES","TIMMA, JANIS"
2,TEL,7.0,09:43,1,4,"KANE, DEANDRE",P005781   ,Off Rebound (1),O,0.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Baskonia Vitoria Gasteiz,BAS,9,43,0.0,0.0,"KANE, DEANDRE","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","GRANGER, JAYSON","SHENGELIA, TORNIKE","HUERTAS, MARCELINHO","VOIGTMANN, JOHANNES","TIMMA, JANIS"
3,TEL,7.0,09:41,1,5,"KANE, DEANDRE",P005781   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Baskonia Vitoria Gasteiz,BAS,9,41,2.0,0.0,"KANE, DEANDRE","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","GRANGER, JAYSON","SHENGELIA, TORNIKE","HUERTAS, MARCELINHO","VOIGTMANN, JOHANNES","TIMMA, JANIS"
4,TEL,7.0,09:40,1,6,"KANE, DEANDRE",P005781   ,Foul (1),CM,2.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Baskonia Vitoria Gasteiz,BAS,9,40,0.0,0.0,"KANE, DEANDRE","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","GRANGER, JAYSON","SHENGELIA, TORNIKE","HUERTAS, MARCELINHO","VOIGTMANN, JOHANNES","TIMMA, JANIS"
5,BAS,15.0,09:40,1,7,"GRANGER, JAYSON",P003024   ,Foul Drawn (1),RV,2.0,0.0,Baskonia Vitoria Gasteiz,Maccabi FOX Tel Aviv,TEL,Baskonia Vitoria Gasteiz,BAS,9,40,0.0,0.0,"KANE, DEANDRE","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","GRANGER, JAYSON","SHENGELIA, TORNIKE","HUERTAS, MARCELINHO","VOIGTMANN, JOHANNES","TIMMA, JANIS"
6,BAS,23.0,09:40,1,8,"SHENGELIA, TORNIKE",P001133   ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,0.0,Baskonia Vitoria Gasteiz,Maccabi FOX Tel Aviv,TEL,Baskonia Vitoria Gasteiz,BAS,9,40,0.0,0.0,"KANE, DEANDRE","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","GRANGER, JAYSON","SHENGELIA, TORNIKE","HUERTAS, MARCELINHO","VOIGTMANN, JOHANNES","TIMMA, JANIS"
7,BAS,9.0,09:37,1,9,"HUERTAS, MARCELINHO",PJUJ      ,Off Rebound (1),O,2.0,0.0,Baskonia Vitoria Gasteiz,Maccabi FOX Tel Aviv,TEL,Baskonia Vitoria Gasteiz,BAS,9,37,0.0,0.0,"KANE, DEANDRE","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","GRANGER, JAYSON","SHENGELIA, TORNIKE","HUERTAS, MARCELINHO","VOIGTMANN, JOHANNES","TIMMA, JANIS"
8,TEL,45.0,09:16,1,10,"PARAKHOUSKI, ARTSIOM",P003034   ,Unsportsmanlike Foul  (1),CMU,2.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Baskonia Vitoria Gasteiz,BAS,9,16,0.0,0.0,"KANE, DEANDRE","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","GRANGER, JAYSON","SHENGELIA, TORNIKE","HUERTAS, MARCELINHO","VOIGTMANN, JOHANNES","TIMMA, JANIS"
9,BAS,7.0,09:16,1,11,"VOIGTMANN, JOHANNES",P007201   ,Foul Drawn (1),RV,2.0,0.0,Baskonia Vitoria Gasteiz,Maccabi FOX Tel Aviv,TEL,Baskonia Vitoria Gasteiz,BAS,9,16,0.0,0.0,"KANE, DEANDRE","PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","BOLDEN, JONAH","GRANGER, JAYSON","SHENGELIA, TORNIKE","HUERTAS, MARCELINHO","VOIGTMANN, JOHANNES","TIMMA, JANIS"
