CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,19,,          ,Begin Period,BP,0.0,0.0,,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,0,0,,,0.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
MAL,16.0,09:51,1,20,"NEDOVIC, NEMANJA",P000848   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,9,51,9.0,9.0,0.0,2.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
MAL,23.0,09:48,1,21,"BROOKS, JEFF",P004117   ,Assist (1),AS,2.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,9,48,12.0,12.0,3.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
BAS,10.0,09:35,1,22,"BEAUBOIS, RODRIGUE",P006590   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Baskonia Vitoria Gasteiz,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,9,35,25.0,25.0,13.0,0.0,2.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
MAL,16.0,09:23,1,23,"NEDOVIC, NEMANJA",P000848   ,Three Pointer (1/1 -  5 pt),3FGM,5.0,2.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,9,23,37.0,37.0,12.0,3.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
MAL,3.0,09:21,1,24,"MCCALLUM, RAY",P008002   ,Assist (1),AS,5.0,2.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,9,21,39.0,39.0,2.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
BAS,17.0,09:03,1,25,"POIRIER, VINCENT",P004887   ,Missed Two Pointer (0/1 -  0 pt),2FGA,5.0,2.0,Baskonia Vitoria Gasteiz,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,9,3,57.0,57.0,18.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
BAS,17.0,09:03,1,26,"POIRIER, VINCENT",P004887   ,Shot Rejected (1),AG,5.0,2.0,Baskonia Vitoria Gasteiz,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,9,3,57.0,57.0,0.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
MAL,23.0,09:00,1,27,"BROOKS, JEFF",P004117   ,Block (1),FV,5.0,2.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,9,0,0.0,57.0,0.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
BAS,21.0,08:57,2,29,"JONES, KEVIN",P007185   ,Off Rebound (1),O,5.0,2.0,Baskonia Vitoria Gasteiz,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,57,3.0,63.0,6.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
BAS,21.0,08:55,2,30,"JONES, KEVIN",P007185   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,4.0,Baskonia Vitoria Gasteiz,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,55,5.0,65.0,2.0,0.0,2.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
BAS,10.0,08:48,2,31,"BEAUBOIS, RODRIGUE",P006590   ,Foul (1),CM,5.0,4.0,Baskonia Vitoria Gasteiz,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,48,12.0,72.0,7.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
MAL,16.0,08:48,2,32,"NEDOVIC, NEMANJA",P000848   ,Foul Drawn (1),RV,5.0,4.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,48,12.0,72.0,0.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
MAL,23.0,08:37,2,33,"BROOKS, JEFF",P004117   ,Missed Two Pointer (0/1 -  0 pt),2FGA,5.0,4.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,37,23.0,83.0,11.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
MAL,40.0,08:36,2,34,"AUGUSTINE, JAMES",P001438   ,Off Rebound (1),O,5.0,4.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,36,24.0,84.0,1.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
MAL,16.0,08:32,2,35,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (1/2 -  5 pt),3FGA,5.0,4.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,32,28.0,88.0,4.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
MAL,3.0,08:30,2,36,"MCCALLUM, RAY",P008002   ,Off Rebound (1),O,5.0,4.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,30,30.0,90.0,2.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
BAS,10.0,08:26,2,37,"BEAUBOIS, RODRIGUE",P006590   ,Foul (2),CM,5.0,4.0,Baskonia Vitoria Gasteiz,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,26,34.0,94.0,4.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
MAL,16.0,08:26,2,38,"NEDOVIC, NEMANJA",P000848   ,Foul Drawn (2),RV,5.0,4.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,26,34.0,94.0,0.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
BAS,10.0,08:26,2,39,"BEAUBOIS, RODRIGUE",P006590   ,Out,OUT,5.0,4.0,Baskonia Vitoria Gasteiz,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,26,34.0,94.0,0.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO"
BAS,11.0,08:26,2,40,"JANNING, MATT",P004165   ,In,IN,5.0,4.0,Baskonia Vitoria Gasteiz,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,26,34.0,94.0,0.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO","JANNING, MATT"
MAL,3.0,08:12,2,41,"MCCALLUM, RAY",P008002   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,4.0,Unicaja Malaga,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,8,12,48.0,108.0,14.0,2.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO","JANNING, MATT"
BAS,17.0,07:52,3,43,"POIRIER, VINCENT",P004887   ,Turnover (1),TO,7.0,4.0,Baskonia Vitoria Gasteiz,Unicaja Malaga,MAL,Baskonia Vitoria Gasteiz,BAS,7,52,8.0,128.0,20.0,0.0,0.0,"NEDOVIC, NEMANJA","BROOKS, JEFF","MCCALLUM, RAY","AUGUSTINE, JAMES","MILOSAVLJEVIC, DRAGAN","POIRIER, VINCENT","JONES, KEVIN","TIMMA, JANIS","HUERTAS, MARCELINHO","JANNING, MATT"
