CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN,0,0,,,0.0,0.0,0.0,"HICKMAN, RICKY","WRIGHT, DORELL","MUSLI, DEJAN","ZISIS, NIKOS","OLINDE, LOUIS","GIST, JAMES","SINGLETON, CHRIS","ANTETOKOUNMPO, ATHANASIOS","PAPPAS, NIKOS","CALATHES, NICK"
BAM,2.0,09:43,1,3,"HICKMAN, RICKY",P004159   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Brose Bamberg,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN,9,43,17.0,17.0,0.0,0.0,0.0,"HICKMAN, RICKY","WRIGHT, DORELL","MUSLI, DEJAN","ZISIS, NIKOS","OLINDE, LOUIS","GIST, JAMES","SINGLETON, CHRIS","ANTETOKOUNMPO, ATHANASIOS","PAPPAS, NIKOS","CALATHES, NICK"
PAN,14.0,09:40,1,4,"GIST, JAMES",P002980   ,Def Rebound (1),D,0.0,0.0,Panathinaikos Superfoods Athens,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN,9,40,20.0,20.0,3.0,0.0,0.0,"HICKMAN, RICKY","WRIGHT, DORELL","MUSLI, DEJAN","ZISIS, NIKOS","OLINDE, LOUIS","GIST, JAMES","SINGLETON, CHRIS","ANTETOKOUNMPO, ATHANASIOS","PAPPAS, NIKOS","CALATHES, NICK"
PAN,0.0,09:25,1,5,"SINGLETON, CHRIS",P006614   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Panathinaikos Superfoods Athens,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN,9,25,35.0,35.0,15.0,0.0,0.0,"HICKMAN, RICKY","WRIGHT, DORELL","MUSLI, DEJAN","ZISIS, NIKOS","OLINDE, LOUIS","GIST, JAMES","SINGLETON, CHRIS","ANTETOKOUNMPO, ATHANASIOS","PAPPAS, NIKOS","CALATHES, NICK"
BAM,2.0,09:23,1,6,"HICKMAN, RICKY",P004159   ,Def Rebound (1),D,0.0,0.0,Brose Bamberg,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN,9,23,37.0,37.0,2.0,0.0,0.0,"HICKMAN, RICKY","WRIGHT, DORELL","MUSLI, DEJAN","ZISIS, NIKOS","OLINDE, LOUIS","GIST, JAMES","SINGLETON, CHRIS","ANTETOKOUNMPO, ATHANASIOS","PAPPAS, NIKOS","CALATHES, NICK"
BAM,2.0,09:11,1,7,"HICKMAN, RICKY",P004159   ,Turnover (1),TO,0.0,0.0,Brose Bamberg,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN,9,11,49.0,49.0,12.0,0.0,0.0,"HICKMAN, RICKY","WRIGHT, DORELL","MUSLI, DEJAN","ZISIS, NIKOS","OLINDE, LOUIS","GIST, JAMES","SINGLETON, CHRIS","ANTETOKOUNMPO, ATHANASIOS","PAPPAS, NIKOS","CALATHES, NICK"
PAN,43.0,09:09,1,8,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Steal (1),ST,0.0,0.0,Panathinaikos Superfoods Athens,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN,9,9,51.0,51.0,2.0,0.0,0.0,"HICKMAN, RICKY","WRIGHT, DORELL","MUSLI, DEJAN","ZISIS, NIKOS","OLINDE, LOUIS","GIST, JAMES","SINGLETON, CHRIS","ANTETOKOUNMPO, ATHANASIOS","PAPPAS, NIKOS","CALATHES, NICK"
BAM,2.0,09:04,1,9,"HICKMAN, RICKY",P004159   ,Foul (1),CM,0.0,0.0,Brose Bamberg,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN,9,4,56.0,56.0,5.0,0.0,0.0,"HICKMAN, RICKY","WRIGHT, DORELL","MUSLI, DEJAN","ZISIS, NIKOS","OLINDE, LOUIS","GIST, JAMES","SINGLETON, CHRIS","ANTETOKOUNMPO, ATHANASIOS","PAPPAS, NIKOS","CALATHES, NICK"
PAN,11.0,09:04,1,10,"PAPPAS, NIKOS",P000464   ,Foul Drawn (1),RV,0.0,0.0,Panathinaikos Superfoods Athens,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN,9,4,56.0,56.0,0.0,0.0,0.0,"HICKMAN, RICKY","WRIGHT, DORELL","MUSLI, DEJAN","ZISIS, NIKOS","OLINDE, LOUIS","GIST, JAMES","SINGLETON, CHRIS","ANTETOKOUNMPO, ATHANASIOS","PAPPAS, NIKOS","CALATHES, NICK"
PAN,11.0,09:04,1,11,"PAPPAS, NIKOS",P000464   ,Missed Free Throw (0/1 -  0 pt),FTA,0.0,0.0,Panathinaikos Superfoods Athens,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN,9,4,56.0,56.0,0.0,0.0,0.0,"HICKMAN, RICKY","WRIGHT, DORELL","MUSLI, DEJAN","ZISIS, NIKOS","OLINDE, LOUIS","GIST, JAMES","SINGLETON, CHRIS","ANTETOKOUNMPO, ATHANASIOS","PAPPAS, NIKOS","CALATHES, NICK"
