CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,10,,          ,Begin Period,BP,0.0,0.0,,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,0,0,,,,0.0,0.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
MIL,25.0,09:33,1,11,"THEODORE, JORDAN",P007946   ,Turnover (1),TO,0.0,0.0,AX Armani Exchange Olimpia Milan,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,9,33,27.0,27.0,,0.0,0.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
BAR,9.0,09:31,1,12,"HANGA, ADAM",P005099   ,Steal (1),ST,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,9,31,29.0,29.0,2.0,0.0,0.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
BAR,9.0,09:27,1,13,"HANGA, ADAM",P005099   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,9,27,33.0,33.0,4.0,2.0,0.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
MIL,5.0,09:24,1,14,"MICOV, VLADIMIR",P000529   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,AX Armani Exchange Olimpia Milan,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,9,24,36.0,36.0,3.0,0.0,3.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
MIL,0.0,09:24,1,15,"GOUDELOCK, ANDREW",P004903   ,Assist (1),AS,2.0,3.0,AX Armani Exchange Olimpia Milan,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,9,24,36.0,36.0,0.0,0.0,0.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
BAR,11.0,08:56,2,17,"NAVARRO, JUAN CARLOS",PADI      ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,3.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,8,56,4.0,64.0,28.0,0.0,0.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
MIL,24.0,08:54,2,18,"M'BAYE, AMATH",P007993   ,Def Rebound (1),D,2.0,3.0,AX Armani Exchange Olimpia Milan,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,8,54,6.0,66.0,2.0,0.0,0.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
MIL,25.0,08:38,2,19,"THEODORE, JORDAN",P007946   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,6.0,AX Armani Exchange Olimpia Milan,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,8,38,22.0,82.0,16.0,0.0,3.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
MIL,0.0,08:36,2,20,"GOUDELOCK, ANDREW",P004903   ,Assist (2),AS,2.0,6.0,AX Armani Exchange Olimpia Milan,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,8,36,24.0,84.0,2.0,0.0,0.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
BAR,44.0,08:18,2,21,"TOMIC, ANTE",P002507   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,6.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,8,18,42.0,102.0,18.0,2.0,0.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
BAR,11.0,08:06,2,22,"NAVARRO, JUAN CARLOS",PADI      ,Assist (1),AS,4.0,6.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,8,6,54.0,114.0,12.0,0.0,0.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
MIL,25.0,07:59,3,24,"THEODORE, JORDAN",P007946   ,Missed Three Pointer (1/2 -  3 pt),3FGA,4.0,6.0,AX Armani Exchange Olimpia Milan,FC Barcelona Lassa,BAR,AX Armani Exchange Olimpia Milan,MIL,7,59,1.0,121.0,7.0,0.0,0.0,"HANGA, ADAM","NAVARRO, JUAN CARLOS","TOMIC, ANTE","MOERMAN, ADRIEN","RIBAS, PAU","THEODORE, JORDAN","MICOV, VLADIMIR","GOUDELOCK, ANDREW","M'BAYE, AMATH","TARCZEWSKI, KALEB"
