CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,32,,          ,Begin Period,BP,0.0,0.0,,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,0,0,,,,0.0,0.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
BAS,10.0,09:52,1,33,"BEAUBOIS, RODRIGUE",P006590   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,0.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,9,52,8.0,8.0,,3.0,0.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
BAS,6.0,09:50,1,34,"TIMMA, JANIS",P005718   ,Assist (1),AS,3.0,0.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,9,50,10.0,10.0,2.0,0.0,0.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
RED,22.0,09:31,1,35,"ROCHESTIE, TAYLOR",P002972   ,Missed Two Pointer (0/1 -  0 pt),2FGA,3.0,0.0,Crvena Zvezda mts Belgrade,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,9,31,29.0,29.0,19.0,0.0,0.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
RED,10.0,09:29,1,36,"LAZIC, BRANKO",PLUO      ,Off Rebound (1),O,3.0,0.0,Crvena Zvezda mts Belgrade,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,9,29,31.0,31.0,2.0,0.0,0.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
RED,6.0,09:18,1,37,"DANGUBIC, NEMANJA",P005942   ,Two Pointer (1/1 -  2 pt),2FGM,3.0,2.0,Crvena Zvezda mts Belgrade,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,9,18,42.0,42.0,11.0,0.0,2.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
RED,22.0,09:16,1,38,"ROCHESTIE, TAYLOR",P002972   ,Assist (1),AS,3.0,2.0,Crvena Zvezda mts Belgrade,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,9,16,44.0,44.0,2.0,0.0,0.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
BAS,17.0,09:02,1,39,"POIRIER, VINCENT",P004887   ,Foul Drawn (1),RV,3.0,2.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,9,2,58.0,58.0,14.0,0.0,0.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
RED,51.0,09:02,1,40,"BJELICA, MILKO",PCHX      ,Foul (1),CM,3.0,2.0,Crvena Zvezda mts Belgrade,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,9,2,58.0,58.0,0.0,0.0,0.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
BAS,10.0,09:02,1,41,"BEAUBOIS, RODRIGUE",P006590   ,Two Pointer (1/1 -  5 pt),2FGM,5.0,2.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,9,2,58.0,58.0,0.0,2.0,0.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
BAS,15.0,09:02,1,42,"GRANGER, JAYSON",P003024   ,Assist (1),AS,5.0,2.0,Baskonia Vitoria Gasteiz,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,9,2,58.0,58.0,0.0,0.0,0.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
RED,26.0,08:33,2,44,"LESSORT, MATHIAS",P003842   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,4.0,Crvena Zvezda mts Belgrade,Baskonia Vitoria Gasteiz,BAS,Crvena Zvezda mts Belgrade,RED,8,33,27.0,87.0,29.0,0.0,2.0,"BEAUBOIS, RODRIGUE","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","MALMANIS, RINALDS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DANGUBIC, NEMANJA","BJELICA, MILKO","LESSORT, MATHIAS"
