CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,CSKA Moscow,CSK,Real Madrid,MAD,0,0,,,,0.0,0.0,"KURBANOV, NIKITA","CLYBURN, WILL","RODRIGUEZ, SERGIO","HINES, KYLE","ANTONOV, SEMEN","CAMPAZZO, FACUNDO","FERNANDEZ, RUDY","YUSTA, SANTI","TAVARES, WALTER","THOMPKINS, TREY"
MAD,11.0,09:54,1,3,"CAMPAZZO, FACUNDO",P005928   ,Three Pointer (1/1 -  3 pt),3FGM,0.0,3.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,9,54,6.0,6.0,,0.0,3.0,"KURBANOV, NIKITA","CLYBURN, WILL","RODRIGUEZ, SERGIO","HINES, KYLE","ANTONOV, SEMEN","CAMPAZZO, FACUNDO","FERNANDEZ, RUDY","YUSTA, SANTI","TAVARES, WALTER","THOMPKINS, TREY"
CSK,41.0,09:54,1,4,"KURBANOV, NIKITA",PJLX      ,Three Pointer (1/1 -  3 pt),3FGM,3.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,9,54,6.0,6.0,0.0,3.0,0.0,"KURBANOV, NIKITA","CLYBURN, WILL","RODRIGUEZ, SERGIO","HINES, KYLE","ANTONOV, SEMEN","CAMPAZZO, FACUNDO","FERNANDEZ, RUDY","YUSTA, SANTI","TAVARES, WALTER","THOMPKINS, TREY"
CSK,21.0,09:54,1,5,"CLYBURN, WILL",P004888   ,Assist (1),AS,3.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,9,54,6.0,6.0,0.0,0.0,0.0,"KURBANOV, NIKITA","CLYBURN, WILL","RODRIGUEZ, SERGIO","HINES, KYLE","ANTONOV, SEMEN","CAMPAZZO, FACUNDO","FERNANDEZ, RUDY","YUSTA, SANTI","TAVARES, WALTER","THOMPKINS, TREY"
MAD,11.0,08:58,2,7,"CAMPAZZO, FACUNDO",P005928   ,Missed Three Pointer (1/2 -  3 pt),3FGA,3.0,3.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,8,58,2.0,62.0,56.0,0.0,0.0,"KURBANOV, NIKITA","CLYBURN, WILL","RODRIGUEZ, SERGIO","HINES, KYLE","ANTONOV, SEMEN","CAMPAZZO, FACUNDO","FERNANDEZ, RUDY","YUSTA, SANTI","TAVARES, WALTER","THOMPKINS, TREY"
CSK,,08:58,2,8,,          ,Def Rebound (1),D,3.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,8,58,2.0,62.0,0.0,0.0,0.0,"KURBANOV, NIKITA","CLYBURN, WILL","RODRIGUEZ, SERGIO","HINES, KYLE","ANTONOV, SEMEN","CAMPAZZO, FACUNDO","FERNANDEZ, RUDY","YUSTA, SANTI","TAVARES, WALTER","THOMPKINS, TREY"
CSK,21.0,08:47,2,9,"CLYBURN, WILL",P004888   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,8,47,13.0,73.0,11.0,2.0,0.0,"KURBANOV, NIKITA","CLYBURN, WILL","RODRIGUEZ, SERGIO","HINES, KYLE","ANTONOV, SEMEN","CAMPAZZO, FACUNDO","FERNANDEZ, RUDY","YUSTA, SANTI","TAVARES, WALTER","THOMPKINS, TREY"
MAD,5.0,08:41,2,10,"FERNANDEZ, RUDY",PBMT      ,Foul Drawn (1),RV,5.0,3.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,8,41,19.0,79.0,6.0,0.0,0.0,"KURBANOV, NIKITA","CLYBURN, WILL","RODRIGUEZ, SERGIO","HINES, KYLE","ANTONOV, SEMEN","CAMPAZZO, FACUNDO","FERNANDEZ, RUDY","YUSTA, SANTI","TAVARES, WALTER","THOMPKINS, TREY"
CSK,41.0,08:41,2,11,"KURBANOV, NIKITA",PJLX      ,Foul (1),CM,5.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Real Madrid,MAD,8,41,19.0,79.0,0.0,0.0,0.0,"KURBANOV, NIKITA","CLYBURN, WILL","RODRIGUEZ, SERGIO","HINES, KYLE","ANTONOV, SEMEN","CAMPAZZO, FACUNDO","FERNANDEZ, RUDY","YUSTA, SANTI","TAVARES, WALTER","THOMPKINS, TREY"
MAD,11.0,08:24,2,12,"CAMPAZZO, FACUNDO",P005928   ,Missed Two Pointer (0/1 -  3 pt),2FGA,5.0,3.0,Real Madrid,CSKA Moscow,CSK,Real Madrid,MAD,8,24,36.0,96.0,17.0,0.0,0.0,"KURBANOV, NIKITA","CLYBURN, WILL","RODRIGUEZ, SERGIO","HINES, KYLE","ANTONOV, SEMEN","CAMPAZZO, FACUNDO","FERNANDEZ, RUDY","YUSTA, SANTI","TAVARES, WALTER","THOMPKINS, TREY"
