CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Anadolu Efes Istanbul,IST,Valencia Basket,PAM,0,0,,,,0.0,0.0,"DUNSTON, BRYANT","BROWN, DERRICK","DRAGIC, ZORAN","MCCOLLUM, ERRICK","DOUGLAS, TONEY","PLEISS, TIBOR","ABALDE, ALBERTO","MARTINEZ, RAFA","THOMAS, WILL","DOORNEKAMP, AARON"
IST,42.0,09:40,1,3,"DUNSTON, BRYANT",P003048   ,Foul (1),CM,0.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Valencia Basket,PAM,9,40,20.0,20.0,,0.0,0.0,"DUNSTON, BRYANT","BROWN, DERRICK","DRAGIC, ZORAN","MCCOLLUM, ERRICK","DOUGLAS, TONEY","PLEISS, TIBOR","ABALDE, ALBERTO","MARTINEZ, RAFA","THOMAS, WILL","DOORNEKAMP, AARON"
PAM,21.0,09:40,1,4,"PLEISS, TIBOR",PLHK      ,Foul Drawn (1),RV,0.0,0.0,Valencia Basket,Anadolu Efes Istanbul,IST,Valencia Basket,PAM,9,40,20.0,20.0,0.0,0.0,0.0,"DUNSTON, BRYANT","BROWN, DERRICK","DRAGIC, ZORAN","MCCOLLUM, ERRICK","DOUGLAS, TONEY","PLEISS, TIBOR","ABALDE, ALBERTO","MARTINEZ, RAFA","THOMAS, WILL","DOORNEKAMP, AARON"
PAM,6.0,09:33,1,5,"ABALDE, ALBERTO",P003733   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Valencia Basket,Anadolu Efes Istanbul,IST,Valencia Basket,PAM,9,33,27.0,27.0,7.0,0.0,0.0,"DUNSTON, BRYANT","BROWN, DERRICK","DRAGIC, ZORAN","MCCOLLUM, ERRICK","DOUGLAS, TONEY","PLEISS, TIBOR","ABALDE, ALBERTO","MARTINEZ, RAFA","THOMAS, WILL","DOORNEKAMP, AARON"
IST,42.0,09:31,1,6,"DUNSTON, BRYANT",P003048   ,Def Rebound (1),D,0.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Valencia Basket,PAM,9,31,29.0,29.0,2.0,0.0,0.0,"DUNSTON, BRYANT","BROWN, DERRICK","DRAGIC, ZORAN","MCCOLLUM, ERRICK","DOUGLAS, TONEY","PLEISS, TIBOR","ABALDE, ALBERTO","MARTINEZ, RAFA","THOMAS, WILL","DOORNEKAMP, AARON"
IST,5.0,09:09,1,7,"BROWN, DERRICK",P004425   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Valencia Basket,PAM,9,9,51.0,51.0,22.0,2.0,0.0,"DUNSTON, BRYANT","BROWN, DERRICK","DRAGIC, ZORAN","MCCOLLUM, ERRICK","DOUGLAS, TONEY","PLEISS, TIBOR","ABALDE, ALBERTO","MARTINEZ, RAFA","THOMAS, WILL","DOORNEKAMP, AARON"
IST,30.0,09:06,1,8,"DRAGIC, ZORAN",P003514   ,Assist (1),AS,2.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Valencia Basket,PAM,9,6,54.0,54.0,3.0,0.0,0.0,"DUNSTON, BRYANT","BROWN, DERRICK","DRAGIC, ZORAN","MCCOLLUM, ERRICK","DOUGLAS, TONEY","PLEISS, TIBOR","ABALDE, ALBERTO","MARTINEZ, RAFA","THOMAS, WILL","DOORNEKAMP, AARON"
PAM,21.0,08:49,2,10,"PLEISS, TIBOR",PLHK      ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,0.0,Valencia Basket,Anadolu Efes Istanbul,IST,Valencia Basket,PAM,8,49,11.0,71.0,17.0,0.0,0.0,"DUNSTON, BRYANT","BROWN, DERRICK","DRAGIC, ZORAN","MCCOLLUM, ERRICK","DOUGLAS, TONEY","PLEISS, TIBOR","ABALDE, ALBERTO","MARTINEZ, RAFA","THOMAS, WILL","DOORNEKAMP, AARON"
IST,5.0,08:46,2,11,"BROWN, DERRICK",P004425   ,Def Rebound (1),D,2.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Valencia Basket,PAM,8,46,14.0,74.0,3.0,0.0,0.0,"DUNSTON, BRYANT","BROWN, DERRICK","DRAGIC, ZORAN","MCCOLLUM, ERRICK","DOUGLAS, TONEY","PLEISS, TIBOR","ABALDE, ALBERTO","MARTINEZ, RAFA","THOMAS, WILL","DOORNEKAMP, AARON"
IST,3.0,08:37,2,12,"MCCOLLUM, ERRICK",P005216   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Valencia Basket,PAM,8,37,23.0,83.0,9.0,3.0,0.0,"DUNSTON, BRYANT","BROWN, DERRICK","DRAGIC, ZORAN","MCCOLLUM, ERRICK","DOUGLAS, TONEY","PLEISS, TIBOR","ABALDE, ALBERTO","MARTINEZ, RAFA","THOMAS, WILL","DOORNEKAMP, AARON"
