CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,22,,          ,Begin Period,BP,0.0,0.0,,Unicaja Malaga,MAL,Anadolu Efes Istanbul,IST,0,0,,,,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","SALIN, SASU","DRAGIC, ZORAN","DUNSTON, BRYANT","MCCOLLUM, ERRICK","BROWN, DERRICK","SIMON, KRUNOSLAV"
IST,30.0,09:41,1,23,"DRAGIC, ZORAN",P003514   ,Three Pointer (1/1 -  3 pt),3FGM,0.0,3.0,Anadolu Efes Istanbul,Unicaja Malaga,MAL,Anadolu Efes Istanbul,IST,9,41,19.0,19.0,,0.0,3.0,"MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","SALIN, SASU","DRAGIC, ZORAN","DUNSTON, BRYANT","MCCOLLUM, ERRICK","BROWN, DERRICK","SIMON, KRUNOSLAV"
IST,42.0,09:39,1,24,"DUNSTON, BRYANT",P003048   ,Assist (1),AS,0.0,3.0,Anadolu Efes Istanbul,Unicaja Malaga,MAL,Anadolu Efes Istanbul,IST,9,39,21.0,21.0,2.0,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","SALIN, SASU","DRAGIC, ZORAN","DUNSTON, BRYANT","MCCOLLUM, ERRICK","BROWN, DERRICK","SIMON, KRUNOSLAV"
MAL,12.0,09:16,1,25,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,3.0,Unicaja Malaga,Unicaja Malaga,MAL,Anadolu Efes Istanbul,IST,9,16,44.0,44.0,23.0,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","SALIN, SASU","DRAGIC, ZORAN","DUNSTON, BRYANT","MCCOLLUM, ERRICK","BROWN, DERRICK","SIMON, KRUNOSLAV"
MAL,40.0,09:12,1,26,"AUGUSTINE, JAMES",P001438   ,Off Rebound (1),O,0.0,3.0,Unicaja Malaga,Unicaja Malaga,MAL,Anadolu Efes Istanbul,IST,9,12,48.0,48.0,4.0,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","SALIN, SASU","DRAGIC, ZORAN","DUNSTON, BRYANT","MCCOLLUM, ERRICK","BROWN, DERRICK","SIMON, KRUNOSLAV"
MAL,43.0,09:10,1,27,"SUAREZ, CARLOS",PJJS      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,Unicaja Malaga,Unicaja Malaga,MAL,Anadolu Efes Istanbul,IST,9,10,50.0,50.0,2.0,2.0,0.0,"MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","SALIN, SASU","DRAGIC, ZORAN","DUNSTON, BRYANT","MCCOLLUM, ERRICK","BROWN, DERRICK","SIMON, KRUNOSLAV"
IST,42.0,09:04,1,28,"DUNSTON, BRYANT",P003048   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,3.0,Anadolu Efes Istanbul,Unicaja Malaga,MAL,Anadolu Efes Istanbul,IST,9,4,56.0,56.0,6.0,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","SALIN, SASU","DRAGIC, ZORAN","DUNSTON, BRYANT","MCCOLLUM, ERRICK","BROWN, DERRICK","SIMON, KRUNOSLAV"
MAL,40.0,08:45,2,30,"AUGUSTINE, JAMES",P001438   ,Def Rebound (1),D,2.0,3.0,Unicaja Malaga,Unicaja Malaga,MAL,Anadolu Efes Istanbul,IST,8,45,15.0,75.0,19.0,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","SALIN, SASU","DRAGIC, ZORAN","DUNSTON, BRYANT","MCCOLLUM, ERRICK","BROWN, DERRICK","SIMON, KRUNOSLAV"
MAL,3.0,08:39,2,31,"MCCALLUM, RAY",P008002   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,3.0,Unicaja Malaga,Unicaja Malaga,MAL,Anadolu Efes Istanbul,IST,8,39,21.0,81.0,6.0,2.0,0.0,"MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","SALIN, SASU","DRAGIC, ZORAN","DUNSTON, BRYANT","MCCOLLUM, ERRICK","BROWN, DERRICK","SIMON, KRUNOSLAV"
IST,30.0,08:23,2,32,"DRAGIC, ZORAN",P003514   ,Two Pointer (1/1 -  5 pt),2FGM,4.0,5.0,Anadolu Efes Istanbul,Unicaja Malaga,MAL,Anadolu Efes Istanbul,IST,8,23,37.0,97.0,16.0,0.0,2.0,"MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","SALIN, SASU","DRAGIC, ZORAN","DUNSTON, BRYANT","MCCOLLUM, ERRICK","BROWN, DERRICK","SIMON, KRUNOSLAV"
