CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,10,,          ,Begin Period,BP,0.0,0.0,,Valencia Basket,PAM,CSKA Moscow,CSK,0,0,,,,0.0,0.0,"GREEN, ERICK","PLEISS, TIBOR","ABALDE, ALBERTO","DOORNEKAMP, AARON","THOMAS, WILL","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","CLYBURN, WILL","DE COLO, NANDO","ANTONOV, SEMEN"
CSK,13.0,09:42,1,11,"RODRIGUEZ, SERGIO",PCVM      ,Turnover (1),TO,0.0,0.0,CSKA Moscow,Valencia Basket,PAM,CSKA Moscow,CSK,9,42,18.0,18.0,,0.0,0.0,"GREEN, ERICK","PLEISS, TIBOR","ABALDE, ALBERTO","DOORNEKAMP, AARON","THOMAS, WILL","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","CLYBURN, WILL","DE COLO, NANDO","ANTONOV, SEMEN"
PAM,32.0,09:29,1,12,"GREEN, ERICK",P005159   ,Foul Drawn (1),RV,0.0,0.0,Valencia Basket,Valencia Basket,PAM,CSKA Moscow,CSK,9,29,31.0,31.0,13.0,0.0,0.0,"GREEN, ERICK","PLEISS, TIBOR","ABALDE, ALBERTO","DOORNEKAMP, AARON","THOMAS, WILL","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","CLYBURN, WILL","DE COLO, NANDO","ANTONOV, SEMEN"
CSK,41.0,09:29,1,13,"KURBANOV, NIKITA",PJLX      ,Foul (1),CM,0.0,0.0,CSKA Moscow,Valencia Basket,PAM,CSKA Moscow,CSK,9,29,31.0,31.0,0.0,0.0,0.0,"GREEN, ERICK","PLEISS, TIBOR","ABALDE, ALBERTO","DOORNEKAMP, AARON","THOMAS, WILL","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","CLYBURN, WILL","DE COLO, NANDO","ANTONOV, SEMEN"
PAM,32.0,09:16,1,14,"GREEN, ERICK",P005159   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Valencia Basket,Valencia Basket,PAM,CSKA Moscow,CSK,9,16,44.0,44.0,13.0,2.0,0.0,"GREEN, ERICK","PLEISS, TIBOR","ABALDE, ALBERTO","DOORNEKAMP, AARON","THOMAS, WILL","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","CLYBURN, WILL","DE COLO, NANDO","ANTONOV, SEMEN"
CSK,41.0,09:03,1,15,"KURBANOV, NIKITA",PJLX      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,CSKA Moscow,Valencia Basket,PAM,CSKA Moscow,CSK,9,3,57.0,57.0,13.0,0.0,2.0,"GREEN, ERICK","PLEISS, TIBOR","ABALDE, ALBERTO","DOORNEKAMP, AARON","THOMAS, WILL","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","CLYBURN, WILL","DE COLO, NANDO","ANTONOV, SEMEN"
PAM,21.0,08:35,2,17,"PLEISS, TIBOR",PLHK      ,Two Pointer (1/1 -  2 pt),2FGM,4.0,2.0,Valencia Basket,Valencia Basket,PAM,CSKA Moscow,CSK,8,35,25.0,85.0,28.0,2.0,0.0,"GREEN, ERICK","PLEISS, TIBOR","ABALDE, ALBERTO","DOORNEKAMP, AARON","THOMAS, WILL","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","CLYBURN, WILL","DE COLO, NANDO","ANTONOV, SEMEN"
PAM,6.0,08:32,2,18,"ABALDE, ALBERTO",P003733   ,Assist (1),AS,4.0,2.0,Valencia Basket,Valencia Basket,PAM,CSKA Moscow,CSK,8,32,28.0,88.0,3.0,0.0,0.0,"GREEN, ERICK","PLEISS, TIBOR","ABALDE, ALBERTO","DOORNEKAMP, AARON","THOMAS, WILL","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","CLYBURN, WILL","DE COLO, NANDO","ANTONOV, SEMEN"
CSK,21.0,08:24,2,19,"CLYBURN, WILL",P004888   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,4.0,CSKA Moscow,Valencia Basket,PAM,CSKA Moscow,CSK,8,24,36.0,96.0,8.0,0.0,2.0,"GREEN, ERICK","PLEISS, TIBOR","ABALDE, ALBERTO","DOORNEKAMP, AARON","THOMAS, WILL","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","CLYBURN, WILL","DE COLO, NANDO","ANTONOV, SEMEN"
CSK,21.0,08:24,2,20,"CLYBURN, WILL",P004888   ,Foul Drawn (1),RV,4.0,4.0,CSKA Moscow,Valencia Basket,PAM,CSKA Moscow,CSK,8,24,36.0,96.0,0.0,0.0,0.0,"GREEN, ERICK","PLEISS, TIBOR","ABALDE, ALBERTO","DOORNEKAMP, AARON","THOMAS, WILL","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","CLYBURN, WILL","DE COLO, NANDO","ANTONOV, SEMEN"
