,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Anadolu Efes Istanbul,IST,Zalgiris Kaunas,ZAL,0,0,0.0,0.0,"MOTUM, BROCK","MCCOLLUM, ERRICK","DUNSTON, BRYANT","MUSTAFA, MUHAYMIN","DOUGLAS, TONEY","TOUPANE, AXEL","DAVIES, BRANDON","ULANOVAS, EDGARAS","PANGOS, KEVIN","JANKUNAS, PAULIUS"
1,ZAL,6.0,09:47,1,3,"TOUPANE, AXEL",P002582   ,Turnover (1),TO,0.0,0.0,Zalgiris Kaunas,Anadolu Efes Istanbul,IST,Zalgiris Kaunas,ZAL,9,47,0.0,0.0,"MOTUM, BROCK","MCCOLLUM, ERRICK","DUNSTON, BRYANT","MUSTAFA, MUHAYMIN","DOUGLAS, TONEY","TOUPANE, AXEL","DAVIES, BRANDON","ULANOVAS, EDGARAS","PANGOS, KEVIN","JANKUNAS, PAULIUS"
2,IST,12.0,09:32,1,4,"MOTUM, BROCK",P006599   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Zalgiris Kaunas,ZAL,9,32,3.0,0.0,"MOTUM, BROCK","MCCOLLUM, ERRICK","DUNSTON, BRYANT","MUSTAFA, MUHAYMIN","DOUGLAS, TONEY","TOUPANE, AXEL","DAVIES, BRANDON","ULANOVAS, EDGARAS","PANGOS, KEVIN","JANKUNAS, PAULIUS"
3,IST,3.0,09:31,1,5,"MCCOLLUM, ERRICK",P005216   ,Assist (1),AS,3.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Zalgiris Kaunas,ZAL,9,31,0.0,0.0,"MOTUM, BROCK","MCCOLLUM, ERRICK","DUNSTON, BRYANT","MUSTAFA, MUHAYMIN","DOUGLAS, TONEY","TOUPANE, AXEL","DAVIES, BRANDON","ULANOVAS, EDGARAS","PANGOS, KEVIN","JANKUNAS, PAULIUS"
4,IST,42.0,09:17,1,6,"DUNSTON, BRYANT",P003048   ,Block (1),FV,3.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Zalgiris Kaunas,ZAL,9,17,0.0,0.0,"MOTUM, BROCK","MCCOLLUM, ERRICK","DUNSTON, BRYANT","MUSTAFA, MUHAYMIN","DOUGLAS, TONEY","TOUPANE, AXEL","DAVIES, BRANDON","ULANOVAS, EDGARAS","PANGOS, KEVIN","JANKUNAS, PAULIUS"
5,ZAL,0.0,09:17,1,7,"DAVIES, BRANDON",P007870   ,Missed Two Pointer (0/1 -  0 pt),2FGA,3.0,0.0,Zalgiris Kaunas,Anadolu Efes Istanbul,IST,Zalgiris Kaunas,ZAL,9,17,0.0,0.0,"MOTUM, BROCK","MCCOLLUM, ERRICK","DUNSTON, BRYANT","MUSTAFA, MUHAYMIN","DOUGLAS, TONEY","TOUPANE, AXEL","DAVIES, BRANDON","ULANOVAS, EDGARAS","PANGOS, KEVIN","JANKUNAS, PAULIUS"
6,ZAL,0.0,09:17,1,8,"DAVIES, BRANDON",P007870   ,Shot Rejected (1),AG,3.0,0.0,Zalgiris Kaunas,Anadolu Efes Istanbul,IST,Zalgiris Kaunas,ZAL,9,17,0.0,0.0,"MOTUM, BROCK","MCCOLLUM, ERRICK","DUNSTON, BRYANT","MUSTAFA, MUHAYMIN","DOUGLAS, TONEY","TOUPANE, AXEL","DAVIES, BRANDON","ULANOVAS, EDGARAS","PANGOS, KEVIN","JANKUNAS, PAULIUS"
7,ZAL,,09:17,1,9,,          ,Off Rebound (1),O,3.0,0.0,Zalgiris Kaunas,Anadolu Efes Istanbul,IST,Zalgiris Kaunas,ZAL,9,17,0.0,0.0,"MOTUM, BROCK","MCCOLLUM, ERRICK","DUNSTON, BRYANT","MUSTAFA, MUHAYMIN","DOUGLAS, TONEY","TOUPANE, AXEL","DAVIES, BRANDON","ULANOVAS, EDGARAS","PANGOS, KEVIN","JANKUNAS, PAULIUS"
8,IST,42.0,09:12,1,10,"DUNSTON, BRYANT",P003048   ,Foul (1),CM,3.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Zalgiris Kaunas,ZAL,9,12,0.0,0.0,"MOTUM, BROCK","MCCOLLUM, ERRICK","DUNSTON, BRYANT","MUSTAFA, MUHAYMIN","DOUGLAS, TONEY","TOUPANE, AXEL","DAVIES, BRANDON","ULANOVAS, EDGARAS","PANGOS, KEVIN","JANKUNAS, PAULIUS"
9,ZAL,6.0,09:12,1,11,"TOUPANE, AXEL",P002582   ,Foul Drawn (1),RV,3.0,0.0,Zalgiris Kaunas,Anadolu Efes Istanbul,IST,Zalgiris Kaunas,ZAL,9,12,0.0,0.0,"MOTUM, BROCK","MCCOLLUM, ERRICK","DUNSTON, BRYANT","MUSTAFA, MUHAYMIN","DOUGLAS, TONEY","TOUPANE, AXEL","DAVIES, BRANDON","ULANOVAS, EDGARAS","PANGOS, KEVIN","JANKUNAS, PAULIUS"
