,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,10,,          ,Begin Period,BP,0.0,0.0,,Unicaja Malaga,MAL,Maccabi FOX Tel Aviv,TEL,0,0,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","NEDOVIC, NEMANJA","AUGUSTINE, JAMES","DIAZ, ALBERTO","BROOKS, JEFF","TYUS, ALEX","BOLDEN, JONAH","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE"
1,MAL,12.0,09:44,1,11,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,Maccabi FOX Tel Aviv,TEL,9,44,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","NEDOVIC, NEMANJA","AUGUSTINE, JAMES","DIAZ, ALBERTO","BROOKS, JEFF","TYUS, ALEX","BOLDEN, JONAH","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE"
2,TEL,9.0,09:44,1,12,"TYUS, ALEX",P004119   ,Def Rebound (1),D,0.0,0.0,Maccabi FOX Tel Aviv,Unicaja Malaga,MAL,Maccabi FOX Tel Aviv,TEL,9,44,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","NEDOVIC, NEMANJA","AUGUSTINE, JAMES","DIAZ, ALBERTO","BROOKS, JEFF","TYUS, ALEX","BOLDEN, JONAH","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE"
3,TEL,43.0,09:17,1,13,"BOLDEN, JONAH",P007988   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Maccabi FOX Tel Aviv,Unicaja Malaga,MAL,Maccabi FOX Tel Aviv,TEL,9,17,0.0,2.0,"MILOSAVLJEVIC, DRAGAN","NEDOVIC, NEMANJA","AUGUSTINE, JAMES","DIAZ, ALBERTO","BROOKS, JEFF","TYUS, ALEX","BOLDEN, JONAH","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE"
4,TEL,7.0,09:15,1,14,"KANE, DEANDRE",P005781   ,Assist (1),AS,0.0,2.0,Maccabi FOX Tel Aviv,Unicaja Malaga,MAL,Maccabi FOX Tel Aviv,TEL,9,15,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","NEDOVIC, NEMANJA","AUGUSTINE, JAMES","DIAZ, ALBERTO","BROOKS, JEFF","TYUS, ALEX","BOLDEN, JONAH","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE"
5,MAL,12.0,08:51,2,16,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Two Pointer (0/2 -  0 pt),2FGA,0.0,2.0,Unicaja Malaga,Unicaja Malaga,MAL,Maccabi FOX Tel Aviv,TEL,8,51,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","NEDOVIC, NEMANJA","AUGUSTINE, JAMES","DIAZ, ALBERTO","BROOKS, JEFF","TYUS, ALEX","BOLDEN, JONAH","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE"
6,TEL,9.0,08:49,2,17,"TYUS, ALEX",P004119   ,Def Rebound (2),D,0.0,2.0,Maccabi FOX Tel Aviv,Unicaja Malaga,MAL,Maccabi FOX Tel Aviv,TEL,8,49,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","NEDOVIC, NEMANJA","AUGUSTINE, JAMES","DIAZ, ALBERTO","BROOKS, JEFF","TYUS, ALEX","BOLDEN, JONAH","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE"
7,TEL,5.0,08:43,2,18,"ROLL, MICHAEL",P004974   ,Three Pointer (1/1 -  3 pt),3FGM,0.0,5.0,Maccabi FOX Tel Aviv,Unicaja Malaga,MAL,Maccabi FOX Tel Aviv,TEL,8,43,0.0,3.0,"MILOSAVLJEVIC, DRAGAN","NEDOVIC, NEMANJA","AUGUSTINE, JAMES","DIAZ, ALBERTO","BROOKS, JEFF","TYUS, ALEX","BOLDEN, JONAH","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE"
8,TEL,55.0,08:41,2,19,"JACKSON, PIERRE",P005112   ,Assist (1),AS,0.0,5.0,Maccabi FOX Tel Aviv,Unicaja Malaga,MAL,Maccabi FOX Tel Aviv,TEL,8,41,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","NEDOVIC, NEMANJA","AUGUSTINE, JAMES","DIAZ, ALBERTO","BROOKS, JEFF","TYUS, ALEX","BOLDEN, JONAH","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE"
9,MAL,16.0,08:28,2,20,"NEDOVIC, NEMANJA",P000848   ,Turnover (1),TO,0.0,5.0,Unicaja Malaga,Unicaja Malaga,MAL,Maccabi FOX Tel Aviv,TEL,8,28,0.0,0.0,"MILOSAVLJEVIC, DRAGAN","NEDOVIC, NEMANJA","AUGUSTINE, JAMES","DIAZ, ALBERTO","BROOKS, JEFF","TYUS, ALEX","BOLDEN, JONAH","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE"
