CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,17,,          ,Begin Period,BP,0.0,0.0,,Olympiacos Piraeus,OLY,Valencia Basket,PAM,0,0,,,0.0,0.0,0.0,"MILUTINOV, NIKOLA","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SAN EMETERIO, FERNANDO","GREEN, ERICK","ABALDE, ALBERTO","PLEISS, TIBOR","DUBLJEVIC, BOJAN"
OLY,11.0,09:41,1,18,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Valencia Basket,PAM,9,41,19.0,19.0,0.0,2.0,0.0,"MILUTINOV, NIKOLA","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SAN EMETERIO, FERNANDO","GREEN, ERICK","ABALDE, ALBERTO","PLEISS, TIBOR","DUBLJEVIC, BOJAN"
OLY,7.0,09:39,1,19,"SPANOULIS, VASSILIS",PJUO      ,Assist (1),AS,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Valencia Basket,PAM,9,39,21.0,21.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SAN EMETERIO, FERNANDO","GREEN, ERICK","ABALDE, ALBERTO","PLEISS, TIBOR","DUBLJEVIC, BOJAN"
PAM,19.0,09:29,1,20,"SAN EMETERIO, FERNANDO",P000518   ,Turnover (1),TO,2.0,0.0,Valencia Basket,Olympiacos Piraeus,OLY,Valencia Basket,PAM,9,29,31.0,31.0,10.0,0.0,0.0,"MILUTINOV, NIKOLA","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SAN EMETERIO, FERNANDO","GREEN, ERICK","ABALDE, ALBERTO","PLEISS, TIBOR","DUBLJEVIC, BOJAN"
OLY,15.0,09:03,1,21,"PRINTEZIS, GEORGIOS",PAMM      ,Two Pointer (1/1 -  2 pt),2FGM,4.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Valencia Basket,PAM,9,3,57.0,57.0,26.0,2.0,0.0,"MILUTINOV, NIKOLA","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SAN EMETERIO, FERNANDO","GREEN, ERICK","ABALDE, ALBERTO","PLEISS, TIBOR","DUBLJEVIC, BOJAN"
PAM,19.0,08:45,2,23,"SAN EMETERIO, FERNANDO",P000518   ,Three Pointer (1/1 -  3 pt),3FGM,4.0,3.0,Valencia Basket,Olympiacos Piraeus,OLY,Valencia Basket,PAM,8,45,15.0,75.0,18.0,0.0,3.0,"MILUTINOV, NIKOLA","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SAN EMETERIO, FERNANDO","GREEN, ERICK","ABALDE, ALBERTO","PLEISS, TIBOR","DUBLJEVIC, BOJAN"
PAM,32.0,08:43,2,24,"GREEN, ERICK",P005159   ,Assist (1),AS,4.0,3.0,Valencia Basket,Olympiacos Piraeus,OLY,Valencia Basket,PAM,8,43,17.0,77.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SAN EMETERIO, FERNANDO","GREEN, ERICK","ABALDE, ALBERTO","PLEISS, TIBOR","DUBLJEVIC, BOJAN"
OLY,11.0,08:27,2,25,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (2/2 -  4 pt),2FGM,6.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Valencia Basket,PAM,8,27,33.0,93.0,16.0,2.0,0.0,"MILUTINOV, NIKOLA","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SAN EMETERIO, FERNANDO","GREEN, ERICK","ABALDE, ALBERTO","PLEISS, TIBOR","DUBLJEVIC, BOJAN"
OLY,7.0,08:25,2,26,"SPANOULIS, VASSILIS",PJUO      ,Assist (2),AS,6.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Valencia Basket,PAM,8,25,35.0,95.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SAN EMETERIO, FERNANDO","GREEN, ERICK","ABALDE, ALBERTO","PLEISS, TIBOR","DUBLJEVIC, BOJAN"
OLY,17.0,08:12,2,27,"MANTZARIS, VANGELIS",P003537   ,Foul (1),CM,6.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Valencia Basket,PAM,8,12,48.0,108.0,13.0,0.0,0.0,"MILUTINOV, NIKOLA","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SAN EMETERIO, FERNANDO","GREEN, ERICK","ABALDE, ALBERTO","PLEISS, TIBOR","DUBLJEVIC, BOJAN"
