CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,17,,          ,Begin Period,BP,0.0,0.0,,Fenerbahce Dogus Istanbul,ULK,AX Armani Exchange Olimpia Milan,MIL,0,0,,,,0.0,0.0,"VESELY, JAN","NUNNALLY, JAMES","SLOUKAS, KOSTAS","KALINIC, NIKOLA","DUVERIOGLU, AHMET","TARCZEWSKI, KALEB","MICOV, VLADIMIR","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","GOUDELOCK, ANDREW"
MIL,15.0,09:51,1,18,"TARCZEWSKI, KALEB",P008004   ,Foul (1),CM,0.0,0.0,AX Armani Exchange Olimpia Milan,Fenerbahce Dogus Istanbul,ULK,AX Armani Exchange Olimpia Milan,MIL,9,51,9.0,9.0,,0.0,0.0,"VESELY, JAN","NUNNALLY, JAMES","SLOUKAS, KOSTAS","KALINIC, NIKOLA","DUVERIOGLU, AHMET","TARCZEWSKI, KALEB","MICOV, VLADIMIR","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","GOUDELOCK, ANDREW"
ULK,24.0,09:51,1,19,"VESELY, JAN",P000925   ,Foul Drawn (1),RV,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,AX Armani Exchange Olimpia Milan,MIL,9,51,9.0,9.0,0.0,0.0,0.0,"VESELY, JAN","NUNNALLY, JAMES","SLOUKAS, KOSTAS","KALINIC, NIKOLA","DUVERIOGLU, AHMET","TARCZEWSKI, KALEB","MICOV, VLADIMIR","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","GOUDELOCK, ANDREW"
ULK,21.0,09:36,1,20,"NUNNALLY, JAMES",P007400   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,AX Armani Exchange Olimpia Milan,MIL,9,36,24.0,24.0,15.0,0.0,0.0,"VESELY, JAN","NUNNALLY, JAMES","SLOUKAS, KOSTAS","KALINIC, NIKOLA","DUVERIOGLU, AHMET","TARCZEWSKI, KALEB","MICOV, VLADIMIR","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","GOUDELOCK, ANDREW"
MIL,15.0,09:34,1,21,"TARCZEWSKI, KALEB",P008004   ,Def Rebound (1),D,0.0,0.0,AX Armani Exchange Olimpia Milan,Fenerbahce Dogus Istanbul,ULK,AX Armani Exchange Olimpia Milan,MIL,9,34,26.0,26.0,2.0,0.0,0.0,"VESELY, JAN","NUNNALLY, JAMES","SLOUKAS, KOSTAS","KALINIC, NIKOLA","DUVERIOGLU, AHMET","TARCZEWSKI, KALEB","MICOV, VLADIMIR","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","GOUDELOCK, ANDREW"
MIL,5.0,09:06,1,22,"MICOV, VLADIMIR",P000529   ,Three Pointer (1/1 -  3 pt),3FGM,0.0,3.0,AX Armani Exchange Olimpia Milan,Fenerbahce Dogus Istanbul,ULK,AX Armani Exchange Olimpia Milan,MIL,9,6,54.0,54.0,28.0,0.0,3.0,"VESELY, JAN","NUNNALLY, JAMES","SLOUKAS, KOSTAS","KALINIC, NIKOLA","DUVERIOGLU, AHMET","TARCZEWSKI, KALEB","MICOV, VLADIMIR","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","GOUDELOCK, ANDREW"
MIL,20.0,09:04,1,23,"CINCIARINI, ANDREA",PKIW      ,Assist (1),AS,0.0,3.0,AX Armani Exchange Olimpia Milan,Fenerbahce Dogus Istanbul,ULK,AX Armani Exchange Olimpia Milan,MIL,9,4,56.0,56.0,2.0,0.0,0.0,"VESELY, JAN","NUNNALLY, JAMES","SLOUKAS, KOSTAS","KALINIC, NIKOLA","DUVERIOGLU, AHMET","TARCZEWSKI, KALEB","MICOV, VLADIMIR","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","GOUDELOCK, ANDREW"
MIL,19.0,08:57,2,25,"KUZMINSKAS, MINDAUGAS",P002008   ,Foul (1),CM,0.0,3.0,AX Armani Exchange Olimpia Milan,Fenerbahce Dogus Istanbul,ULK,AX Armani Exchange Olimpia Milan,MIL,8,57,3.0,63.0,7.0,0.0,0.0,"VESELY, JAN","NUNNALLY, JAMES","SLOUKAS, KOSTAS","KALINIC, NIKOLA","DUVERIOGLU, AHMET","TARCZEWSKI, KALEB","MICOV, VLADIMIR","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","GOUDELOCK, ANDREW"
ULK,24.0,08:57,2,26,"VESELY, JAN",P000925   ,Foul Drawn (2),RV,0.0,3.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,AX Armani Exchange Olimpia Milan,MIL,8,57,3.0,63.0,0.0,0.0,0.0,"VESELY, JAN","NUNNALLY, JAMES","SLOUKAS, KOSTAS","KALINIC, NIKOLA","DUVERIOGLU, AHMET","TARCZEWSKI, KALEB","MICOV, VLADIMIR","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","GOUDELOCK, ANDREW"
MIL,15.0,08:49,2,27,"TARCZEWSKI, KALEB",P008004   ,Foul (2),CM,0.0,3.0,AX Armani Exchange Olimpia Milan,Fenerbahce Dogus Istanbul,ULK,AX Armani Exchange Olimpia Milan,MIL,8,49,11.0,71.0,8.0,0.0,0.0,"VESELY, JAN","NUNNALLY, JAMES","SLOUKAS, KOSTAS","KALINIC, NIKOLA","DUVERIOGLU, AHMET","TARCZEWSKI, KALEB","MICOV, VLADIMIR","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","GOUDELOCK, ANDREW"
