,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,AX Armani Exchange Olimpia Milan,MIL,Anadolu Efes Istanbul,IST,0,0,0.0,0.0,"TARCZEWSKI, KALEB","MICOV, VLADIMIR","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","GOUDELOCK, ANDREW","MOTUM, BROCK","BALBAY, DOGUS","DUNSTON, BRYANT","WEEMS, SONNY","DOUGLAS, TONEY"
1,IST,12.0,09:59,1,3,"MOTUM, BROCK",P006599   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Anadolu Efes Istanbul,AX Armani Exchange Olimpia Milan,MIL,Anadolu Efes Istanbul,IST,9,59,0.0,0.0,"TARCZEWSKI, KALEB","MICOV, VLADIMIR","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","GOUDELOCK, ANDREW","MOTUM, BROCK","BALBAY, DOGUS","DUNSTON, BRYANT","WEEMS, SONNY","DOUGLAS, TONEY"
2,IST,4.0,09:59,1,4,"BALBAY, DOGUS",P003521   ,Off Rebound (1),O,0.0,0.0,Anadolu Efes Istanbul,AX Armani Exchange Olimpia Milan,MIL,Anadolu Efes Istanbul,IST,9,59,0.0,0.0,"TARCZEWSKI, KALEB","MICOV, VLADIMIR","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","GOUDELOCK, ANDREW","MOTUM, BROCK","BALBAY, DOGUS","DUNSTON, BRYANT","WEEMS, SONNY","DOUGLAS, TONEY"
3,IST,4.0,09:59,1,252,"BALBAY, DOGUS",P003521   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Anadolu Efes Istanbul,AX Armani Exchange Olimpia Milan,MIL,Anadolu Efes Istanbul,IST,9,59,0.0,0.0,"TARCZEWSKI, KALEB","MICOV, VLADIMIR","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","GOUDELOCK, ANDREW","MOTUM, BROCK","BALBAY, DOGUS","DUNSTON, BRYANT","WEEMS, SONNY","DOUGLAS, TONEY"
4,IST,12.0,09:59,1,253,"MOTUM, BROCK",P006599   ,Off Rebound (1),O,0.0,0.0,Anadolu Efes Istanbul,AX Armani Exchange Olimpia Milan,MIL,Anadolu Efes Istanbul,IST,9,59,0.0,0.0,"TARCZEWSKI, KALEB","MICOV, VLADIMIR","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","GOUDELOCK, ANDREW","MOTUM, BROCK","BALBAY, DOGUS","DUNSTON, BRYANT","WEEMS, SONNY","DOUGLAS, TONEY"
5,IST,12.0,09:59,1,254,"MOTUM, BROCK",P006599   ,Missed Three Pointer (0/2 -  0 pt),3FGA,0.0,0.0,Anadolu Efes Istanbul,AX Armani Exchange Olimpia Milan,MIL,Anadolu Efes Istanbul,IST,9,59,0.0,0.0,"TARCZEWSKI, KALEB","MICOV, VLADIMIR","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","GOUDELOCK, ANDREW","MOTUM, BROCK","BALBAY, DOGUS","DUNSTON, BRYANT","WEEMS, SONNY","DOUGLAS, TONEY"
6,MIL,,09:59,1,255,,          ,Def Rebound (1),D,0.0,0.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,Anadolu Efes Istanbul,IST,9,59,0.0,0.0,"TARCZEWSKI, KALEB","MICOV, VLADIMIR","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","GOUDELOCK, ANDREW","MOTUM, BROCK","BALBAY, DOGUS","DUNSTON, BRYANT","WEEMS, SONNY","DOUGLAS, TONEY"
7,IST,4.0,09:59,1,7,"BALBAY, DOGUS",P003521   ,Foul (1),CM,0.0,0.0,Anadolu Efes Istanbul,AX Armani Exchange Olimpia Milan,MIL,Anadolu Efes Istanbul,IST,9,59,0.0,0.0,"TARCZEWSKI, KALEB","MICOV, VLADIMIR","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","GOUDELOCK, ANDREW","MOTUM, BROCK","BALBAY, DOGUS","DUNSTON, BRYANT","WEEMS, SONNY","DOUGLAS, TONEY"
8,MIL,15.0,09:59,1,8,"TARCZEWSKI, KALEB",P008004   ,Foul Drawn (1),RV,0.0,0.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,Anadolu Efes Istanbul,IST,9,59,0.0,0.0,"TARCZEWSKI, KALEB","MICOV, VLADIMIR","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","GOUDELOCK, ANDREW","MOTUM, BROCK","BALBAY, DOGUS","DUNSTON, BRYANT","WEEMS, SONNY","DOUGLAS, TONEY"
9,MIL,5.0,09:59,1,9,"MICOV, VLADIMIR",P000529   ,Turnover (1),TO,0.0,0.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,Anadolu Efes Istanbul,IST,9,59,0.0,0.0,"TARCZEWSKI, KALEB","MICOV, VLADIMIR","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","GOUDELOCK, ANDREW","MOTUM, BROCK","BALBAY, DOGUS","DUNSTON, BRYANT","WEEMS, SONNY","DOUGLAS, TONEY"
