,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,6,,          ,Begin Period,BP,0.0,0.0,,Crvena Zvezda mts Belgrade,RED,Unicaja Malaga,MAL,0,0,0.0,0.0,"LESSORT, MATHIAS","LAZIC, BRANKO","ROCHESTIE, TAYLOR","BJELICA, MILKO","FELDEINE, JAMES","SALIN, SASU","BROOKS, JEFF","AUGUSTINE, JAMES","DIAZ, ALBERTO","MILOSAVLJEVIC, DRAGAN"
1,RED,26.0,09:42,1,7,"LESSORT, MATHIAS",P003842   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Unicaja Malaga,MAL,9,42,2.0,0.0,"LESSORT, MATHIAS","LAZIC, BRANKO","ROCHESTIE, TAYLOR","BJELICA, MILKO","FELDEINE, JAMES","SALIN, SASU","BROOKS, JEFF","AUGUSTINE, JAMES","DIAZ, ALBERTO","MILOSAVLJEVIC, DRAGAN"
2,RED,10.0,09:42,1,8,"LAZIC, BRANKO",PLUO      ,Assist (1),AS,2.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Unicaja Malaga,MAL,9,42,0.0,0.0,"LESSORT, MATHIAS","LAZIC, BRANKO","ROCHESTIE, TAYLOR","BJELICA, MILKO","FELDEINE, JAMES","SALIN, SASU","BROOKS, JEFF","AUGUSTINE, JAMES","DIAZ, ALBERTO","MILOSAVLJEVIC, DRAGAN"
3,MAL,10.0,09:22,1,9,"SALIN, SASU",P002820   ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,0.0,Unicaja Malaga,Crvena Zvezda mts Belgrade,RED,Unicaja Malaga,MAL,9,22,0.0,0.0,"LESSORT, MATHIAS","LAZIC, BRANKO","ROCHESTIE, TAYLOR","BJELICA, MILKO","FELDEINE, JAMES","SALIN, SASU","BROOKS, JEFF","AUGUSTINE, JAMES","DIAZ, ALBERTO","MILOSAVLJEVIC, DRAGAN"
4,RED,26.0,09:21,1,10,"LESSORT, MATHIAS",P003842   ,Def Rebound (1),D,2.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Unicaja Malaga,MAL,9,21,0.0,0.0,"LESSORT, MATHIAS","LAZIC, BRANKO","ROCHESTIE, TAYLOR","BJELICA, MILKO","FELDEINE, JAMES","SALIN, SASU","BROOKS, JEFF","AUGUSTINE, JAMES","DIAZ, ALBERTO","MILOSAVLJEVIC, DRAGAN"
5,MAL,23.0,09:13,1,11,"BROOKS, JEFF",P004117   ,Foul (1),CM,2.0,0.0,Unicaja Malaga,Crvena Zvezda mts Belgrade,RED,Unicaja Malaga,MAL,9,13,0.0,0.0,"LESSORT, MATHIAS","LAZIC, BRANKO","ROCHESTIE, TAYLOR","BJELICA, MILKO","FELDEINE, JAMES","SALIN, SASU","BROOKS, JEFF","AUGUSTINE, JAMES","DIAZ, ALBERTO","MILOSAVLJEVIC, DRAGAN"
6,RED,22.0,09:13,1,12,"ROCHESTIE, TAYLOR",P002972   ,Foul Drawn (1),RV,2.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Unicaja Malaga,MAL,9,13,0.0,0.0,"LESSORT, MATHIAS","LAZIC, BRANKO","ROCHESTIE, TAYLOR","BJELICA, MILKO","FELDEINE, JAMES","SALIN, SASU","BROOKS, JEFF","AUGUSTINE, JAMES","DIAZ, ALBERTO","MILOSAVLJEVIC, DRAGAN"
7,RED,22.0,09:03,1,13,"ROCHESTIE, TAYLOR",P002972   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Unicaja Malaga,MAL,9,3,3.0,0.0,"LESSORT, MATHIAS","LAZIC, BRANKO","ROCHESTIE, TAYLOR","BJELICA, MILKO","FELDEINE, JAMES","SALIN, SASU","BROOKS, JEFF","AUGUSTINE, JAMES","DIAZ, ALBERTO","MILOSAVLJEVIC, DRAGAN"
8,RED,51.0,09:03,1,14,"BJELICA, MILKO",PCHX      ,Assist (1),AS,5.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Unicaja Malaga,MAL,9,3,0.0,0.0,"LESSORT, MATHIAS","LAZIC, BRANKO","ROCHESTIE, TAYLOR","BJELICA, MILKO","FELDEINE, JAMES","SALIN, SASU","BROOKS, JEFF","AUGUSTINE, JAMES","DIAZ, ALBERTO","MILOSAVLJEVIC, DRAGAN"
9,RED,51.0,08:40,2,16,"BJELICA, MILKO",PCHX      ,Unsportsmanlike Foul  (1),CMU,5.0,0.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Unicaja Malaga,MAL,8,40,0.0,0.0,"LESSORT, MATHIAS","LAZIC, BRANKO","ROCHESTIE, TAYLOR","BJELICA, MILKO","FELDEINE, JAMES","SALIN, SASU","BROOKS, JEFF","AUGUSTINE, JAMES","DIAZ, ALBERTO","MILOSAVLJEVIC, DRAGAN"
