CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,0,0,,,0.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
RED,26.0,09:59,1,3,"LESSORT, MATHIAS",P003842   ,Foul (1),CM,0.0,0.0,Crvena Zvezda mts Belgrade,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,9,59,1.0,1.0,0.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
BAR,44.0,09:59,1,4,"TOMIC, ANTE",P002507   ,Foul Drawn (1),RV,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,9,59,1.0,1.0,0.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
BAR,5.0,09:50,1,5,"RIBAS, PAU",PJUG      ,Turnover (1),TO,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,9,50,10.0,10.0,9.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
RED,14.0,09:50,1,6,"FELDEINE, JAMES",P005918   ,Steal (1),ST,0.0,0.0,Crvena Zvezda mts Belgrade,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,9,50,10.0,10.0,0.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
RED,14.0,09:50,1,7,"FELDEINE, JAMES",P005918   ,Three Pointer (1/1 -  3 pt),3FGM,0.0,3.0,Crvena Zvezda mts Belgrade,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,9,50,10.0,10.0,0.0,0.0,3.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
RED,22.0,09:50,1,8,"ROCHESTIE, TAYLOR",P002972   ,Assist (1),AS,0.0,3.0,Crvena Zvezda mts Belgrade,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,9,50,10.0,10.0,0.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
RED,51.0,09:18,1,9,"BJELICA, MILKO",PCHX      ,Foul (1),CM,0.0,3.0,Crvena Zvezda mts Belgrade,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,9,18,42.0,42.0,32.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
BAR,10.0,09:18,1,10,"JACKSON, EDWIN",P000229   ,Foul Drawn (1),RV,0.0,3.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,9,18,42.0,42.0,0.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
BAR,10.0,09:09,1,11,"JACKSON, EDWIN",P000229   ,Turnover (1),TO,0.0,3.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,9,9,51.0,51.0,9.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
RED,10.0,09:07,1,12,"LAZIC, BRANKO",PLUO      ,Steal (1),ST,0.0,3.0,Crvena Zvezda mts Belgrade,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,9,7,53.0,53.0,2.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
RED,22.0,08:47,2,14,"ROCHESTIE, TAYLOR",P002972   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,3.0,Crvena Zvezda mts Belgrade,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,8,47,13.0,73.0,20.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
BAR,45.0,08:45,2,15,"MOERMAN, ADRIEN",P001833   ,Def Rebound (1),D,0.0,3.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,8,45,15.0,75.0,2.0,0.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
BAR,5.0,08:23,2,16,"RIBAS, PAU",PJUG      ,Three Pointer (1/1 -  3 pt),3FGM,3.0,3.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,8,23,37.0,97.0,22.0,3.0,0.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
RED,14.0,07:55,3,18,"FELDEINE, JAMES",P005918   ,Two Pointer (1/1 -  5 pt),2FGM,3.0,5.0,Crvena Zvezda mts Belgrade,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED,7,55,5.0,125.0,28.0,0.0,2.0,"TOMIC, ANTE","RIBAS, PAU","JACKSON, EDWIN","MOERMAN, ADRIEN","CLAVER, VICTOR","LESSORT, MATHIAS","FELDEINE, JAMES","ROCHESTIE, TAYLOR","BJELICA, MILKO","LAZIC, BRANKO"
