CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Khimki Moscow Region,KHI,AX Armani Exchange Olimpia Milan,MIL,0,0,,,,0.0,0.0,"ANDERSON, JAMES","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","THOMAS, MALCOLM","GOUDELOCK, ANDREW","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB"
KHI,21.0,09:39,1,3,"ANDERSON, JAMES",P005938   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,AX Armani Exchange Olimpia Milan,MIL,9,39,21.0,21.0,,2.0,0.0,"ANDERSON, JAMES","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","THOMAS, MALCOLM","GOUDELOCK, ANDREW","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB"
KHI,9.0,09:37,1,4,"MARKOVIC, STEFAN",PLME      ,Assist (1),AS,2.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,AX Armani Exchange Olimpia Milan,MIL,9,37,23.0,23.0,2.0,0.0,0.0,"ANDERSON, JAMES","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","THOMAS, MALCOLM","GOUDELOCK, ANDREW","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB"
MIL,0.0,09:20,1,5,"GOUDELOCK, ANDREW",P004903   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,AX Armani Exchange Olimpia Milan,Khimki Moscow Region,KHI,AX Armani Exchange Olimpia Milan,MIL,9,20,40.0,40.0,17.0,0.0,2.0,"ANDERSON, JAMES","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","THOMAS, MALCOLM","GOUDELOCK, ANDREW","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB"
KHI,21.0,09:04,1,6,"ANDERSON, JAMES",P005938   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,AX Armani Exchange Olimpia Milan,MIL,9,4,56.0,56.0,16.0,2.0,0.0,"ANDERSON, JAMES","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","THOMAS, MALCOLM","GOUDELOCK, ANDREW","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB"
KHI,1.0,09:02,1,7,"SHVED, ALEXEY",PKVZ      ,Assist (1),AS,4.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,AX Armani Exchange Olimpia Milan,MIL,9,2,58.0,58.0,2.0,0.0,0.0,"ANDERSON, JAMES","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","THOMAS, MALCOLM","GOUDELOCK, ANDREW","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB"
MIL,0.0,08:52,2,9,"GOUDELOCK, ANDREW",P004903   ,Three Pointer (1/1 -  5 pt),3FGM,4.0,5.0,AX Armani Exchange Olimpia Milan,Khimki Moscow Region,KHI,AX Armani Exchange Olimpia Milan,MIL,8,52,8.0,68.0,10.0,0.0,3.0,"ANDERSON, JAMES","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","THOMAS, MALCOLM","GOUDELOCK, ANDREW","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB"
MIL,20.0,08:51,2,10,"CINCIARINI, ANDREA",PKIW      ,Assist (1),AS,4.0,5.0,AX Armani Exchange Olimpia Milan,Khimki Moscow Region,KHI,AX Armani Exchange Olimpia Milan,MIL,8,51,9.0,69.0,1.0,0.0,0.0,"ANDERSON, JAMES","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","THOMAS, MALCOLM","GOUDELOCK, ANDREW","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB"
KHI,13.0,08:36,2,11,"GILL, ANTHONY",P008001   ,Foul Drawn (1),RV,4.0,5.0,Khimki Moscow Region,Khimki Moscow Region,KHI,AX Armani Exchange Olimpia Milan,MIL,8,36,24.0,84.0,15.0,0.0,0.0,"ANDERSON, JAMES","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","THOMAS, MALCOLM","GOUDELOCK, ANDREW","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB"
MIL,19.0,08:36,2,12,"KUZMINSKAS, MINDAUGAS",P002008   ,Foul (1),CM,4.0,5.0,AX Armani Exchange Olimpia Milan,Khimki Moscow Region,KHI,AX Armani Exchange Olimpia Milan,MIL,8,36,24.0,84.0,0.0,0.0,0.0,"ANDERSON, JAMES","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","THOMAS, MALCOLM","GOUDELOCK, ANDREW","CINCIARINI, ANDREA","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB"
