,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,10,,          ,Begin Period,BP,0.0,0.0,,Valencia Basket,PAM,Baskonia Vitoria Gasteiz,BAS,0,0,0.0,0.0,"ABALDE, ALBERTO","MARTINEZ, RAFA","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","THOMAS, WILL","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","VOIGTMANN, JOHANNES","GARINO, PATRICIO","GRANGER, JAYSON"
1,BAS,10.0,09:55,1,11,"BEAUBOIS, RODRIGUE",P006590   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Baskonia Vitoria Gasteiz,Valencia Basket,PAM,Baskonia Vitoria Gasteiz,BAS,9,55,0.0,0.0,"ABALDE, ALBERTO","MARTINEZ, RAFA","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","THOMAS, WILL","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","VOIGTMANN, JOHANNES","GARINO, PATRICIO","GRANGER, JAYSON"
2,BAS,17.0,09:55,1,83,"POIRIER, VINCENT",P004887   ,Off Rebound (1),O,0.0,0.0,Baskonia Vitoria Gasteiz,Valencia Basket,PAM,Baskonia Vitoria Gasteiz,BAS,9,55,0.0,0.0,"ABALDE, ALBERTO","MARTINEZ, RAFA","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","THOMAS, WILL","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","VOIGTMANN, JOHANNES","GARINO, PATRICIO","GRANGER, JAYSON"
3,BAS,17.0,09:55,1,84,"POIRIER, VINCENT",P004887   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Baskonia Vitoria Gasteiz,Valencia Basket,PAM,Baskonia Vitoria Gasteiz,BAS,9,55,0.0,0.0,"ABALDE, ALBERTO","MARTINEZ, RAFA","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","THOMAS, WILL","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","VOIGTMANN, JOHANNES","GARINO, PATRICIO","GRANGER, JAYSON"
4,BAS,17.0,09:55,1,12,"POIRIER, VINCENT",P004887   ,Off Rebound (2),O,0.0,0.0,Baskonia Vitoria Gasteiz,Valencia Basket,PAM,Baskonia Vitoria Gasteiz,BAS,9,55,0.0,0.0,"ABALDE, ALBERTO","MARTINEZ, RAFA","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","THOMAS, WILL","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","VOIGTMANN, JOHANNES","GARINO, PATRICIO","GRANGER, JAYSON"
5,BAS,17.0,09:40,1,13,"POIRIER, VINCENT",P004887   ,Turnover (1),TO,0.0,0.0,Baskonia Vitoria Gasteiz,Valencia Basket,PAM,Baskonia Vitoria Gasteiz,BAS,9,40,0.0,0.0,"ABALDE, ALBERTO","MARTINEZ, RAFA","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","THOMAS, WILL","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","VOIGTMANN, JOHANNES","GARINO, PATRICIO","GRANGER, JAYSON"
6,PAM,6.0,09:39,1,14,"ABALDE, ALBERTO",P003733   ,Steal (1),ST,0.0,0.0,Valencia Basket,Valencia Basket,PAM,Baskonia Vitoria Gasteiz,BAS,9,39,0.0,0.0,"ABALDE, ALBERTO","MARTINEZ, RAFA","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","THOMAS, WILL","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","VOIGTMANN, JOHANNES","GARINO, PATRICIO","GRANGER, JAYSON"
7,PAM,17.0,09:39,1,15,"MARTINEZ, RAFA",P001351   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Valencia Basket,Valencia Basket,PAM,Baskonia Vitoria Gasteiz,BAS,9,39,0.0,0.0,"ABALDE, ALBERTO","MARTINEZ, RAFA","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","THOMAS, WILL","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","VOIGTMANN, JOHANNES","GARINO, PATRICIO","GRANGER, JAYSON"
8,PAM,17.0,09:39,1,16,"MARTINEZ, RAFA",P001351   ,Shot Rejected (1),AG,0.0,0.0,Valencia Basket,Valencia Basket,PAM,Baskonia Vitoria Gasteiz,BAS,9,39,0.0,0.0,"ABALDE, ALBERTO","MARTINEZ, RAFA","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","THOMAS, WILL","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","VOIGTMANN, JOHANNES","GARINO, PATRICIO","GRANGER, JAYSON"
9,BAS,10.0,09:39,1,17,"BEAUBOIS, RODRIGUE",P006590   ,Block (1),FV,0.0,0.0,Baskonia Vitoria Gasteiz,Valencia Basket,PAM,Baskonia Vitoria Gasteiz,BAS,9,39,0.0,0.0,"ABALDE, ALBERTO","MARTINEZ, RAFA","DUBLJEVIC, BOJAN","SAN EMETERIO, FERNANDO","THOMAS, WILL","BEAUBOIS, RODRIGUE","POIRIER, VINCENT","VOIGTMANN, JOHANNES","GARINO, PATRICIO","GRANGER, JAYSON"
