,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,14,,          ,Begin Period,BP,0.0,0.0,,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,0,0,0.0,0.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
1,OLY,6.0,09:42,1,15,"PAPAPETROU, IOANNIS",P005161   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,9,42,0.0,0.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
2,BAR,44.0,09:38,1,16,"TOMIC, ANTE",P002507   ,Def Rebound (1),D,0.0,0.0,FC Barcelona Lassa,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,9,38,0.0,0.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
3,BAR,30.0,09:22,1,17,"CLAVER, VICTOR",P000556   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,FC Barcelona Lassa,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,9,22,0.0,0.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
4,BAR,44.0,09:19,1,18,"TOMIC, ANTE",P002507   ,Off Rebound (1),O,0.0,0.0,FC Barcelona Lassa,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,9,19,0.0,0.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
5,BAR,44.0,09:19,1,19,"TOMIC, ANTE",P002507   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,FC Barcelona Lassa,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,9,19,0.0,2.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
6,BAR,44.0,09:07,1,20,"TOMIC, ANTE",P002507   ,Foul (1),CM,0.0,2.0,FC Barcelona Lassa,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,9,7,0.0,0.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
7,OLY,11.0,09:07,1,21,"MILUTINOV, NIKOLA",P003941   ,Foul Drawn (1),RV,0.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,9,7,0.0,0.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
8,OLY,15.0,09:07,1,22,"PRINTEZIS, GEORGIOS",PAMM      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,9,7,2.0,0.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
9,OLY,7.0,09:07,1,23,"SPANOULIS, VASSILIS",PJUO      ,Assist (1),AS,2.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,9,7,0.0,0.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
10,BAR,44.0,08:42,2,25,"TOMIC, ANTE",P002507   ,Missed Two Pointer (1/2 -  2 pt),2FGA,2.0,2.0,FC Barcelona Lassa,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,8,42,0.0,0.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
11,OLY,17.0,08:40,2,26,"MANTZARIS, VANGELIS",P003537   ,Def Rebound (1),D,2.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,FC Barcelona Lassa,BAR,8,40,0.0,0.0,"PAPAPETROU, IOANNIS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS","MANTZARIS, VANGELIS","TOMIC, ANTE","CLAVER, VICTOR","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN"
