,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,37,,          ,Begin Period,BP,0.0,0.0,,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI,0,0,0.0,0.0,"ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","JACKSON, PIERRE","BOLDEN, JONAH","GILL, ANTHONY","ANDERSON, JAMES","THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY"
1,TEL,5.0,09:39,1,38,"ROLL, MICHAEL",P004974   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI,9,39,0.0,0.0,"ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","JACKSON, PIERRE","BOLDEN, JONAH","GILL, ANTHONY","ANDERSON, JAMES","THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY"
2,KHI,13.0,09:36,1,39,"GILL, ANTHONY",P008001   ,Def Rebound (1),D,0.0,0.0,Khimki Moscow Region,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI,9,36,0.0,0.0,"ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","JACKSON, PIERRE","BOLDEN, JONAH","GILL, ANTHONY","ANDERSON, JAMES","THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY"
3,KHI,21.0,09:18,1,40,"ANDERSON, JAMES",P005938   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Khimki Moscow Region,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI,9,18,0.0,0.0,"ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","JACKSON, PIERRE","BOLDEN, JONAH","GILL, ANTHONY","ANDERSON, JAMES","THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY"
4,KHI,,09:17,1,41,,          ,Off Rebound (1),O,0.0,0.0,Khimki Moscow Region,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI,9,17,0.0,0.0,"ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","JACKSON, PIERRE","BOLDEN, JONAH","GILL, ANTHONY","ANDERSON, JAMES","THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY"
5,KHI,13.0,09:04,1,42,"GILL, ANTHONY",P008001   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Khimki Moscow Region,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI,9,4,0.0,0.0,"ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","JACKSON, PIERRE","BOLDEN, JONAH","GILL, ANTHONY","ANDERSON, JAMES","THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY"
6,KHI,23.0,09:01,1,43,"THOMAS, MALCOLM",P004251   ,Off Rebound (1),O,0.0,0.0,Khimki Moscow Region,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI,9,1,0.0,0.0,"ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","JACKSON, PIERRE","BOLDEN, JONAH","GILL, ANTHONY","ANDERSON, JAMES","THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY"
7,KHI,13.0,08:50,2,45,"GILL, ANTHONY",P008001   ,Missed Two Pointer (0/2 -  0 pt),2FGA,0.0,0.0,Khimki Moscow Region,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI,8,50,0.0,0.0,"ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","JACKSON, PIERRE","BOLDEN, JONAH","GILL, ANTHONY","ANDERSON, JAMES","THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY"
8,TEL,45.0,08:48,2,46,"PARAKHOUSKI, ARTSIOM",P003034   ,Def Rebound (1),D,0.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI,8,48,0.0,0.0,"ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","JACKSON, PIERRE","BOLDEN, JONAH","GILL, ANTHONY","ANDERSON, JAMES","THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY"
9,TEL,7.0,08:39,2,47,"KANE, DEANDRE",P005781   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI,8,39,0.0,0.0,"ROLL, MICHAEL","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","JACKSON, PIERRE","BOLDEN, JONAH","GILL, ANTHONY","ANDERSON, JAMES","THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY"
