CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,0,0,,,,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
OLY,22.0,09:42,1,3,"ROBERTS, BRIAN",P002091   ,Foul Drawn (1),RV,0.0,0.0,Olympiacos Piraeus,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,9,42,18.0,18.0,,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
CSK,13.0,09:39,1,4,"RODRIGUEZ, SERGIO",PCVM      ,Foul (1),CM,0.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,9,39,21.0,21.0,3.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
OLY,22.0,09:47,1,5,"ROBERTS, BRIAN",P002091   ,Free Throw In (1/1 -  1 pt),FTM,0.0,1.0,Olympiacos Piraeus,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,9,47,13.0,21.0,0.0,0.0,1.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
OLY,7.0,09:47,1,6,"SPANOULIS, VASSILIS",PJUO      ,Assist (1),AS,0.0,1.0,Olympiacos Piraeus,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,9,47,13.0,13.0,-8.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
OLY,22.0,09:47,1,7,"ROBERTS, BRIAN",P002091   ,Free Throw In (2/2 -  2 pt),FTM,0.0,2.0,Olympiacos Piraeus,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,9,47,13.0,13.0,0.0,0.0,1.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
OLY,22.0,09:47,1,8,"ROBERTS, BRIAN",P002091   ,Free Throw In (3/3 -  3 pt),FTM,0.0,3.0,Olympiacos Piraeus,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,9,47,13.0,13.0,0.0,0.0,1.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
CSK,21.0,09:33,1,9,"CLYBURN, WILL",P004888   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,9,33,27.0,27.0,14.0,2.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
CSK,20.0,09:31,1,10,"VORONTSEVICH, ANDREY",PLHI      ,Assist (1),AS,2.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,9,31,29.0,29.0,2.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
OLY,6.0,09:08,1,11,"PAPAPETROU, IOANNIS",P005161   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,3.0,Olympiacos Piraeus,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,9,8,52.0,52.0,23.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
CSK,41.0,09:05,1,12,"KURBANOV, NIKITA",PJLX      ,Def Rebound (1),D,2.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,9,5,55.0,55.0,3.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
CSK,42.0,08:57,2,14,"HINES, KYLE",P002812   ,Foul Drawn (1),RV,2.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,8,57,3.0,63.0,8.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
OLY,22.0,08:57,2,15,"ROBERTS, BRIAN",P002091   ,Foul (1),CM,2.0,3.0,Olympiacos Piraeus,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,8,57,3.0,63.0,0.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
CSK,42.0,08:57,2,16,"HINES, KYLE",P002812   ,Free Throw In (1/1 -  1 pt),FTM,3.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,8,57,3.0,63.0,0.0,1.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
CSK,41.0,08:57,2,17,"KURBANOV, NIKITA",PJLX      ,Assist (1),AS,3.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,8,57,3.0,63.0,0.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
CSK,42.0,08:57,2,18,"HINES, KYLE",P002812   ,Missed Free Throw (1/2 -  1 pt),FTA,3.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,8,57,3.0,63.0,0.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
OLY,6.0,08:57,2,19,"PAPAPETROU, IOANNIS",P005161   ,Def Rebound (1),D,3.0,3.0,Olympiacos Piraeus,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,8,57,3.0,63.0,0.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
OLY,6.0,08:57,2,20,"PAPAPETROU, IOANNIS",P005161   ,Missed Two Pointer (0/2 -  0 pt),2FGA,3.0,3.0,Olympiacos Piraeus,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,8,57,3.0,63.0,0.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
CSK,41.0,08:57,2,21,"KURBANOV, NIKITA",PJLX      ,Def Rebound (2),D,3.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,8,57,3.0,63.0,0.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
CSK,21.0,08:57,2,22,"CLYBURN, WILL",P004888   ,Turnover (1),TO,3.0,3.0,CSKA Moscow,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,8,57,3.0,63.0,0.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
OLY,15.0,08:15,2,23,"PRINTEZIS, GEORGIOS",PAMM      ,Two Pointer (1/1 -  2 pt),2FGM,3.0,5.0,Olympiacos Piraeus,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,8,15,45.0,105.0,42.0,0.0,2.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
OLY,7.0,08:13,2,24,"SPANOULIS, VASSILIS",PJUO      ,Assist (2),AS,3.0,5.0,Olympiacos Piraeus,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,8,13,47.0,107.0,2.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
CSK,21.0,07:57,3,26,"CLYBURN, WILL",P004888   ,Turnover (2),TO,3.0,5.0,CSKA Moscow,CSKA Moscow,CSK,Olympiacos Piraeus,OLY,7,57,3.0,123.0,16.0,0.0,0.0,"RODRIGUEZ, SERGIO","CLYBURN, WILL","VORONTSEVICH, ANDREY","KURBANOV, NIKITA","HINES, KYLE","ROBERTS, BRIAN","SPANOULIS, VASSILIS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA"
