,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,0,0,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
1,IST,44.0,09:37,1,3,"SIMON, KRUNOSLAV",PCPR      ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,9,37,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
2,KHI,13.0,09:36,1,4,"GILL, ANTHONY",P008001   ,Def Rebound (1),D,0.0,0.0,Khimki Moscow Region,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,9,36,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
3,KHI,23.0,09:21,1,5,"THOMAS, MALCOLM",P004251   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Khimki Moscow Region,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,9,21,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
4,IST,44.0,09:19,1,6,"SIMON, KRUNOSLAV",PCPR      ,Def Rebound (1),D,0.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,9,19,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
5,KHI,9.0,09:14,1,7,"MARKOVIC, STEFAN",PLME      ,Foul (1),CM,0.0,0.0,Khimki Moscow Region,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,9,14,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
6,IST,42.0,09:14,1,8,"DUNSTON, BRYANT",P003048   ,Foul Drawn (1),RV,0.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,9,14,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
7,IST,42.0,09:08,1,9,"DUNSTON, BRYANT",P003048   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,9,8,2.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
8,IST,44.0,09:06,1,10,"SIMON, KRUNOSLAV",PCPR      ,Assist (1),AS,2.0,0.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,9,6,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
9,KHI,13.0,08:49,2,12,"GILL, ANTHONY",P008001   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,0.0,Khimki Moscow Region,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,8,49,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
10,KHI,23.0,08:49,2,13,"THOMAS, MALCOLM",P004251   ,Off Rebound (1),O,2.0,0.0,Khimki Moscow Region,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,8,49,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
11,KHI,23.0,08:49,2,14,"THOMAS, MALCOLM",P004251   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Khimki Moscow Region,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,8,49,0.0,2.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
12,IST,12.0,08:29,2,15,"MOTUM, BROCK",P006599   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,2.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,8,29,3.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
13,IST,44.0,08:28,2,16,"SIMON, KRUNOSLAV",PCPR      ,Assist (2),AS,5.0,2.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,8,28,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
14,KHI,21.0,08:13,2,17,"ANDERSON, JAMES",P005938   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,4.0,Khimki Moscow Region,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,8,13,0.0,2.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
15,KHI,23.0,08:11,2,18,"THOMAS, MALCOLM",P004251   ,Assist (1),AS,5.0,4.0,Khimki Moscow Region,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,8,11,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
16,IST,44.0,07:46,3,20,"SIMON, KRUNOSLAV",PCPR      ,Missed Two Pointer (0/1 -  0 pt),2FGA,5.0,4.0,Anadolu Efes Istanbul,Anadolu Efes Istanbul,IST,Khimki Moscow Region,KHI,7,46,0.0,0.0,"SIMON, KRUNOSLAV","DUNSTON, BRYANT","MOTUM, BROCK","BALBAY, DOGUS","WEEMS, SONNY","GILL, ANTHONY","THOMAS, MALCOLM","MARKOVIC, STEFAN","ANDERSON, JAMES","SHVED, ALEXEY"
