CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,10,,          ,Begin Period,BP,0.0,0.0,,Valencia Basket,PAM,Real Madrid,MAD,0,0,,,0.0,0.0,0.0,"THOMAS, WILL","DUBLJEVIC, BOJAN","SASTRE, JOAN","MARTINEZ, RAFA","ABALDE, ALBERTO","CARROLL, JAYCEE","CAMPAZZO, FACUNDO","RANDOLPH, ANTHONY","TAYLOR, JEFFERY","TAVARES, WALTER"
MAD,20.0,09:33,1,11,"CARROLL, JAYCEE",P001960   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Real Madrid,Valencia Basket,PAM,Real Madrid,MAD,9,33,27.0,27.0,0.0,0.0,0.0,"THOMAS, WILL","DUBLJEVIC, BOJAN","SASTRE, JOAN","MARTINEZ, RAFA","ABALDE, ALBERTO","CARROLL, JAYCEE","CAMPAZZO, FACUNDO","RANDOLPH, ANTHONY","TAYLOR, JEFFERY","TAVARES, WALTER"
PAM,0.0,09:32,1,12,"THOMAS, WILL",P005856   ,Def Rebound (1),D,0.0,0.0,Valencia Basket,Valencia Basket,PAM,Real Madrid,MAD,9,32,28.0,28.0,1.0,0.0,0.0,"THOMAS, WILL","DUBLJEVIC, BOJAN","SASTRE, JOAN","MARTINEZ, RAFA","ABALDE, ALBERTO","CARROLL, JAYCEE","CAMPAZZO, FACUNDO","RANDOLPH, ANTHONY","TAYLOR, JEFFERY","TAVARES, WALTER"
PAM,14.0,09:17,1,13,"DUBLJEVIC, BOJAN",P002742   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,0.0,Valencia Basket,Valencia Basket,PAM,Real Madrid,MAD,9,17,43.0,43.0,15.0,3.0,0.0,"THOMAS, WILL","DUBLJEVIC, BOJAN","SASTRE, JOAN","MARTINEZ, RAFA","ABALDE, ALBERTO","CARROLL, JAYCEE","CAMPAZZO, FACUNDO","RANDOLPH, ANTHONY","TAYLOR, JEFFERY","TAVARES, WALTER"
PAM,30.0,09:15,1,14,"SASTRE, JOAN",P002936   ,Assist (1),AS,3.0,0.0,Valencia Basket,Valencia Basket,PAM,Real Madrid,MAD,9,15,45.0,45.0,2.0,0.0,0.0,"THOMAS, WILL","DUBLJEVIC, BOJAN","SASTRE, JOAN","MARTINEZ, RAFA","ABALDE, ALBERTO","CARROLL, JAYCEE","CAMPAZZO, FACUNDO","RANDOLPH, ANTHONY","TAYLOR, JEFFERY","TAVARES, WALTER"
MAD,20.0,09:02,1,15,"CARROLL, JAYCEE",P001960   ,Two Pointer (1/2 -  2 pt),2FGM,3.0,2.0,Real Madrid,Valencia Basket,PAM,Real Madrid,MAD,9,2,58.0,58.0,13.0,0.0,2.0,"THOMAS, WILL","DUBLJEVIC, BOJAN","SASTRE, JOAN","MARTINEZ, RAFA","ABALDE, ALBERTO","CARROLL, JAYCEE","CAMPAZZO, FACUNDO","RANDOLPH, ANTHONY","TAYLOR, JEFFERY","TAVARES, WALTER"
MAD,11.0,09:00,1,16,"CAMPAZZO, FACUNDO",P005928   ,Assist (1),AS,3.0,2.0,Real Madrid,Valencia Basket,PAM,Real Madrid,MAD,9,0,0.0,58.0,0.0,0.0,0.0,"THOMAS, WILL","DUBLJEVIC, BOJAN","SASTRE, JOAN","MARTINEZ, RAFA","ABALDE, ALBERTO","CARROLL, JAYCEE","CAMPAZZO, FACUNDO","RANDOLPH, ANTHONY","TAYLOR, JEFFERY","TAVARES, WALTER"
PAM,17.0,08:46,2,18,"MARTINEZ, RAFA",P001351   ,Missed Two Pointer (0/1 -  0 pt),2FGA,3.0,2.0,Valencia Basket,Valencia Basket,PAM,Real Madrid,MAD,8,46,14.0,74.0,16.0,0.0,0.0,"THOMAS, WILL","DUBLJEVIC, BOJAN","SASTRE, JOAN","MARTINEZ, RAFA","ABALDE, ALBERTO","CARROLL, JAYCEE","CAMPAZZO, FACUNDO","RANDOLPH, ANTHONY","TAYLOR, JEFFERY","TAVARES, WALTER"
PAM,14.0,08:42,2,19,"DUBLJEVIC, BOJAN",P002742   ,Off Rebound (1),O,3.0,2.0,Valencia Basket,Valencia Basket,PAM,Real Madrid,MAD,8,42,18.0,78.0,4.0,0.0,0.0,"THOMAS, WILL","DUBLJEVIC, BOJAN","SASTRE, JOAN","MARTINEZ, RAFA","ABALDE, ALBERTO","CARROLL, JAYCEE","CAMPAZZO, FACUNDO","RANDOLPH, ANTHONY","TAYLOR, JEFFERY","TAVARES, WALTER"
PAM,14.0,08:42,2,20,"DUBLJEVIC, BOJAN",P002742   ,Two Pointer (1/1 -  5 pt),2FGM,5.0,2.0,Valencia Basket,Valencia Basket,PAM,Real Madrid,MAD,8,42,18.0,78.0,0.0,2.0,0.0,"THOMAS, WILL","DUBLJEVIC, BOJAN","SASTRE, JOAN","MARTINEZ, RAFA","ABALDE, ALBERTO","CARROLL, JAYCEE","CAMPAZZO, FACUNDO","RANDOLPH, ANTHONY","TAYLOR, JEFFERY","TAVARES, WALTER"
