,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Brose Bamberg,BAM,Unicaja Malaga,MAL,0,0,0.0,0.0,"WRIGHT, DORELL","RUBIT, AUGUSTINE","ZISIS, NIKOS","HICKMAN, RICKY","RADOSEVIC, LEON","MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","MCCALLUM, RAY","NEDOVIC, NEMANJA","BROOKS, JEFF"
1,MAL,12.0,09:45,1,3,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Unicaja Malaga,Brose Bamberg,BAM,Unicaja Malaga,MAL,9,45,0.0,0.0,"WRIGHT, DORELL","RUBIT, AUGUSTINE","ZISIS, NIKOS","HICKMAN, RICKY","RADOSEVIC, LEON","MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","MCCALLUM, RAY","NEDOVIC, NEMANJA","BROOKS, JEFF"
2,MAL,40.0,09:41,1,4,"AUGUSTINE, JAMES",P001438   ,Off Rebound (1),O,0.0,0.0,Unicaja Malaga,Brose Bamberg,BAM,Unicaja Malaga,MAL,9,41,0.0,0.0,"WRIGHT, DORELL","RUBIT, AUGUSTINE","ZISIS, NIKOS","HICKMAN, RICKY","RADOSEVIC, LEON","MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","MCCALLUM, RAY","NEDOVIC, NEMANJA","BROOKS, JEFF"
3,MAL,3.0,09:31,1,5,"MCCALLUM, RAY",P008002   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Unicaja Malaga,Brose Bamberg,BAM,Unicaja Malaga,MAL,9,31,0.0,2.0,"WRIGHT, DORELL","RUBIT, AUGUSTINE","ZISIS, NIKOS","HICKMAN, RICKY","RADOSEVIC, LEON","MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","MCCALLUM, RAY","NEDOVIC, NEMANJA","BROOKS, JEFF"
4,BAM,3.0,09:04,1,6,"WRIGHT, DORELL",P008049   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Unicaja Malaga,MAL,9,4,2.0,0.0,"WRIGHT, DORELL","RUBIT, AUGUSTINE","ZISIS, NIKOS","HICKMAN, RICKY","RADOSEVIC, LEON","MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","MCCALLUM, RAY","NEDOVIC, NEMANJA","BROOKS, JEFF"
5,MAL,16.0,08:46,2,8,"NEDOVIC, NEMANJA",P000848   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,2.0,Unicaja Malaga,Brose Bamberg,BAM,Unicaja Malaga,MAL,8,46,0.0,0.0,"WRIGHT, DORELL","RUBIT, AUGUSTINE","ZISIS, NIKOS","HICKMAN, RICKY","RADOSEVIC, LEON","MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","MCCALLUM, RAY","NEDOVIC, NEMANJA","BROOKS, JEFF"
6,BAM,21.0,08:43,2,9,"RUBIT, AUGUSTINE",P006477   ,Def Rebound (1),D,2.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Unicaja Malaga,MAL,8,43,0.0,0.0,"WRIGHT, DORELL","RUBIT, AUGUSTINE","ZISIS, NIKOS","HICKMAN, RICKY","RADOSEVIC, LEON","MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","MCCALLUM, RAY","NEDOVIC, NEMANJA","BROOKS, JEFF"
7,BAM,6.0,08:38,2,10,"ZISIS, NIKOS",PABN      ,Turnover (1),TO,2.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Unicaja Malaga,MAL,8,38,0.0,0.0,"WRIGHT, DORELL","RUBIT, AUGUSTINE","ZISIS, NIKOS","HICKMAN, RICKY","RADOSEVIC, LEON","MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","MCCALLUM, RAY","NEDOVIC, NEMANJA","BROOKS, JEFF"
8,MAL,3.0,08:36,2,11,"MCCALLUM, RAY",P008002   ,Steal (1),ST,2.0,2.0,Unicaja Malaga,Brose Bamberg,BAM,Unicaja Malaga,MAL,8,36,0.0,0.0,"WRIGHT, DORELL","RUBIT, AUGUSTINE","ZISIS, NIKOS","HICKMAN, RICKY","RADOSEVIC, LEON","MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","MCCALLUM, RAY","NEDOVIC, NEMANJA","BROOKS, JEFF"
9,MAL,12.0,08:31,2,12,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,2.0,Unicaja Malaga,Brose Bamberg,BAM,Unicaja Malaga,MAL,8,31,0.0,0.0,"WRIGHT, DORELL","RUBIT, AUGUSTINE","ZISIS, NIKOS","HICKMAN, RICKY","RADOSEVIC, LEON","MILOSAVLJEVIC, DRAGAN","AUGUSTINE, JAMES","MCCALLUM, RAY","NEDOVIC, NEMANJA","BROOKS, JEFF"
