CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Brose Bamberg,BAM,AX Armani Exchange Olimpia Milan,MIL,0,0,,,0.0,0.0,0.0,"MUSLI, DEJAN","NIKOLIC, ALEKSEJ","HACKETT, DANIEL","MITROVIC, LUKA","WRIGHT, DORELL","GOUDELOCK, ANDREW","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","TARCZEWSKI, KALEB","MICOV, VLADIMIR"
MIL,0.0,09:29,1,3,"GOUDELOCK, ANDREW",P004903   ,Three Pointer (1/1 -  3 pt),3FGM,0.0,3.0,AX Armani Exchange Olimpia Milan,Brose Bamberg,BAM,AX Armani Exchange Olimpia Milan,MIL,9,29,31.0,31.0,0.0,0.0,3.0,"MUSLI, DEJAN","NIKOLIC, ALEKSEJ","HACKETT, DANIEL","MITROVIC, LUKA","WRIGHT, DORELL","GOUDELOCK, ANDREW","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","TARCZEWSKI, KALEB","MICOV, VLADIMIR"
MIL,19.0,09:59,1,4,"KUZMINSKAS, MINDAUGAS",P002008   ,Assist (1),AS,0.0,3.0,AX Armani Exchange Olimpia Milan,Brose Bamberg,BAM,AX Armani Exchange Olimpia Milan,MIL,9,59,1.0,31.0,0.0,0.0,0.0,"MUSLI, DEJAN","NIKOLIC, ALEKSEJ","HACKETT, DANIEL","MITROVIC, LUKA","WRIGHT, DORELL","GOUDELOCK, ANDREW","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","TARCZEWSKI, KALEB","MICOV, VLADIMIR"
BAM,42.0,09:19,1,5,"MUSLI, DEJAN",PLUR      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,Brose Bamberg,Brose Bamberg,BAM,AX Armani Exchange Olimpia Milan,MIL,9,19,41.0,41.0,10.0,2.0,0.0,"MUSLI, DEJAN","NIKOLIC, ALEKSEJ","HACKETT, DANIEL","MITROVIC, LUKA","WRIGHT, DORELL","GOUDELOCK, ANDREW","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","TARCZEWSKI, KALEB","MICOV, VLADIMIR"
BAM,7.0,09:17,1,6,"NIKOLIC, ALEKSEJ",P003703   ,Assist (1),AS,2.0,3.0,Brose Bamberg,Brose Bamberg,BAM,AX Armani Exchange Olimpia Milan,MIL,9,17,43.0,43.0,2.0,0.0,0.0,"MUSLI, DEJAN","NIKOLIC, ALEKSEJ","HACKETT, DANIEL","MITROVIC, LUKA","WRIGHT, DORELL","GOUDELOCK, ANDREW","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","TARCZEWSKI, KALEB","MICOV, VLADIMIR"
BAM,7.0,08:58,2,8,"NIKOLIC, ALEKSEJ",P003703   ,Foul (1),CM,2.0,3.0,Brose Bamberg,Brose Bamberg,BAM,AX Armani Exchange Olimpia Milan,MIL,8,58,2.0,62.0,19.0,0.0,0.0,"MUSLI, DEJAN","NIKOLIC, ALEKSEJ","HACKETT, DANIEL","MITROVIC, LUKA","WRIGHT, DORELL","GOUDELOCK, ANDREW","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","TARCZEWSKI, KALEB","MICOV, VLADIMIR"
MIL,0.0,08:58,2,9,"GOUDELOCK, ANDREW",P004903   ,Foul Drawn (1),RV,2.0,3.0,AX Armani Exchange Olimpia Milan,Brose Bamberg,BAM,AX Armani Exchange Olimpia Milan,MIL,8,58,2.0,62.0,0.0,0.0,0.0,"MUSLI, DEJAN","NIKOLIC, ALEKSEJ","HACKETT, DANIEL","MITROVIC, LUKA","WRIGHT, DORELL","GOUDELOCK, ANDREW","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","TARCZEWSKI, KALEB","MICOV, VLADIMIR"
MIL,0.0,08:58,2,10,"GOUDELOCK, ANDREW",P004903   ,Missed Three Pointer (1/2 -  3 pt),3FGA,2.0,3.0,AX Armani Exchange Olimpia Milan,Brose Bamberg,BAM,AX Armani Exchange Olimpia Milan,MIL,8,58,2.0,62.0,0.0,0.0,0.0,"MUSLI, DEJAN","NIKOLIC, ALEKSEJ","HACKETT, DANIEL","MITROVIC, LUKA","WRIGHT, DORELL","GOUDELOCK, ANDREW","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","TARCZEWSKI, KALEB","MICOV, VLADIMIR"
BAM,42.0,08:58,2,11,"MUSLI, DEJAN",PLUR      ,Def Rebound (1),D,2.0,3.0,Brose Bamberg,Brose Bamberg,BAM,AX Armani Exchange Olimpia Milan,MIL,8,58,2.0,62.0,0.0,0.0,0.0,"MUSLI, DEJAN","NIKOLIC, ALEKSEJ","HACKETT, DANIEL","MITROVIC, LUKA","WRIGHT, DORELL","GOUDELOCK, ANDREW","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","TARCZEWSKI, KALEB","MICOV, VLADIMIR"
MIL,20.0,08:58,2,12,"CINCIARINI, ANDREA",PKIW      ,Foul (1),CM,2.0,3.0,AX Armani Exchange Olimpia Milan,Brose Bamberg,BAM,AX Armani Exchange Olimpia Milan,MIL,8,58,2.0,62.0,0.0,0.0,0.0,"MUSLI, DEJAN","NIKOLIC, ALEKSEJ","HACKETT, DANIEL","MITROVIC, LUKA","WRIGHT, DORELL","GOUDELOCK, ANDREW","KUZMINSKAS, MINDAUGAS","CINCIARINI, ANDREA","TARCZEWSKI, KALEB","MICOV, VLADIMIR"
