CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD,0,0,,,0.0,0.0,0.0,"BJELICA, MILKO","DAVIDOVAC, DEJAN","LESSORT, MATHIAS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DONCIC, LUKA","TAVARES, WALTER","CAUSEUR, FABIEN","RANDOLPH, ANTHONY","TAYLOR, JEFFERY"
MAD,7.0,09:47,1,3,"DONCIC, LUKA",P005929   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Real Madrid,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD,9,47,13.0,13.0,0.0,0.0,2.0,"BJELICA, MILKO","DAVIDOVAC, DEJAN","LESSORT, MATHIAS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DONCIC, LUKA","TAVARES, WALTER","CAUSEUR, FABIEN","RANDOLPH, ANTHONY","TAYLOR, JEFFERY"
RED,51.0,09:27,1,4,"BJELICA, MILKO",PCHX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,2.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD,9,27,33.0,33.0,20.0,0.0,0.0,"BJELICA, MILKO","DAVIDOVAC, DEJAN","LESSORT, MATHIAS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DONCIC, LUKA","TAVARES, WALTER","CAUSEUR, FABIEN","RANDOLPH, ANTHONY","TAYLOR, JEFFERY"
MAD,22.0,09:27,1,5,"TAVARES, WALTER",P005791   ,Def Rebound (1),D,0.0,2.0,Real Madrid,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD,9,27,33.0,33.0,0.0,0.0,0.0,"BJELICA, MILKO","DAVIDOVAC, DEJAN","LESSORT, MATHIAS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DONCIC, LUKA","TAVARES, WALTER","CAUSEUR, FABIEN","RANDOLPH, ANTHONY","TAYLOR, JEFFERY"
MAD,1.0,09:22,1,6,"CAUSEUR, FABIEN",P001392   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,4.0,Real Madrid,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD,9,22,38.0,38.0,5.0,0.0,2.0,"BJELICA, MILKO","DAVIDOVAC, DEJAN","LESSORT, MATHIAS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DONCIC, LUKA","TAVARES, WALTER","CAUSEUR, FABIEN","RANDOLPH, ANTHONY","TAYLOR, JEFFERY"
MAD,7.0,09:16,1,7,"DONCIC, LUKA",P005929   ,Assist (1),AS,0.0,4.0,Real Madrid,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD,9,16,44.0,44.0,6.0,0.0,0.0,"BJELICA, MILKO","DAVIDOVAC, DEJAN","LESSORT, MATHIAS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DONCIC, LUKA","TAVARES, WALTER","CAUSEUR, FABIEN","RANDOLPH, ANTHONY","TAYLOR, JEFFERY"
RED,7.0,08:56,2,9,"DAVIDOVAC, DEJAN",P007960   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,4.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD,8,56,4.0,64.0,20.0,0.0,0.0,"BJELICA, MILKO","DAVIDOVAC, DEJAN","LESSORT, MATHIAS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DONCIC, LUKA","TAVARES, WALTER","CAUSEUR, FABIEN","RANDOLPH, ANTHONY","TAYLOR, JEFFERY"
RED,26.0,08:52,2,10,"LESSORT, MATHIAS",P003842   ,Off Rebound (1),O,0.0,4.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD,8,52,8.0,68.0,4.0,0.0,0.0,"BJELICA, MILKO","DAVIDOVAC, DEJAN","LESSORT, MATHIAS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DONCIC, LUKA","TAVARES, WALTER","CAUSEUR, FABIEN","RANDOLPH, ANTHONY","TAYLOR, JEFFERY"
RED,22.0,08:45,2,11,"ROCHESTIE, TAYLOR",P002972   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,4.0,Crvena Zvezda mts Belgrade,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD,8,45,15.0,75.0,7.0,0.0,0.0,"BJELICA, MILKO","DAVIDOVAC, DEJAN","LESSORT, MATHIAS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DONCIC, LUKA","TAVARES, WALTER","CAUSEUR, FABIEN","RANDOLPH, ANTHONY","TAYLOR, JEFFERY"
MAD,22.0,08:44,2,12,"TAVARES, WALTER",P005791   ,Def Rebound (2),D,0.0,4.0,Real Madrid,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD,8,44,16.0,76.0,1.0,0.0,0.0,"BJELICA, MILKO","DAVIDOVAC, DEJAN","LESSORT, MATHIAS","ROCHESTIE, TAYLOR","LAZIC, BRANKO","DONCIC, LUKA","TAVARES, WALTER","CAUSEUR, FABIEN","RANDOLPH, ANTHONY","TAYLOR, JEFFERY"
