,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,FC Barcelona Lassa,BAR,Zalgiris Kaunas,ZAL,0,0,0.0,0.0,"HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN","DAVIES, BRANDON","MILAKNIS, ARTURAS","PANGOS, KEVIN","MICIC, VASILIJE","JANKUNAS, PAULIUS"
1,ZAL,0.0,09:59,1,3,"DAVIES, BRANDON",P007870   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Zalgiris Kaunas,FC Barcelona Lassa,BAR,Zalgiris Kaunas,ZAL,9,59,0.0,0.0,"HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN","DAVIES, BRANDON","MILAKNIS, ARTURAS","PANGOS, KEVIN","MICIC, VASILIJE","JANKUNAS, PAULIUS"
2,ZAL,0.0,09:59,1,4,"DAVIES, BRANDON",P007870   ,Shot Rejected (1),AG,0.0,0.0,Zalgiris Kaunas,FC Barcelona Lassa,BAR,Zalgiris Kaunas,ZAL,9,59,0.0,0.0,"HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN","DAVIES, BRANDON","MILAKNIS, ARTURAS","PANGOS, KEVIN","MICIC, VASILIJE","JANKUNAS, PAULIUS"
3,BAR,9.0,09:59,1,5,"HANGA, ADAM",P005099   ,Block (1),FV,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Zalgiris Kaunas,ZAL,9,59,0.0,0.0,"HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN","DAVIES, BRANDON","MILAKNIS, ARTURAS","PANGOS, KEVIN","MICIC, VASILIJE","JANKUNAS, PAULIUS"
4,BAR,1.0,09:59,1,6,"SERAPHIN, KEVIN",P001948   ,Def Rebound (1),D,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Zalgiris Kaunas,ZAL,9,59,0.0,0.0,"HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN","DAVIES, BRANDON","MILAKNIS, ARTURAS","PANGOS, KEVIN","MICIC, VASILIJE","JANKUNAS, PAULIUS"
5,BAR,9.0,09:59,1,7,"HANGA, ADAM",P005099   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Zalgiris Kaunas,ZAL,9,59,0.0,0.0,"HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN","DAVIES, BRANDON","MILAKNIS, ARTURAS","PANGOS, KEVIN","MICIC, VASILIJE","JANKUNAS, PAULIUS"
6,ZAL,21.0,09:59,1,8,"MILAKNIS, ARTURAS",PKPD      ,Def Rebound (1),D,0.0,0.0,Zalgiris Kaunas,FC Barcelona Lassa,BAR,Zalgiris Kaunas,ZAL,9,59,0.0,0.0,"HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN","DAVIES, BRANDON","MILAKNIS, ARTURAS","PANGOS, KEVIN","MICIC, VASILIJE","JANKUNAS, PAULIUS"
7,ZAL,0.0,09:13,1,9,"DAVIES, BRANDON",P007870   ,Two Pointer (1/2 -  2 pt),2FGM,0.0,2.0,Zalgiris Kaunas,FC Barcelona Lassa,BAR,Zalgiris Kaunas,ZAL,9,13,0.0,2.0,"HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN","DAVIES, BRANDON","MILAKNIS, ARTURAS","PANGOS, KEVIN","MICIC, VASILIJE","JANKUNAS, PAULIUS"
8,BAR,25.0,08:56,2,11,"KOPONEN, PETTERI",P004178   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Zalgiris Kaunas,ZAL,8,56,2.0,0.0,"HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN","DAVIES, BRANDON","MILAKNIS, ARTURAS","PANGOS, KEVIN","MICIC, VASILIJE","JANKUNAS, PAULIUS"
9,BAR,25.0,08:56,2,12,"KOPONEN, PETTERI",P004178   ,Foul Drawn (1),RV,2.0,2.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Zalgiris Kaunas,ZAL,8,56,0.0,0.0,"HANGA, ADAM","SERAPHIN, KEVIN","KOPONEN, PETTERI","HEURTEL, THOMAS","MOERMAN, ADRIEN","DAVIES, BRANDON","MILAKNIS, ARTURAS","PANGOS, KEVIN","MICIC, VASILIJE","JANKUNAS, PAULIUS"
