CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,13,,          ,Begin Period,BP,0.0,0.0,,Real Madrid,MAD,AX Armani Exchange Olimpia Milan,MIL,0,0,,,0.0,0.0,0.0,"CAMPAZZO, FACUNDO","DONCIC, LUKA","AYON, GUSTAVO","TAYLOR, JEFFERY","RADONCIC, DINO","GOUDELOCK, ANDREW","TARCZEWSKI, KALEB","THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,0.0,09:36,1,14,"GOUDELOCK, ANDREW",P004903   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,AX Armani Exchange Olimpia Milan,Real Madrid,MAD,AX Armani Exchange Olimpia Milan,MIL,9,36,24.0,24.0,0.0,0.0,0.0,"CAMPAZZO, FACUNDO","DONCIC, LUKA","AYON, GUSTAVO","TAYLOR, JEFFERY","RADONCIC, DINO","GOUDELOCK, ANDREW","TARCZEWSKI, KALEB","THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,15.0,09:36,1,15,"TARCZEWSKI, KALEB",P008004   ,Off Rebound (1),O,0.0,0.0,AX Armani Exchange Olimpia Milan,Real Madrid,MAD,AX Armani Exchange Olimpia Milan,MIL,9,36,24.0,24.0,0.0,0.0,0.0,"CAMPAZZO, FACUNDO","DONCIC, LUKA","AYON, GUSTAVO","TAYLOR, JEFFERY","RADONCIC, DINO","GOUDELOCK, ANDREW","TARCZEWSKI, KALEB","THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,15.0,09:36,1,16,"TARCZEWSKI, KALEB",P008004   ,Foul Drawn (1),RV,0.0,0.0,AX Armani Exchange Olimpia Milan,Real Madrid,MAD,AX Armani Exchange Olimpia Milan,MIL,9,36,24.0,24.0,0.0,0.0,0.0,"CAMPAZZO, FACUNDO","DONCIC, LUKA","AYON, GUSTAVO","TAYLOR, JEFFERY","RADONCIC, DINO","GOUDELOCK, ANDREW","TARCZEWSKI, KALEB","THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH"
MAD,11.0,09:36,1,17,"CAMPAZZO, FACUNDO",P005928   ,Foul (1),CM,0.0,0.0,Real Madrid,Real Madrid,MAD,AX Armani Exchange Olimpia Milan,MIL,9,36,24.0,24.0,0.0,0.0,0.0,"CAMPAZZO, FACUNDO","DONCIC, LUKA","AYON, GUSTAVO","TAYLOR, JEFFERY","RADONCIC, DINO","GOUDELOCK, ANDREW","TARCZEWSKI, KALEB","THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,15.0,09:36,1,18,"TARCZEWSKI, KALEB",P008004   ,Free Throw In (1/1 -  1 pt),FTM,0.0,1.0,AX Armani Exchange Olimpia Milan,Real Madrid,MAD,AX Armani Exchange Olimpia Milan,MIL,9,36,24.0,24.0,0.0,0.0,1.0,"CAMPAZZO, FACUNDO","DONCIC, LUKA","AYON, GUSTAVO","TAYLOR, JEFFERY","RADONCIC, DINO","GOUDELOCK, ANDREW","TARCZEWSKI, KALEB","THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,15.0,09:36,1,19,"TARCZEWSKI, KALEB",P008004   ,Free Throw In (2/2 -  2 pt),FTM,0.0,2.0,AX Armani Exchange Olimpia Milan,Real Madrid,MAD,AX Armani Exchange Olimpia Milan,MIL,9,36,24.0,24.0,0.0,0.0,1.0,"CAMPAZZO, FACUNDO","DONCIC, LUKA","AYON, GUSTAVO","TAYLOR, JEFFERY","RADONCIC, DINO","GOUDELOCK, ANDREW","TARCZEWSKI, KALEB","THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH"
MAD,11.0,09:17,1,20,"CAMPAZZO, FACUNDO",P005928   ,Turnover (1),TO,0.0,2.0,Real Madrid,Real Madrid,MAD,AX Armani Exchange Olimpia Milan,MIL,9,17,43.0,43.0,19.0,0.0,0.0,"CAMPAZZO, FACUNDO","DONCIC, LUKA","AYON, GUSTAVO","TAYLOR, JEFFERY","RADONCIC, DINO","GOUDELOCK, ANDREW","TARCZEWSKI, KALEB","THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,25.0,09:15,1,21,"THEODORE, JORDAN",P007946   ,Steal (1),ST,0.0,2.0,AX Armani Exchange Olimpia Milan,Real Madrid,MAD,AX Armani Exchange Olimpia Milan,MIL,9,15,45.0,45.0,2.0,0.0,0.0,"CAMPAZZO, FACUNDO","DONCIC, LUKA","AYON, GUSTAVO","TAYLOR, JEFFERY","RADONCIC, DINO","GOUDELOCK, ANDREW","TARCZEWSKI, KALEB","THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,5.0,09:05,1,22,"MICOV, VLADIMIR",P000529   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,4.0,AX Armani Exchange Olimpia Milan,Real Madrid,MAD,AX Armani Exchange Olimpia Milan,MIL,9,5,55.0,55.0,10.0,0.0,2.0,"CAMPAZZO, FACUNDO","DONCIC, LUKA","AYON, GUSTAVO","TAYLOR, JEFFERY","RADONCIC, DINO","GOUDELOCK, ANDREW","TARCZEWSKI, KALEB","THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH"
