,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY,0,0,0.0,0.0,"PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","KANE, DEANDRE","BOLDEN, JONAH","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
1,TEL,45.0,09:29,1,3,"PARAKHOUSKI, ARTSIOM",P003034   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY,9,29,0.0,0.0,"PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","KANE, DEANDRE","BOLDEN, JONAH","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
2,OLY,16.0,09:26,1,4,"PAPANIKOLAOU, KOSTAS",P001255   ,Def Rebound (1),D,0.0,0.0,Olympiacos Piraeus,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY,9,26,0.0,0.0,"PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","KANE, DEANDRE","BOLDEN, JONAH","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
3,OLY,22.0,09:19,1,5,"ROBERTS, BRIAN",P002091   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Olympiacos Piraeus,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY,9,19,0.0,0.0,"PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","KANE, DEANDRE","BOLDEN, JONAH","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
4,OLY,,09:19,1,6,,          ,Off Rebound (1),O,0.0,0.0,Olympiacos Piraeus,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY,9,19,0.0,0.0,"PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","KANE, DEANDRE","BOLDEN, JONAH","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
5,OLY,15.0,09:08,1,7,"PRINTEZIS, GEORGIOS",PAMM      ,Three Pointer (1/1 -  3 pt),3FGM,0.0,3.0,Olympiacos Piraeus,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY,9,8,0.0,3.0,"PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","KANE, DEANDRE","BOLDEN, JONAH","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
6,OLY,22.0,09:05,1,8,"ROBERTS, BRIAN",P002091   ,Assist (1),AS,0.0,3.0,Olympiacos Piraeus,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY,9,5,0.0,0.0,"PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","KANE, DEANDRE","BOLDEN, JONAH","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
7,TEL,55.0,08:55,2,10,"JACKSON, PIERRE",P005112   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY,8,55,2.0,0.0,"PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","KANE, DEANDRE","BOLDEN, JONAH","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
8,OLY,11.0,08:37,2,11,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,5.0,Olympiacos Piraeus,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY,8,37,0.0,2.0,"PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","KANE, DEANDRE","BOLDEN, JONAH","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
9,OLY,34.0,08:35,2,12,"THOMPSON, HOLLIS",P008014   ,Assist (1),AS,2.0,5.0,Olympiacos Piraeus,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY,8,35,0.0,0.0,"PARAKHOUSKI, ARTSIOM","JACKSON, PIERRE","ROLL, MICHAEL","KANE, DEANDRE","BOLDEN, JONAH","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
