CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,13,,          ,Begin Period,BP,0.0,0.0,,Fenerbahce Dogus Istanbul,ULK,Anadolu Efes Istanbul,IST,0,0,,,0.0,0.0,0.0,"NUNNALLY, JAMES","VESELY, JAN","MELLI, NICOLO","MAHMUTOGLU, MELIH","WANAMAKER, BRAD","DOELLMAN, JUSTIN","DUNSTON, BRYANT","BALBAY, DOGUS","SIMON, KRUNOSLAV","MCCOLLUM, ERRICK"
IST,2.0,09:36,1,14,"DOELLMAN, JUSTIN",P001832   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Anadolu Efes Istanbul,Fenerbahce Dogus Istanbul,ULK,Anadolu Efes Istanbul,IST,9,36,24.0,24.0,0.0,0.0,0.0,"NUNNALLY, JAMES","VESELY, JAN","MELLI, NICOLO","MAHMUTOGLU, MELIH","WANAMAKER, BRAD","DOELLMAN, JUSTIN","DUNSTON, BRYANT","BALBAY, DOGUS","SIMON, KRUNOSLAV","MCCOLLUM, ERRICK"
ULK,21.0,09:33,1,15,"NUNNALLY, JAMES",P007400   ,Def Rebound (1),D,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Anadolu Efes Istanbul,IST,9,33,27.0,27.0,3.0,0.0,0.0,"NUNNALLY, JAMES","VESELY, JAN","MELLI, NICOLO","MAHMUTOGLU, MELIH","WANAMAKER, BRAD","DOELLMAN, JUSTIN","DUNSTON, BRYANT","BALBAY, DOGUS","SIMON, KRUNOSLAV","MCCOLLUM, ERRICK"
ULK,24.0,09:13,1,16,"VESELY, JAN",P000925   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Anadolu Efes Istanbul,IST,9,13,47.0,47.0,20.0,0.0,0.0,"NUNNALLY, JAMES","VESELY, JAN","MELLI, NICOLO","MAHMUTOGLU, MELIH","WANAMAKER, BRAD","DOELLMAN, JUSTIN","DUNSTON, BRYANT","BALBAY, DOGUS","SIMON, KRUNOSLAV","MCCOLLUM, ERRICK"
IST,42.0,09:11,1,17,"DUNSTON, BRYANT",P003048   ,Def Rebound (1),D,0.0,0.0,Anadolu Efes Istanbul,Fenerbahce Dogus Istanbul,ULK,Anadolu Efes Istanbul,IST,9,11,49.0,49.0,2.0,0.0,0.0,"NUNNALLY, JAMES","VESELY, JAN","MELLI, NICOLO","MAHMUTOGLU, MELIH","WANAMAKER, BRAD","DOELLMAN, JUSTIN","DUNSTON, BRYANT","BALBAY, DOGUS","SIMON, KRUNOSLAV","MCCOLLUM, ERRICK"
IST,4.0,08:53,2,19,"BALBAY, DOGUS",P003521   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Anadolu Efes Istanbul,Fenerbahce Dogus Istanbul,ULK,Anadolu Efes Istanbul,IST,8,53,7.0,67.0,18.0,0.0,0.0,"NUNNALLY, JAMES","VESELY, JAN","MELLI, NICOLO","MAHMUTOGLU, MELIH","WANAMAKER, BRAD","DOELLMAN, JUSTIN","DUNSTON, BRYANT","BALBAY, DOGUS","SIMON, KRUNOSLAV","MCCOLLUM, ERRICK"
ULK,4.0,08:51,2,20,"MELLI, NICOLO",P002849   ,Def Rebound (1),D,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Anadolu Efes Istanbul,IST,8,51,9.0,69.0,2.0,0.0,0.0,"NUNNALLY, JAMES","VESELY, JAN","MELLI, NICOLO","MAHMUTOGLU, MELIH","WANAMAKER, BRAD","DOELLMAN, JUSTIN","DUNSTON, BRYANT","BALBAY, DOGUS","SIMON, KRUNOSLAV","MCCOLLUM, ERRICK"
ULK,10.0,08:32,2,21,"MAHMUTOGLU, MELIH",P002969   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Anadolu Efes Istanbul,IST,8,32,28.0,88.0,19.0,0.0,0.0,"NUNNALLY, JAMES","VESELY, JAN","MELLI, NICOLO","MAHMUTOGLU, MELIH","WANAMAKER, BRAD","DOELLMAN, JUSTIN","DUNSTON, BRYANT","BALBAY, DOGUS","SIMON, KRUNOSLAV","MCCOLLUM, ERRICK"
ULK,4.0,08:28,2,22,"MELLI, NICOLO",P002849   ,Off Rebound (1),O,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Anadolu Efes Istanbul,IST,8,28,32.0,92.0,4.0,0.0,0.0,"NUNNALLY, JAMES","VESELY, JAN","MELLI, NICOLO","MAHMUTOGLU, MELIH","WANAMAKER, BRAD","DOELLMAN, JUSTIN","DUNSTON, BRYANT","BALBAY, DOGUS","SIMON, KRUNOSLAV","MCCOLLUM, ERRICK"
ULK,4.0,08:28,2,23,"MELLI, NICOLO",P002849   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Anadolu Efes Istanbul,IST,8,28,32.0,92.0,0.0,2.0,0.0,"NUNNALLY, JAMES","VESELY, JAN","MELLI, NICOLO","MAHMUTOGLU, MELIH","WANAMAKER, BRAD","DOELLMAN, JUSTIN","DUNSTON, BRYANT","BALBAY, DOGUS","SIMON, KRUNOSLAV","MCCOLLUM, ERRICK"
