CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,13,,          ,Begin Period,BP,0.0,0.0,,Real Madrid,MAD,Brose Bamberg,BAM,0,0,,,,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
BAM,42.0,09:43,1,14,"MUSLI, DEJAN",PLUR      ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Brose Bamberg,Real Madrid,MAD,Brose Bamberg,BAM,9,43,17.0,17.0,,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
MAD,14.0,09:43,1,15,"AYON, GUSTAVO",P005927   ,Def Rebound (1),D,0.0,0.0,Real Madrid,Real Madrid,MAD,Brose Bamberg,BAM,9,43,17.0,17.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
MAD,7.0,09:43,1,16,"DONCIC, LUKA",P005929   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Real Madrid,Real Madrid,MAD,Brose Bamberg,BAM,9,43,17.0,17.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
BAM,42.0,09:43,1,17,"MUSLI, DEJAN",PLUR      ,Def Rebound (1),D,0.0,0.0,Brose Bamberg,Real Madrid,MAD,Brose Bamberg,BAM,9,43,17.0,17.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
BAM,3.0,09:43,1,18,"WRIGHT, DORELL",P008049   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Brose Bamberg,Real Madrid,MAD,Brose Bamberg,BAM,9,43,17.0,17.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
MAD,14.0,09:43,1,19,"AYON, GUSTAVO",P005927   ,Def Rebound (2),D,0.0,0.0,Real Madrid,Real Madrid,MAD,Brose Bamberg,BAM,9,43,17.0,17.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
MAD,3.0,09:43,1,20,"RANDOLPH, ANTHONY",P005757   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,0.0,Real Madrid,Real Madrid,MAD,Brose Bamberg,BAM,9,43,17.0,17.0,0.0,3.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
BAM,12.0,08:45,2,22,"LO, MAODO",P007032   ,Turnover (1),TO,3.0,0.0,Brose Bamberg,Real Madrid,MAD,Brose Bamberg,BAM,8,45,15.0,75.0,58.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
MAD,3.0,08:42,2,23,"RANDOLPH, ANTHONY",P005757   ,Steal (1),ST,3.0,0.0,Real Madrid,Real Madrid,MAD,Brose Bamberg,BAM,8,42,18.0,78.0,3.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
MAD,3.0,08:37,2,24,"RANDOLPH, ANTHONY",P005757   ,Two Pointer (1/1 -  5 pt),2FGM,5.0,0.0,Real Madrid,Real Madrid,MAD,Brose Bamberg,BAM,8,37,23.0,83.0,5.0,2.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
BAM,6.0,08:20,2,25,"ZISIS, NIKOS",PABN      ,Missed Two Pointer (0/1 -  0 pt),2FGA,5.0,0.0,Brose Bamberg,Real Madrid,MAD,Brose Bamberg,BAM,8,20,40.0,100.0,17.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
BAM,42.0,08:18,2,26,"MUSLI, DEJAN",PLUR      ,Off Rebound (1),O,5.0,0.0,Brose Bamberg,Real Madrid,MAD,Brose Bamberg,BAM,8,18,42.0,102.0,2.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
BAM,42.0,08:18,2,27,"MUSLI, DEJAN",PLUR      ,Missed Two Pointer (0/2 -  0 pt),2FGA,5.0,0.0,Brose Bamberg,Real Madrid,MAD,Brose Bamberg,BAM,8,18,42.0,102.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
BAM,42.0,08:18,2,28,"MUSLI, DEJAN",PLUR      ,Shot Rejected (1),AG,5.0,0.0,Brose Bamberg,Real Madrid,MAD,Brose Bamberg,BAM,8,18,42.0,102.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
MAD,14.0,08:18,2,29,"AYON, GUSTAVO",P005927   ,Block (1),FV,5.0,0.0,Real Madrid,Real Madrid,MAD,Brose Bamberg,BAM,8,18,42.0,102.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
MAD,1.0,08:18,2,30,"CAUSEUR, FABIEN",P001392   ,Def Rebound (1),D,5.0,0.0,Real Madrid,Real Madrid,MAD,Brose Bamberg,BAM,8,18,42.0,102.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
MAD,1.0,08:18,2,31,"CAUSEUR, FABIEN",P001392   ,Foul Drawn (1),RV,5.0,0.0,Real Madrid,Real Madrid,MAD,Brose Bamberg,BAM,8,18,42.0,102.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
BAM,12.0,08:18,2,32,"LO, MAODO",P007032   ,Foul (1),CM,5.0,0.0,Brose Bamberg,Real Madrid,MAD,Brose Bamberg,BAM,8,18,42.0,102.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
MAD,3.0,08:18,2,34,"RANDOLPH, ANTHONY",P005757   ,Turnover (1),TO,5.0,0.0,Real Madrid,Real Madrid,MAD,Brose Bamberg,BAM,8,18,42.0,102.0,0.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
BAM,12.0,07:58,3,36,"LO, MAODO",P007032   ,Turnover (2),TO,5.0,0.0,Brose Bamberg,Real Madrid,MAD,Brose Bamberg,BAM,7,58,2.0,122.0,20.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
MAD,3.0,07:56,3,37,"RANDOLPH, ANTHONY",P005757   ,Steal (2),ST,5.0,0.0,Real Madrid,Real Madrid,MAD,Brose Bamberg,BAM,7,56,4.0,124.0,2.0,0.0,0.0,"AYON, GUSTAVO","DONCIC, LUKA","RANDOLPH, ANTHONY","CAUSEUR, FABIEN","TAYLOR, JEFFERY","MUSLI, DEJAN","WRIGHT, DORELL","LO, MAODO","ZISIS, NIKOS","MITROVIC, LUKA"
