CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,10,,          ,Begin Period,BP,0.0,0.0,,Valencia Basket,PAM,Maccabi FOX Tel Aviv,TEL,0,0,,,,0.0,0.0,"VAN ROSSOM, SAM","DUBLJEVIC, BOJAN","THOMAS, WILL","MARTINEZ, RAFA","SASTRE, JOAN","PARAKHOUSKI, ARTSIOM","ROLL, MICHAEL","COLE, NORRIS","ZOOSMAN, YOVEL","BOLDEN, JONAH"
TEL,45.0,09:36,1,11,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Maccabi FOX Tel Aviv,Valencia Basket,PAM,Maccabi FOX Tel Aviv,TEL,9,36,24.0,24.0,,0.0,2.0,"VAN ROSSOM, SAM","DUBLJEVIC, BOJAN","THOMAS, WILL","MARTINEZ, RAFA","SASTRE, JOAN","PARAKHOUSKI, ARTSIOM","ROLL, MICHAEL","COLE, NORRIS","ZOOSMAN, YOVEL","BOLDEN, JONAH"
TEL,5.0,09:34,1,12,"ROLL, MICHAEL",P004974   ,Assist (1),AS,0.0,2.0,Maccabi FOX Tel Aviv,Valencia Basket,PAM,Maccabi FOX Tel Aviv,TEL,9,34,26.0,26.0,2.0,0.0,0.0,"VAN ROSSOM, SAM","DUBLJEVIC, BOJAN","THOMAS, WILL","MARTINEZ, RAFA","SASTRE, JOAN","PARAKHOUSKI, ARTSIOM","ROLL, MICHAEL","COLE, NORRIS","ZOOSMAN, YOVEL","BOLDEN, JONAH"
PAM,9.0,09:19,1,13,"VAN ROSSOM, SAM",PLRQ      ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,2.0,Valencia Basket,Valencia Basket,PAM,Maccabi FOX Tel Aviv,TEL,9,19,41.0,41.0,15.0,0.0,0.0,"VAN ROSSOM, SAM","DUBLJEVIC, BOJAN","THOMAS, WILL","MARTINEZ, RAFA","SASTRE, JOAN","PARAKHOUSKI, ARTSIOM","ROLL, MICHAEL","COLE, NORRIS","ZOOSMAN, YOVEL","BOLDEN, JONAH"
TEL,5.0,09:17,1,14,"ROLL, MICHAEL",P004974   ,Def Rebound (1),D,0.0,2.0,Maccabi FOX Tel Aviv,Valencia Basket,PAM,Maccabi FOX Tel Aviv,TEL,9,17,43.0,43.0,2.0,0.0,0.0,"VAN ROSSOM, SAM","DUBLJEVIC, BOJAN","THOMAS, WILL","MARTINEZ, RAFA","SASTRE, JOAN","PARAKHOUSKI, ARTSIOM","ROLL, MICHAEL","COLE, NORRIS","ZOOSMAN, YOVEL","BOLDEN, JONAH"
TEL,30.0,09:10,1,15,"COLE, NORRIS",P007989   ,Turnover (1),TO,0.0,2.0,Maccabi FOX Tel Aviv,Valencia Basket,PAM,Maccabi FOX Tel Aviv,TEL,9,10,50.0,50.0,7.0,0.0,0.0,"VAN ROSSOM, SAM","DUBLJEVIC, BOJAN","THOMAS, WILL","MARTINEZ, RAFA","SASTRE, JOAN","PARAKHOUSKI, ARTSIOM","ROLL, MICHAEL","COLE, NORRIS","ZOOSMAN, YOVEL","BOLDEN, JONAH"
PAM,14.0,09:03,1,16,"DUBLJEVIC, BOJAN",P002742   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Valencia Basket,Valencia Basket,PAM,Maccabi FOX Tel Aviv,TEL,9,3,57.0,57.0,7.0,2.0,0.0,"VAN ROSSOM, SAM","DUBLJEVIC, BOJAN","THOMAS, WILL","MARTINEZ, RAFA","SASTRE, JOAN","PARAKHOUSKI, ARTSIOM","ROLL, MICHAEL","COLE, NORRIS","ZOOSMAN, YOVEL","BOLDEN, JONAH"
TEL,5.0,08:37,2,18,"ROLL, MICHAEL",P004974   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Maccabi FOX Tel Aviv,Valencia Basket,PAM,Maccabi FOX Tel Aviv,TEL,8,37,23.0,83.0,26.0,0.0,2.0,"VAN ROSSOM, SAM","DUBLJEVIC, BOJAN","THOMAS, WILL","MARTINEZ, RAFA","SASTRE, JOAN","PARAKHOUSKI, ARTSIOM","ROLL, MICHAEL","COLE, NORRIS","ZOOSMAN, YOVEL","BOLDEN, JONAH"
PAM,14.0,08:28,2,19,"DUBLJEVIC, BOJAN",P002742   ,Three Pointer (1/1 -  5 pt),3FGM,5.0,4.0,Valencia Basket,Valencia Basket,PAM,Maccabi FOX Tel Aviv,TEL,8,28,32.0,92.0,9.0,3.0,0.0,"VAN ROSSOM, SAM","DUBLJEVIC, BOJAN","THOMAS, WILL","MARTINEZ, RAFA","SASTRE, JOAN","PARAKHOUSKI, ARTSIOM","ROLL, MICHAEL","COLE, NORRIS","ZOOSMAN, YOVEL","BOLDEN, JONAH"
PAM,9.0,08:26,2,20,"VAN ROSSOM, SAM",PLRQ      ,Assist (1),AS,5.0,4.0,Valencia Basket,Valencia Basket,PAM,Maccabi FOX Tel Aviv,TEL,8,26,34.0,94.0,2.0,0.0,0.0,"VAN ROSSOM, SAM","DUBLJEVIC, BOJAN","THOMAS, WILL","MARTINEZ, RAFA","SASTRE, JOAN","PARAKHOUSKI, ARTSIOM","ROLL, MICHAEL","COLE, NORRIS","ZOOSMAN, YOVEL","BOLDEN, JONAH"
