CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,0,0,,,,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
ULK,11.0,09:44,1,3,"WANAMAKER, BRAD",P005838   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,9,44,16.0,16.0,,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
MAL,3.0,09:44,1,4,"MCCALLUM, RAY",P008002   ,Def Rebound (1),D,0.0,0.0,Unicaja Malaga,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,9,44,16.0,16.0,0.0,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
MAL,23.0,09:06,1,5,"BROOKS, JEFF",P004117   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Unicaja Malaga,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,9,6,54.0,54.0,38.0,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
ULK,23.0,09:04,1,6,"GUDURIC, MARKO",P004004   ,Def Rebound (1),D,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,9,4,56.0,56.0,2.0,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
ULK,23.0,08:43,2,8,"GUDURIC, MARKO",P004004   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,8,43,17.0,77.0,21.0,2.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
MAL,12.0,08:18,2,9,"MILOSAVLJEVIC, DRAGAN",P002822   ,Turnover (1),TO,2.0,0.0,Unicaja Malaga,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,8,18,42.0,102.0,25.0,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
ULK,23.0,08:16,2,10,"GUDURIC, MARKO",P004004   ,Steal (1),ST,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,8,16,44.0,104.0,2.0,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
ULK,23.0,08:16,2,11,"GUDURIC, MARKO",P004004   ,Missed Two Pointer (1/2 -  2 pt),2FGA,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,8,16,44.0,104.0,0.0,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
ULK,,08:13,2,12,,          ,Off Rebound (1),O,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,8,13,47.0,107.0,3.0,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
ULK,11.0,08:07,2,13,"WANAMAKER, BRAD",P005838   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,8,7,53.0,113.0,6.0,2.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
MAL,2.0,07:45,3,15,"OKOUO, VINY",P005363   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,2.0,Unicaja Malaga,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,7,45,15.0,135.0,22.0,0.0,2.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
MAL,23.0,07:43,3,16,"BROOKS, JEFF",P004117   ,Assist (1),AS,4.0,2.0,Unicaja Malaga,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,7,43,17.0,137.0,2.0,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
ULK,44.0,07:29,3,17,"DUVERIOGLU, AHMET",P006399   ,Turnover (1),TO,4.0,2.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,7,29,31.0,151.0,14.0,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
MAL,12.0,07:12,3,18,"MILOSAVLJEVIC, DRAGAN",P002822   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,4.0,Unicaja Malaga,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,7,12,48.0,168.0,17.0,0.0,2.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
ULK,4.0,06:57,4,20,"MELLI, NICOLO",P002849   ,Missed Two Pointer (0/1 -  0 pt),2FGA,4.0,4.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,6,57,3.0,183.0,15.0,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
MAL,23.0,06:55,4,21,"BROOKS, JEFF",P004117   ,Def Rebound (1),D,4.0,4.0,Unicaja Malaga,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,6,55,5.0,185.0,2.0,0.0,0.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
MAL,10.0,06:48,4,22,"SALIN, SASU",P002820   ,Three Pointer (1/1 -  3 pt),3FGM,4.0,7.0,Unicaja Malaga,Fenerbahce Dogus Istanbul,ULK,Unicaja Malaga,MAL,6,48,12.0,192.0,7.0,0.0,3.0,"WANAMAKER, BRAD","GUDURIC, MARKO","DUVERIOGLU, AHMET","MELLI, NICOLO","NUNNALLY, JAMES","MCCALLUM, RAY","BROOKS, JEFF","MILOSAVLJEVIC, DRAGAN","OKOUO, VINY","SALIN, SASU"
