CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,AX Armani Exchange Olimpia Milan,MIL,FC Barcelona Lassa,BAR,0,0,,,,0.0,0.0,"THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH","BERTANS, DAIRIS","TARCZEWSKI, KALEB","RIBAS, PAU","HANGA, ADAM","VEZENKOV, SASHA","HEURTEL, THOMAS","SERAPHIN, KEVIN"
BAR,5.0,09:55,1,3,"RIBAS, PAU",PJUG      ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,FC Barcelona Lassa,AX Armani Exchange Olimpia Milan,MIL,FC Barcelona Lassa,BAR,9,55,5.0,5.0,,0.0,2.0,"THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH","BERTANS, DAIRIS","TARCZEWSKI, KALEB","RIBAS, PAU","HANGA, ADAM","VEZENKOV, SASHA","HEURTEL, THOMAS","SERAPHIN, KEVIN"
BAR,9.0,09:52,1,4,"HANGA, ADAM",P005099   ,Assist (1),AS,0.0,2.0,FC Barcelona Lassa,AX Armani Exchange Olimpia Milan,MIL,FC Barcelona Lassa,BAR,9,52,8.0,8.0,3.0,0.0,0.0,"THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH","BERTANS, DAIRIS","TARCZEWSKI, KALEB","RIBAS, PAU","HANGA, ADAM","VEZENKOV, SASHA","HEURTEL, THOMAS","SERAPHIN, KEVIN"
MIL,25.0,09:46,1,5,"THEODORE, JORDAN",P007946   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,2.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,FC Barcelona Lassa,BAR,9,46,14.0,14.0,6.0,0.0,0.0,"THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH","BERTANS, DAIRIS","TARCZEWSKI, KALEB","RIBAS, PAU","HANGA, ADAM","VEZENKOV, SASHA","HEURTEL, THOMAS","SERAPHIN, KEVIN"
BAR,14.0,09:42,1,6,"VEZENKOV, SASHA",P003469   ,Def Rebound (1),D,0.0,2.0,FC Barcelona Lassa,AX Armani Exchange Olimpia Milan,MIL,FC Barcelona Lassa,BAR,9,42,18.0,18.0,4.0,0.0,0.0,"THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH","BERTANS, DAIRIS","TARCZEWSKI, KALEB","RIBAS, PAU","HANGA, ADAM","VEZENKOV, SASHA","HEURTEL, THOMAS","SERAPHIN, KEVIN"
BAR,9.0,09:32,1,7,"HANGA, ADAM",P005099   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,2.0,FC Barcelona Lassa,AX Armani Exchange Olimpia Milan,MIL,FC Barcelona Lassa,BAR,9,32,28.0,28.0,10.0,0.0,0.0,"THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH","BERTANS, DAIRIS","TARCZEWSKI, KALEB","RIBAS, PAU","HANGA, ADAM","VEZENKOV, SASHA","HEURTEL, THOMAS","SERAPHIN, KEVIN"
MIL,5.0,09:28,1,8,"MICOV, VLADIMIR",P000529   ,Def Rebound (1),D,0.0,2.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,FC Barcelona Lassa,BAR,9,28,32.0,32.0,4.0,0.0,0.0,"THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH","BERTANS, DAIRIS","TARCZEWSKI, KALEB","RIBAS, PAU","HANGA, ADAM","VEZENKOV, SASHA","HEURTEL, THOMAS","SERAPHIN, KEVIN"
MIL,24.0,09:23,1,9,"M'BAYE, AMATH",P007993   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,FC Barcelona Lassa,BAR,9,23,37.0,37.0,5.0,3.0,0.0,"THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH","BERTANS, DAIRIS","TARCZEWSKI, KALEB","RIBAS, PAU","HANGA, ADAM","VEZENKOV, SASHA","HEURTEL, THOMAS","SERAPHIN, KEVIN"
MIL,25.0,09:20,1,10,"THEODORE, JORDAN",P007946   ,Assist (1),AS,3.0,2.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,FC Barcelona Lassa,BAR,9,20,40.0,40.0,3.0,0.0,0.0,"THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH","BERTANS, DAIRIS","TARCZEWSKI, KALEB","RIBAS, PAU","HANGA, ADAM","VEZENKOV, SASHA","HEURTEL, THOMAS","SERAPHIN, KEVIN"
BAR,13.0,09:05,1,11,"HEURTEL, THOMAS",PKLT      ,Two Pointer (1/1 -  2 pt),2FGM,3.0,4.0,FC Barcelona Lassa,AX Armani Exchange Olimpia Milan,MIL,FC Barcelona Lassa,BAR,9,5,55.0,55.0,15.0,0.0,2.0,"THEODORE, JORDAN","MICOV, VLADIMIR","M'BAYE, AMATH","BERTANS, DAIRIS","TARCZEWSKI, KALEB","RIBAS, PAU","HANGA, ADAM","VEZENKOV, SASHA","HEURTEL, THOMAS","SERAPHIN, KEVIN"
