CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,CSKA Moscow,CSK,Zalgiris Kaunas,ZAL,0,0,,,,0.0,0.0,"HINES, KYLE","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","HIGGINS, CORY","ANTONOV, SEMEN","JANKUNAS, PAULIUS","DAVIES, BRANDON","ULANOVAS, EDGARAS","MICIC, VASILIJE","PANGOS, KEVIN"
ZAL,13.0,09:40,1,3,"JANKUNAS, PAULIUS",PBWI      ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Zalgiris Kaunas,CSKA Moscow,CSK,Zalgiris Kaunas,ZAL,9,40,20.0,20.0,,0.0,0.0,"HINES, KYLE","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","HIGGINS, CORY","ANTONOV, SEMEN","JANKUNAS, PAULIUS","DAVIES, BRANDON","ULANOVAS, EDGARAS","MICIC, VASILIJE","PANGOS, KEVIN"
ZAL,0.0,09:38,1,4,"DAVIES, BRANDON",P007870   ,Off Rebound (1),O,0.0,0.0,Zalgiris Kaunas,CSKA Moscow,CSK,Zalgiris Kaunas,ZAL,9,38,22.0,22.0,2.0,0.0,0.0,"HINES, KYLE","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","HIGGINS, CORY","ANTONOV, SEMEN","JANKUNAS, PAULIUS","DAVIES, BRANDON","ULANOVAS, EDGARAS","MICIC, VASILIJE","PANGOS, KEVIN"
ZAL,0.0,09:35,1,5,"DAVIES, BRANDON",P007870   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Zalgiris Kaunas,CSKA Moscow,CSK,Zalgiris Kaunas,ZAL,9,35,25.0,25.0,3.0,0.0,0.0,"HINES, KYLE","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","HIGGINS, CORY","ANTONOV, SEMEN","JANKUNAS, PAULIUS","DAVIES, BRANDON","ULANOVAS, EDGARAS","MICIC, VASILIJE","PANGOS, KEVIN"
CSK,42.0,09:33,1,6,"HINES, KYLE",P002812   ,Def Rebound (1),D,0.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Zalgiris Kaunas,ZAL,9,33,27.0,27.0,2.0,0.0,0.0,"HINES, KYLE","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","HIGGINS, CORY","ANTONOV, SEMEN","JANKUNAS, PAULIUS","DAVIES, BRANDON","ULANOVAS, EDGARAS","MICIC, VASILIJE","PANGOS, KEVIN"
CSK,13.0,09:13,1,7,"RODRIGUEZ, SERGIO",PCVM      ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Zalgiris Kaunas,ZAL,9,13,47.0,47.0,20.0,0.0,0.0,"HINES, KYLE","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","HIGGINS, CORY","ANTONOV, SEMEN","JANKUNAS, PAULIUS","DAVIES, BRANDON","ULANOVAS, EDGARAS","MICIC, VASILIJE","PANGOS, KEVIN"
ZAL,92.0,09:10,1,8,"ULANOVAS, EDGARAS",P002329   ,Def Rebound (1),D,0.0,0.0,Zalgiris Kaunas,CSKA Moscow,CSK,Zalgiris Kaunas,ZAL,9,10,50.0,50.0,3.0,0.0,0.0,"HINES, KYLE","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","HIGGINS, CORY","ANTONOV, SEMEN","JANKUNAS, PAULIUS","DAVIES, BRANDON","ULANOVAS, EDGARAS","MICIC, VASILIJE","PANGOS, KEVIN"
ZAL,92.0,08:52,2,10,"ULANOVAS, EDGARAS",P002329   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Zalgiris Kaunas,CSKA Moscow,CSK,Zalgiris Kaunas,ZAL,8,52,8.0,68.0,18.0,0.0,2.0,"HINES, KYLE","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","HIGGINS, CORY","ANTONOV, SEMEN","JANKUNAS, PAULIUS","DAVIES, BRANDON","ULANOVAS, EDGARAS","MICIC, VASILIJE","PANGOS, KEVIN"
CSK,42.0,08:27,2,11,"HINES, KYLE",P002812   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,CSKA Moscow,CSKA Moscow,CSK,Zalgiris Kaunas,ZAL,8,27,33.0,93.0,25.0,2.0,0.0,"HINES, KYLE","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","HIGGINS, CORY","ANTONOV, SEMEN","JANKUNAS, PAULIUS","DAVIES, BRANDON","ULANOVAS, EDGARAS","MICIC, VASILIJE","PANGOS, KEVIN"
CSK,13.0,08:25,2,12,"RODRIGUEZ, SERGIO",PCVM      ,Assist (1),AS,2.0,2.0,CSKA Moscow,CSKA Moscow,CSK,Zalgiris Kaunas,ZAL,8,25,35.0,95.0,2.0,0.0,0.0,"HINES, KYLE","RODRIGUEZ, SERGIO","KURBANOV, NIKITA","HIGGINS, CORY","ANTONOV, SEMEN","JANKUNAS, PAULIUS","DAVIES, BRANDON","ULANOVAS, EDGARAS","MICIC, VASILIJE","PANGOS, KEVIN"
