CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Real Madrid,MAD,Khimki Moscow Region,KHI,0,0,,,,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,21.0,09:42,1,3,"ANDERSON, JAMES",P005938   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,9,42,18.0,18.0,,0.0,2.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
MAD,1.0,09:29,1,4,"CAUSEUR, FABIEN",P001392   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Real Madrid,Real Madrid,MAD,Khimki Moscow Region,KHI,9,29,31.0,31.0,13.0,2.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,13.0,09:10,1,5,"GILL, ANTHONY",P008001   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,9,10,50.0,50.0,19.0,0.0,2.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,23.0,09:07,1,6,"THOMAS, MALCOLM",P004251   ,Assist (1),AS,2.0,4.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,9,7,53.0,53.0,3.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
MAD,7.0,08:56,2,8,"DONCIC, LUKA",P005929   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,4.0,Real Madrid,Real Madrid,MAD,Khimki Moscow Region,KHI,8,56,4.0,64.0,11.0,3.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
MAD,1.0,08:54,2,9,"CAUSEUR, FABIEN",P001392   ,Assist (1),AS,5.0,4.0,Real Madrid,Real Madrid,MAD,Khimki Moscow Region,KHI,8,54,6.0,66.0,2.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,1.0,08:42,2,10,"SHVED, ALEXEY",PKVZ      ,Two Pointer (1/1 -  2 pt),2FGM,5.0,6.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,8,42,18.0,78.0,12.0,0.0,2.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
MAD,6.0,08:29,2,11,"RADONCIC, DINO",P006543   ,Missed Three Pointer (0/1 -  0 pt),3FGA,5.0,6.0,Real Madrid,Real Madrid,MAD,Khimki Moscow Region,KHI,8,29,31.0,91.0,13.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,21.0,08:27,2,12,"ANDERSON, JAMES",P005938   ,Def Rebound (1),D,5.0,6.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,8,27,33.0,93.0,2.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,22.0,08:27,2,13,"JENKINS, CHARLES",P005014   ,Turnover (1),TO,5.0,6.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,8,27,33.0,93.0,0.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
MAD,1.0,08:17,2,14,"CAUSEUR, FABIEN",P001392   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,6.0,Real Madrid,Real Madrid,MAD,Khimki Moscow Region,KHI,8,17,43.0,103.0,10.0,2.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,1.0,07:57,3,16,"SHVED, ALEXEY",PKVZ      ,Three Pointer (1/1 -  5 pt),3FGM,7.0,9.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,7,57,3.0,123.0,20.0,0.0,3.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,13.0,07:53,3,17,"GILL, ANTHONY",P008001   ,Assist (1),AS,7.0,9.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,7,53,7.0,127.0,4.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
MAD,14.0,07:43,3,18,"AYON, GUSTAVO",P005927   ,Missed Two Pointer (0/1 -  0 pt),2FGA,7.0,9.0,Real Madrid,Real Madrid,MAD,Khimki Moscow Region,KHI,7,43,17.0,137.0,10.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,13.0,07:41,3,19,"GILL, ANTHONY",P008001   ,Def Rebound (1),D,7.0,9.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,7,41,19.0,139.0,2.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,21.0,07:36,3,20,"ANDERSON, JAMES",P005938   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,11.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,7,36,24.0,144.0,5.0,0.0,2.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
MAD,7.0,07:26,3,21,"DONCIC, LUKA",P005929   ,Foul Drawn (1),RV,7.0,11.0,Real Madrid,Real Madrid,MAD,Khimki Moscow Region,KHI,7,26,34.0,154.0,10.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,22.0,07:26,3,22,"JENKINS, CHARLES",P005014   ,Foul (1),CM,7.0,11.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,7,26,34.0,154.0,0.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
MAD,6.0,07:17,3,23,"RADONCIC, DINO",P006543   ,Turnover (1),TO,7.0,11.0,Real Madrid,Real Madrid,MAD,Khimki Moscow Region,KHI,7,17,43.0,163.0,9.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,13.0,07:15,3,24,"GILL, ANTHONY",P008001   ,Steal (1),ST,7.0,11.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,7,15,45.0,165.0,2.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,21.0,07:04,3,25,"ANDERSON, JAMES",P005938   ,Missed Three Pointer (0/1 -  4 pt),3FGA,7.0,11.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,7,4,56.0,176.0,11.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,23.0,06:49,4,27,"THOMAS, MALCOLM",P004251   ,Off Rebound (1),O,7.0,11.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,6,49,11.0,191.0,15.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,13.0,06:48,4,28,"GILL, ANTHONY",P008001   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,13.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,6,48,12.0,192.0,1.0,0.0,2.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
KHI,23.0,06:45,4,29,"THOMAS, MALCOLM",P004251   ,Assist (2),AS,7.0,13.0,Khimki Moscow Region,Real Madrid,MAD,Khimki Moscow Region,KHI,6,45,15.0,195.0,3.0,0.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
MAD,6.0,06:38,4,30,"RADONCIC, DINO",P006543   ,Two Pointer (1/1 -  2 pt),2FGM,9.0,13.0,Real Madrid,Real Madrid,MAD,Khimki Moscow Region,KHI,6,38,22.0,202.0,7.0,2.0,0.0,"CAUSEUR, FABIEN","DONCIC, LUKA","RADONCIC, DINO","AYON, GUSTAVO","TAYLOR, JEFFERY","ANDERSON, JAMES","GILL, ANTHONY","THOMAS, MALCOLM","SHVED, ALEXEY","JENKINS, CHARLES"
