CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL,0,0,,,0.0,0.0,0.0,"PARAKHOUSKI, ARTSIOM","DIBARTOLOMEO, JOHN","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","GOUDELOCK, ANDREW","THEODORE, JORDAN","TARCZEWSKI, KALEB","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,0.0,09:30,1,3,"GOUDELOCK, ANDREW",P004903   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,AX Armani Exchange Olimpia Milan,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL,9,30,30.0,30.0,0.0,0.0,0.0,"PARAKHOUSKI, ARTSIOM","DIBARTOLOMEO, JOHN","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","GOUDELOCK, ANDREW","THEODORE, JORDAN","TARCZEWSKI, KALEB","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,25.0,09:30,1,4,"THEODORE, JORDAN",P007946   ,Off Rebound (1),O,0.0,0.0,AX Armani Exchange Olimpia Milan,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL,9,30,30.0,30.0,0.0,0.0,0.0,"PARAKHOUSKI, ARTSIOM","DIBARTOLOMEO, JOHN","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","GOUDELOCK, ANDREW","THEODORE, JORDAN","TARCZEWSKI, KALEB","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,25.0,09:30,1,5,"THEODORE, JORDAN",P007946   ,Turnover (1),TO,0.0,0.0,AX Armani Exchange Olimpia Milan,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL,9,30,30.0,30.0,0.0,0.0,0.0,"PARAKHOUSKI, ARTSIOM","DIBARTOLOMEO, JOHN","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","GOUDELOCK, ANDREW","THEODORE, JORDAN","TARCZEWSKI, KALEB","MICOV, VLADIMIR","M'BAYE, AMATH"
TEL,45.0,09:10,1,6,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL,9,10,50.0,50.0,20.0,2.0,0.0,"PARAKHOUSKI, ARTSIOM","DIBARTOLOMEO, JOHN","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","GOUDELOCK, ANDREW","THEODORE, JORDAN","TARCZEWSKI, KALEB","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,0.0,08:52,2,8,"GOUDELOCK, ANDREW",P004903   ,Missed Two Pointer (0/2 -  0 pt),2FGA,2.0,0.0,AX Armani Exchange Olimpia Milan,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL,8,52,8.0,68.0,18.0,0.0,0.0,"PARAKHOUSKI, ARTSIOM","DIBARTOLOMEO, JOHN","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","GOUDELOCK, ANDREW","THEODORE, JORDAN","TARCZEWSKI, KALEB","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,15.0,08:52,2,9,"TARCZEWSKI, KALEB",P008004   ,Off Rebound (1),O,2.0,0.0,AX Armani Exchange Olimpia Milan,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL,8,52,8.0,68.0,0.0,0.0,0.0,"PARAKHOUSKI, ARTSIOM","DIBARTOLOMEO, JOHN","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","GOUDELOCK, ANDREW","THEODORE, JORDAN","TARCZEWSKI, KALEB","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,15.0,08:52,2,10,"TARCZEWSKI, KALEB",P008004   ,Foul Drawn (1),RV,2.0,0.0,AX Armani Exchange Olimpia Milan,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL,8,52,8.0,68.0,0.0,0.0,0.0,"PARAKHOUSKI, ARTSIOM","DIBARTOLOMEO, JOHN","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","GOUDELOCK, ANDREW","THEODORE, JORDAN","TARCZEWSKI, KALEB","MICOV, VLADIMIR","M'BAYE, AMATH"
TEL,45.0,08:52,2,11,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul (1),CM,2.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL,8,52,8.0,68.0,0.0,0.0,0.0,"PARAKHOUSKI, ARTSIOM","DIBARTOLOMEO, JOHN","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","GOUDELOCK, ANDREW","THEODORE, JORDAN","TARCZEWSKI, KALEB","MICOV, VLADIMIR","M'BAYE, AMATH"
MIL,15.0,08:52,2,12,"TARCZEWSKI, KALEB",P008004   ,Free Throw In (1/1 -  1 pt),FTM,2.0,1.0,AX Armani Exchange Olimpia Milan,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL,8,52,8.0,68.0,0.0,0.0,1.0,"PARAKHOUSKI, ARTSIOM","DIBARTOLOMEO, JOHN","BOLDEN, JONAH","ROLL, MICHAEL","JACKSON, PIERRE","GOUDELOCK, ANDREW","THEODORE, JORDAN","TARCZEWSKI, KALEB","MICOV, VLADIMIR","M'BAYE, AMATH"
